Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,B,U,I,K,H,R,V,J,pmra,plx_value,rvz_qual,otype,pmdec,rvz_nature,sp_bibcode,sp_type,sp_qual,matched_id
True,,BPS CS 22878-101,,,BPS CS 22878-0101,251.38104727257,8.24596396275,0.012,0.0089,90,O,2020yCat.1350....0G,14.60099983215332,,12.67300033569336,11.241999626159668,11.369000434875488,13.602999687194824,,11.873000144958496,-7.009,0.1103,B,Pe*,1.275,s,1995AJ....109.2757M,KIIvw,D,BPS CS 22878-0101
True,,BPS CS 22879-012,,,BPS CS 22879-0012,309.30847712477,-41.04263904821,0.0231,0.0144,90,O,2020yCat.1350....0G,15.109999656677246,,,13.40999984741211,13.494999885559082,,14.720000267028809,13.748000144958496,23.451,0.6358,D,Pe*,-13.723,,,,,BPS CS 22879-0012
True,,BPS CS 22879-029,,,BPS CS 22879-0029,309.7158520988,-38.61299465349,0.0159,0.011,90,O,2020yCat.1350....0G,14.890000343322754,,13.821000099182129,13.12600040435791,13.152999877929688,14.145000457763672,14.449999809265137,13.425000190734863,22.437,0.8507,D,Pe*,-48.324,,2016ApJ...833...20Y,CEMP-s,C,BPS CS 22879-0029
True,,BPS CS 22879-051,,,BPS CS 22879-0051,310.65198479501,-39.308172150420006,0.0131,0.0104,90,O,2020yCat.1350....0G,14.279999732971191,,,12.625,12.689000129699707,,13.890000343322754,12.965999603271484,1.094,0.943,C,Pe*,-70.662,s,,,,BPS CS 22879-0051
True,,BPS CS 22879-094,,,BPS CS 22879-0094,312.53481227333,-38.71550688152999,0.0239,0.0173,90,O,2020yCat.1350....0G,15.619999885559082,,,13.748000144958496,13.888999938964844,,15.199999809265137,14.170999526977539,6.37,0.4584,D,Pe*,-33.96,,,,,BPS CS 22879-0094
True,,BPS CS 22879-097,,,BPS CS 22879-0097,312.19396811998,-38.513727921900006,0.0174,0.0119,90,O,2020yCat.1350....0G,14.680000305175781,,,12.616999626159668,12.684000015258789,,14.220000267028809,13.031000137329102,-1.722,0.1457,C,HB*,-18.924,s,,,,BPS CS 22879-0097
True,,BPS CS 22879-103,,,BPS CS 22879-0103,311.79224900586,-37.44791847261,0.0159,0.0119,90,O,2020yCat.1350....0G,14.789999961853027,,,12.66100025177002,12.746999740600586,,14.300000190734863,13.095000267028809,-0.057,0.1463,D,HB*,-8.614,,,,,BPS CS 22879-0103
True,,BPS CS 22880-067,,,BPS CS 22880-0067,312.28291275222,-21.581924379040004,0.0267,0.0144,90,O,2020yCat.1350....0G,15.710000038146973,,,13.496000289916992,13.47599983215332,15.140000343322754,15.100000381469727,13.845999717712402,-35.145,0.968,D,Pe*,-34.048,,,,,BPS CS 22880-0067
True,,BPS CS 22880-086,,,BPS CS 22880-0086,311.44803312762997,-18.558987813400005,0.0183,0.0093,90,O,2020yCat.1350....0G,15.079999923706055,,,12.288000106811523,12.383999824523926,14.359999656677246,14.319999694824219,12.84000015258789,1.952,0.2132,D,Pe*,-9.158,,,,,BPS CS 22880-0086
True,,BPS CS 22881-032,,,BPS CS 22881-0032,330.75244991447994,-41.2406263392,0.0187,0.019,90,O,2020yCat.1350....0G,15.600000381469727,,,13.9399995803833,14.008999824523926,,15.229999542236328,14.284000396728516,2.363,0.3983,D,Pe*,-4.471,,,,,BPS CS 22881-0032
True,,BPS CS 22881-036,,,BPS CS 22881-0036,331.99350413371,-40.73791042319001,0.0111,0.0105,90,O,2020yCat.1350....0G,14.420000076293945,,13.277999877929688,12.687999725341797,12.651000022888184,13.633000373840332,13.949999809265137,12.968000411987305,34.083,1.4012,C,Pe*,-89.624,s,2016ApJ...833...20Y,CEMP-s,C,BPS CS 22881-0036
True,,BPS CS 22881-039,,,BPS CS 22881-0039,332.39761758789,-40.4308837211,0.0166,0.0144,90,O,2020yCat.1350....0G,15.520000457763672,,,13.645999908447266,13.746000289916992,,15.140000343322754,13.914999961853027,1.183,0.0718,D,RR*,-8.569,,,,,BPS CS 22881-0039
True,,BPS CS 22881-070,,,BPS CS 22881-0070,334.15439640453,-40.73501124628,0.0135,0.0124,90,O,2020yCat.1350....0G,14.760000228881836,,,13.180000305175781,13.177000045776367,,14.390000343322754,13.437000274658203,5.821,0.6304,D,Pe*,-0.142,,,,,BPS CS 22881-0070
True,,BPS CS 22882-001,,,BPS CS 22882-0001,5.10538324259,-31.651130407580002,0.0198,0.0184,90,O,2020yCat.1350....0G,15.220000267028809,,,13.317000389099121,13.362000465393066,,14.819999694824219,13.677000045776367,8.803,0.0932,D,HB*,-6.758,,,,,BPS CS 22882-0001
True,,BPS CS 22882-006,,,BPS CS 22882-0006,5.49941230743,-29.49069765921,0.0172,0.018,90,O,2020yCat.1350....0G,14.550000190734863,,,12.737000465393066,12.727999687194824,,14.140000343322754,13.034000396728516,17.373,0.7914,D,Pe*,-56.103,,,,,BPS CS 22882-0006
True,,BPS CS 22882-012,,,BPS CS 22882-0012,7.593799811839999,-27.59089380404,0.0273,0.0238,90,O,2020yCat.1350....0G,15.640000343322754,,,14.048999786376953,14.069999694824219,,15.260000228881836,14.317999839782715,33.281,0.5924,D,Pe*,-17.82,,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22882-0012
True,,BPS CS 22882-030,,,BPS CS 22882-0030,7.583588797969999,-30.349540511189996,0.018,0.0128,90,O,2020yCat.1350....0G,15.210000038146973,,,13.449000358581543,13.630999565124512,,14.829999923706055,13.901000022888184,20.917,0.5387,D,Pe*,-7.985,,,,,BPS CS 22882-0030
True,,BPS CS 22883-037,,,BPS CS 22883-0037,216.080947456,11.490571703520002,0.0194,0.0213,90,O,2020yCat.1350....0G,15.279999732971191,,,13.378000259399414,13.425000190734863,,14.729999542236328,13.732999801635742,1.909,0.0545,D,HB*,-5.751,s,,,,BPS CS 22883-0037
True,,BPS CS 22884-020,,,BPS CS 22884-0020,233.59341910673004,-8.561168513729998,0.024,0.0248,90,O,2020yCat.1350....0G,15.40999984741211,15.270000457763672,,13.53499984741211,13.442999839782715,,14.949999809265137,13.758999824523926,-37.757,0.6919,D,Pe*,-39.987,,1992AJ....103..267B,A,E,BPS CS 22884-0020
True,,BPS CS 22884-108,,,BPS CS 22884-0108,237.48991131325994,-9.235892194829999,0.0184,0.012,90,O,2020yCat.1350....0G,14.739999771118164,,,12.588000297546387,12.678999900817871,,14.239999771118164,12.996000289916992,-17.556,1.2514,D,Pe*,-6.671,,,,,BPS CS 22884-0108
True,,BPS CS 22885-040,,,BPS CS 22885-0040,304.53312621211,-38.09922806271,0.0305,0.0247,90,O,2020yCat.1350....0G,15.640000343322754,,,13.805000305175781,13.914999961853027,,15.239999771118164,14.13700008392334,-23.931,0.5163,D,Pe*,-12.352,,,,,BPS CS 22885-0040
True,,BPS CS 22885-096,,,BPS CS 22885-0096,305.21322087319,-39.8917319369,0.0136,0.0105,90,O,2020yCat.1350....0G,14.020000457763672,,,11.09000015258789,11.163000106811523,,13.329999923706055,11.630000114440918,-4.47,0.2265,B,Pe*,-6.941,s,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22885-0096
True,,BPS CS 22885-203,,,BPS CS 22885-0203,307.58030362459,-37.70475505752001,0.0169,0.0144,90,O,2020yCat.1350....0G,14.640000343322754,,,12.842000007629395,12.869999885559082,,14.229999542236328,13.168999671936035,19.747,1.1652,D,Pe*,-52.414,,,,,BPS CS 22885-0203
True,,BPS CS 22886-003,,,BPS CS 29512-0030,333.46741717269,-10.783608748000002,0.0259,0.0212,90,O,2020yCat.1350....0G,15.069999694824219,14.765999794006348,,13.305999755859375,13.295999526977539,,14.600000381469727,13.619000434875488,62.164,1.1703,D,Pe*,8.786,s,,,,BPS CS 22886-0003
True,,BPS CS 22886-012,,,BPS CS 22886-0012,333.35784348054,-8.72871578576,0.0414,0.0246,90,O,2020yCat.1350....0G,15.020000457763672,,,13.017000198364258,13.02299976348877,14.390000343322754,14.539999961853027,13.366000175476074,2.161,0.6514,C,Pe*,-12.258,s,,,,BPS CS 22886-0012
True,,BPS CS 22886-013,,,V* FV Aqr,333.01256528532,-8.762756574400003,0.0222,0.017,90,O,2020yCat.1350....0G,13.890000343322754,,,12.791000366210938,12.758000373840332,,13.9399995803833,12.930999755859375,1.099,0.1701,D,RR*,-11.764,s,2019MNRAS.486.2169K,sdA,D,BPS CS 22886-0013
True,,BPS CS 22886-044,,,BPS CS 22886-0044,335.04751425419,-9.69429749099,0.0222,0.0161,90,O,2020yCat.1350....0G,14.739999771118164,,,12.645000457763672,12.670000076293945,,14.229999542236328,13.01200008392334,-26.157,0.7047,D,Pe*,-53.655,,,,,BPS CS 22886-0044
True,,BPS CS 22888-002,,,BPS CS 22888-0002,346.15513801752996,-36.66607621056,0.0127,0.0148,90,O,2020yCat.1350....0G,15.119999885559082,,,13.298999786376953,13.348999977111816,,14.699999809265137,13.654000282287598,4.685,1.0977,D,Pe*,-53.006,,,,,BPS CS 22888-0002
True,,BPS CS 22888-014,,,BPS CS 30493-0023,346.06470295191,-33.49579981187,0.0173,0.0195,90,O,2020yCat.1350....0G,14.84000015258789,,,13.175999641418457,13.196999549865723,,14.4399995803833,13.463000297546387,37.211,1.0564,D,Pe*,-52.428,,,,,BPS CS 22888-0014
True,,BPS CS 22888-031,,,BPS CS 22888-0031,347.88532854091994,-35.44524242661,0.018,0.0203,90,O,2020yCat.1350....0G,15.3100004196167,,,13.583000183105469,13.579000473022461,,14.899999618530273,13.897000312805176,56.64,1.0997,D,Pe*,-27.511,,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22888-0031
True,,BPS CS 22888-047,,,BPS CS 22888-0047,350.08273756575,-33.76303450813,0.0179,0.0169,90,O,2020yCat.1350....0G,15.010000228881836,,,13.126999855041504,13.194000244140625,,14.609999656677246,13.460000038146973,6.043,0.1071,D,HB*,-13.199,,,,,BPS CS 22888-0047
True,,BPS CS 22889-050,,,BPS CS 22889-0050,206.37544640968,-9.78641420504,0.0209,0.0151,90,O,2020yCat.1350....0G,14.600000381469727,14.54699993133545,,12.925999641418457,12.972999572753906,,14.279999732971191,13.256999969482422,-47.702,0.7534,D,Pe*,17.933,,,,,BPS CS 22889-0050
True,,BPS CS 22890-011,,,BPS CS 22890-0011,228.33782256313998,2.24988658384,0.0214,0.0211,90,O,2020yCat.1350....0G,15.069999694824219,,,13.343999862670898,13.37399959564209,14.819999694824219,14.619999885559082,13.67300033569336,-57.324,0.6697,D,Pe*,-27.068,,,,,BPS CS 22890-0011
True,,BPS CS 22890-024,,,BPS CS 22890-0024,229.02250353747,-0.06609174197999998,0.0128,0.0118,90,O,2020yCat.1350....0G,13.979999542236328,,,11.439000129699707,11.508000373840332,,13.40999984741211,11.923999786376953,-17.267,0.5543,C,Pe*,-33.329,s,,,,BPS CS 22890-0024
True,,BPS CS 22890-064,,,BPS CS 30306-0117,229.39183291185998,2.75773964248,0.0211,0.0197,90,O,2020yCat.1350....0G,15.199999809265137,,,13.428999900817871,13.399999618530273,14.770000457763672,14.729999542236328,13.678999900817871,1.686,1.0152,D,Pe*,-8.876,,,,,BPS CS 22890-0064
True,,BPS CS 22891-184,,,BPS CS 22891-0184,291.5513551376,-60.56841421213001,0.0076,0.0092,90,O,2020yCat.1350....0G,14.329999923706055,,13.034000396728516,12.187000274658203,12.27400016784668,,13.829999923706055,12.574000358581543,-12.824,0.1329,C,HB*,6.24,s,,,,BPS CS 22891-0184
True,,BPS CS 22891-200,,,BPS CS 22891-0200,293.82949019686,-61.70677057784,0.009,0.0106,90,O,2020yCat.1350....0G,14.770000457763672,,12.789999961853027,11.413999557495117,11.461000442504883,,13.930000305175781,11.994999885559082,-5.015,0.0944,C,Pe*,0.731,s,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22891-0200
True,,BPS CS 22891-209,,,BPS CS 22891-0209,295.50908434461996,-61.06237080517,0.01,0.012,90,O,2020yCat.1350....0G,13.029999732971191,,,9.623000144958496,9.744999885559082,,12.180000305175781,10.234999656677246,0.479,0.2282,A,Pe*,-16.454,s,1994A&A...290..885P,KIIvw,D,BPS CS 22891-0209
True,,BPS CS 22891-221,,,BPS CS 22891-0221,293.79357715431,-59.69951026694001,0.0123,0.0119,90,O,2020yCat.1350....0G,15.050000190734863,,,12.60099983215332,12.70300006866455,14.390000343322754,14.369999885559082,13.04800033569336,-32.397,2.2227,D,Pe*,-68.408,,,,,BPS CS 22891-0221
True,,BPS CS 22892-025,,,BPS CS 22892-0025,331.92935859779,-15.2502134242,0.0161,0.0148,90,O,2020yCat.1350....0G,14.449999809265137,,,12.734999656677246,12.736000061035156,14.050000190734863,14.0,13.012999534606934,51.233,1.1759,C,Pe*,-37.628,s,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22892-0025
True,,BPS CS 22892-052,,,BPS CS 22892-0052,334.2568994851499,-16.65751417404,0.0195,0.0164,90,O,2020yCat.1350....0G,14.029999732971191,,12.1899995803833,10.928999900817871,11.022000312805176,13.0600004196167,13.199999809265137,11.491999626159668,12.3,0.1602,B,Pe*,-6.558,s,1997ApJ...488..350N,KIIvw,D,BPS CS 22892-0052
True,,BPS CS 22893-005,,,BPS CS 22893-0005,343.46138872184,-9.987606333000002,0.0285,0.0266,90,O,2020yCat.1350....0G,14.739999771118164,,,12.449999809265137,12.496999740600586,14.130000114440918,14.220000267028809,12.904999732971191,1.279,0.7046,D,Pe*,-10.515,,,,,BPS CS 22893-0005
True,,BPS CS 22893-010,,,BPS CS 22893-0010,344.54885554653,-11.94595331839,0.0326,0.022,90,O,2020yCat.1350....0G,15.34000015258789,,,12.803000450134277,12.878999710083008,14.699999809265137,14.729999542236328,13.326000213623047,-4.946,0.2389,D,Pe*,-12.52,,,,,BPS CS 22893-0010
True,,BPS CS 22893-011,,,BPS CS 22893-0011,345.21792572075,-10.590612111729998,0.0199,0.0227,90,O,2020yCat.1350....0G,14.989999771118164,,,13.145000457763672,13.192999839782715,14.529999732971191,14.600000381469727,13.460000038146973,-7.886,0.7153,D,Pe*,-38.288,,,,,BPS CS 22893-0011
True,,BPS CS 22894-004,,,BPS CS 22894-0004,353.1648239553,-0.9368204795600001,0.0213,0.0153,90,O,2020yCat.1350....0G,14.579999923706055,,,12.807999610900879,12.861000061035156,,14.170000076293945,13.111000061035156,35.12,0.7772,C,Pe*,-50.179,s,,,,BPS CS 22894-0004
True,,BPS CS 22894-019,,,BPS CS 22894-0019,354.82945756164,0.06159730504,0.022,0.0172,90,O,2020yCat.1350....0G,14.390000343322754,,,12.505000114440918,12.52299976348877,13.880000114440918,13.960000038146973,12.83899974822998,27.988,1.5636,D,Pe*,-65.342,,,,,BPS CS 22894-0019
True,,BPS CS 22894-023,,,BPS CS 22952-0011,354.32736847797,-2.1410672184499995,0.0133,0.0117,90,O,2020yCat.1350....0G,14.149999618530273,,,12.390999794006348,12.402000427246094,,13.75,12.71399974822998,23.548,0.9234,D,Pe*,-3.381,,,,,BPS CS 22894-0023
True,,BPS CS 22894-049,,,BPS CS 22894-0049,357.47001342789,-1.9640278650899996,0.02,0.0166,90,O,2020yCat.1350....0G,14.859999656677246,,,13.031999588012695,13.062999725341797,14.390000343322754,14.369999885559082,13.307999610900879,-4.803,1.3947,D,Pe*,-89.424,,,,,BPS CS 22894-0049
True,,BPS CS 22896-015,,,BPS CS 22896-0015,289.68895021686,-55.41250783901,0.0129,0.0124,90,O,2020yCat.1350....0G,14.819999694824219,,,12.258000373840332,12.293999671936035,14.1899995803833,14.170000076293945,12.760000228881836,-1.694,0.3535,C,Pe*,-35.789,s,,,,BPS CS 22896-0015
True,,BPS CS 22896-055,,,BPS CS 22896-0055,292.43288326006996,-53.99143048829,0.0099,0.01,90,O,2020yCat.1350....0G,13.930000305175781,,,11.961999893188477,12.015999794006348,13.369999885559082,13.470000267028809,12.319999694824219,7.513,0.2579,C,HB*,-22.036,s,,,,BPS CS 22896-0055
True,,BPS CS 22896-110,,,BPS CS 22896-0110,293.95002423845995,-53.43790599954,0.012,0.0108,90,O,2020yCat.1350....0G,14.09000015258789,,,11.779999732971191,11.791000366210938,,13.5600004196167,12.180000305175781,-5.615,0.1894,C,HB*,-9.143,s,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22896-0110
True,,BPS CS 22896-115,,,BPS CS 22896-0115,293.77113018789,-52.786583502270005,0.0139,0.0133,90,O,2020yCat.1350....0G,14.550000190734863,,,12.710000038146973,12.765000343322754,,14.130000114440918,13.027999877929688,-56.136,1.2835,D,Pe*,-101.531,,,,,BPS CS 22896-0115
True,,BPS CS 22896-136,,,BPS CS 22896-0136,294.97177455478,-54.173372837950005,0.0153,0.0151,90,O,2020yCat.1350....0G,15.180000305175781,,,13.416000366210938,13.461999893188477,14.8100004196167,14.800000190734863,13.708999633789062,14.471,0.6556,D,Pe*,-53.49,,2016ApJ...833...20Y,CEMP-s,C,BPS CS 22896-0136
True,,BPS CS 22897-008,,,BPS CS 22897-0008,315.79940224896,-65.0857922835,0.0073,0.0104,90,O,2020yCat.1350....0G,14.020000457763672,,,11.001999855041504,11.08899974822998,,13.329999923706055,11.595999717712402,-1.759,0.2055,D,Pe*,-6.333,,2016ApJ...833...20Y,CEMP-no,C,BPS CS 22897-0008
