Name,RA_hms,DEC_dms,T(V-I),T(V-J),T(V-H),T(V-K),Tavg,logg1,BC,Mbol
BL189,02:39:38.24,-34:31:20.3,4167,4222,4272,4274,4234,0.91,-0.67,-3.03
BL190,02:39:17.80,-34:30:56.8,4004,3954,3967,3990,3979,0.82,-0.94,-2.99
BL195,02:39:20.21,-34:31:57.0,4153,4153,4147,4191,4161,0.91,-0.73,-2.95
BL196,02:39:34.07,-34:33:33.2,4011,4010,4010,4029,4015,0.76,-0.89,-3.17
BL197,02:39:29.33,-34:26:35.5,3958,3953,3963,3948,3956,0.68,-0.97,-3.30
BL198,02:39:19.83,-34:26:27.1,4077,3988,4000,3992,4014,0.78,-0.89,-3.11
BL203,02:39:50.64,-34:26:47.0,4043,4035,4046,4025,4037,0.79,-0.87,-3.13
BL204,02:39:16.23,-34:32:29.9,4076,4184,4161,4134,4139,0.97,-0.75,-2.78
BL205,02:39:38.06,-34:37:06.2,4229,4237,4263,4244,4243,0.96,-0.67,-2.92
BL207,02:39:26.29,-34:29:03.4,3988,3979,3977,3992,3984,0.74,-0.93,-3.19
BL208,02:39:32.94,-34:32:06.2,4140,4166,4161,4170,4159,0.89,-0.74,-3.00
BL210,02:39:47.65,-34:27:05.4,4057,4064,4072,4057,4062,0.81,-0.84,-3.10
BL211,02:39:51.18,-34:29:58.6,3940,3961,3964,3966,3958,0.69,-0.97,-3.28
BL213,02:39:50.18,-34:35:59.3,4039,4045,4017,4025,4032,0.78,-0.87,-3.14
BL216,02:39:41.92,-34:30:35.9,3970,4008,3995,4019,3998,0.75,-0.92,-3.18
BL218,02:39:50.77,-34:28:36.5,3920,3943,3941,3953,3939,0.67,-1.00,-3.31
BL221,02:39:31.85,-34:29:19.9,4051,4051,4057,4064,4056,0.81,-0.84,-3.08
BL227,02:39:45.25,-34:31:57.8,4020,4064,4043,4055,4046,0.84,-0.85,-3.01
BL228,02:39:53.84,-34:29:56.4,3975,3998,3990,4007,3992,0.71,-0.92,-3.28
BL229,02:39:24.80,-34:34:38.1,4022,4008,4012,4013,4014,0.80,-0.90,-3.07
BL231,02:39:18.96,-34:26:43.9,4087,4033,4040,4052,4053,0.86,-0.84,-2.96
BL233,02:39:53.58,-34:37:50.1,4064,4028,4039,4063,4048,0.83,-0.86,-3.03
BL239,02:39:47.09,-34:31:49.8,4083,4145,4127,4137,4123,0.89,-0.77,-2.96
BL242,02:39:28.03,-34:34:01.2,4064,4058,4057,4074,4063,0.85,-0.83,-3.00
BL247,02:39:43.07,-34:40:18.4,4050,4031,4018,4027,4032,0.85,-0.87,-2.98
BL249,02:39:54.24,-34:35:11.2,4032,4034,4009,4019,4024,0.82,-0.88,-3.03
BL250,02:39:45.03,-34:40:11.1,3866,3829,3849,3833,3844,0.65,-1.16,-3.27
BL251,02:39:30.81,-34:35:45.1,3998,3970,3977,3985,3982,0.81,-0.93,-3.00
BL253,02:39:34.08,-34:33:09.6,3989,3995,4006,4022,4003,0.82,-0.91,-3.02
BL254,02:39:41.78,-34:34:16.4,4025,4013,3990,4017,4011,0.83,-0.89,-3.01
BL257,02:39:57.30,-34:31:20.8,3981,3984,3994,4015,3994,0.78,-0.93,-3.10
BL258,02:39:49.68,-34:28:50.4,4008,4045,4026,4039,4030,0.85,-0.88,-2.96
BL260,02:39:55.38,-34:29:54.6,3985,4026,4016,4010,4009,0.79,-0.90,-3.09
BL261,02:39:57.80,-34:26:48.8,4028,4053,4066,4039,4046,0.82,-0.86,-3.06
BL262,02:39:38.42,-34:26:10.3,4054,4021,4027,4018,4030,0.84,-0.88,-2.98
BL266,02:40:10.00,-34:29:58.8,4157,4241,4225,4223,4212,0.83,-0.68,-3.20
BL267,02:40:17.50,-34:26:06.1,4197,4210,4211,4186,4201,0.80,-0.70,-3.27
BL269,02:39:58.20,-34:32:05.3,3965,3992,4008,3997,3990,0.75,-0.92,-3.18
BL273,02:40:09.37,-34:36:17.1,4123,4158,4124,4149,4138,0.81,-0.76,-3.18
BL274,02:40:06.14,-34:28:52.0,4011,4041,4032,4019,4026,0.72,-0.87,-3.29
BL278,02:40:04.38,-34:27:11.3,3964,3967,3977,3980,3972,0.64,-0.95,-3.43
BL279,02:40:02.70,-34:38:29.9,4228,4298,4274,4286,4272,0.95,-0.64,-2.97
BL293,02:40:01.77,-34:27:47.9,4030,4031,4024,4026,4028,0.72,-0.87,-3.29
BL295,02:40:26.72,-34:26:56.8,3994,3976,3975,3975,3980,0.70,-0.94,-3.28
BL298,02:40:13.49,-34:30:02.0,4118,4145,4129,4125,4129,0.85,-0.76,-3.07
BL300,02:40:17.90,-34:27:00.7,3989,3991,4001,3977,3990,0.71,-0.92,-3.27
BL304,02:40:05.49,-34:32:42.7,3959,3936,3941,3965,3950,0.70,-0.97,-3.26
BL311,02:40:22.64,-34:31:31.0,4032,4022,4022,4032,4027,0.79,-0.88,-3.12
BL315,02:40:24.22,-34:26:20.0,4173,4135,4115,4133,4139,0.86,-0.76,-3.06
BL323,02:40:16.76,-34:29:34.4,3897,3859,3881,3887,3881,0.66,-1.08,-3.28
BL325,02:40:27.00,-34:26:44.1,4082,4064,4036,4050,4058,0.81,-0.84,-3.09
