Name,Species,Z,logepsX_sun,N,l_logepsX,logepsX,e_logepsX
J1015-0238,Zr II,40,2.58,3,,0.01,0.15
J1015-0238,Ba II,56,2.18,4,,-1.59,0.15
J1015-0238,La II,57,1.1,0,,,
J1015-0238,Ce II,58,1.58,0,,,
J1015-0238,Pr II,59,0.72,0,,,
J1015-0238,Nd II,60,1.42,0,,,
J1015-0238,Sm II,62,0.96,0,,,
J1015-0238,Eu II,63,0.52,2,<,-2.7,
J1015-0238,Dy II,66,1.1,0,,,
J1015-0238,Pb I,82,2.04,1,<,-0.2,
J1018-0155,Li I,3,,1,<,0.35,
J1018-0155,C-H,6,8.43,1,,4.61,0.2
J1018-0155,C-N,7,7.83,0,,,
J1018-0155,O I,8,8.69,1,<,6.8,
J1018-0155,Na I,11,6.24,2,,3.77,0.35
J1018-0155,Mg I,12,7.6,2,,5.1,0.14
J1018-0155,Al I,13,6.45,1,,3.38,0.38
J1018-0155,Si I,14,7.51,1,,4.71,0.4
J1018-0155,K I,19,5.03,2,,2.74,0.2
J1018-0155,Ca I,20,6.34,12,,3.65,0.16
J1018-0155,Sc II,21,3.15,9,,0.17,0.11
J1018-0155,Ti I,22,4.95,10,,2.08,0.29
J1018-0155,Ti II,22,4.95,20,,2.27,0.09
J1018-0155,V I,23,3.93,3,,0.87,0.32
J1018-0155,V II,23,3.93,1,,1.05,0.3
J1018-0155,Cr I,24,5.64,8,,2.45,0.25
J1018-0155,Cr II,24,5.64,1,,2.67,0.28
J1018-0155,Mn I,25,5.43,3,,2.08,0.22
J1018-0155,Fe I,26,7.5,107,,4.58,0.24
J1018-0155,Fe II,26,7.5,11,,4.61,0.11
J1018-0155,Co I,27,4.99,1,,1.84,0.31
J1018-0155,Ni I,28,6.22,5,,3.3,0.23
J1018-0155,Zn I,30,4.56,2,,1.83,0.17
J1018-0155,Sr II,38,2.87,2,,-0.72,0.25
J1018-0155,Y II,39,2.21,2,,-1.39,0.16
J1018-0155,Zr II,40,2.58,3,,-0.52,0.21
J1018-0155,Ba II,56,2.18,4,,-0.94,0.15
J1018-0155,La II,57,1.1,5,,-1.71,0.23
J1018-0155,Ce II,58,1.58,2,,-1.2,0.26
J1018-0155,Pr II,59,0.72,1,,-1.62,0.27
J1018-0155,Nd II,60,1.42,3,,-1.15,0.2
J1018-0155,Sm II,62,0.96,1,,-1.73,0.45
J1018-0155,Eu II,63,0.52,3,,-1.96,0.15
J1018-0155,Dy II,66,1.1,1,,-1.06,0.43
J1018-0155,Pb I,82,2.04,1,<,-0.25,
J1018-0209,Li I,3,,1,<,0.1,
J1018-0209,C-H,6,8.43,1,,4.57,0.2
J1018-0209,C-N,7,7.83,0,,,
J1018-0209,O I,8,8.69,1,<,6.9,
J1018-0209,Na I,11,6.24,3,,3.39,0.24
J1018-0209,Mg I,12,7.6,5,,5.16,0.15
J1018-0209,Al I,13,6.45,1,,2.3,0.4
J1018-0209,Si I,14,7.51,2,,4.98,0.26
J1018-0209,K I,19,5.03,1,,2.73,0.21
J1018-0209,Ca I,20,6.34,13,,3.63,0.16
J1018-0209,Sc II,21,3.15,8,,0.08,0.11
J1018-0209,Ti I,22,4.95,11,,2.05,0.3
J1018-0209,Ti II,22,4.95,20,,2.19,0.1
J1018-0209,V I,23,3.93,1,,0.6,0.34
J1018-0209,V II,23,3.93,2,,1.18,0.23
J1018-0209,Cr I,24,5.64,5,,2.53,0.27
J1018-0209,Cr II,24,5.64,0,,,
J1018-0209,Mn I,25,5.43,3,,2.07,0.22
J1018-0209,Fe I,26,7.5,113,,4.64,0.25
J1018-0209,Fe II,26,7.5,13,,4.64,0.1
J1018-0209,Co I,27,4.99,0,,,
J1018-0209,Ni I,28,6.22,4,,3.32,0.23
J1018-0209,Zn I,30,4.56,2,,2.0,0.12
J1018-0209,Sr II,38,2.87,2,,-0.73,0.25
J1018-0209,Y II,39,2.21,3,,-1.21,0.14
J1018-0209,Zr II,40,2.58,1,,-0.58,0.23
J1018-0209,Ba II,56,2.18,5,,-0.87,0.18
J1018-0209,La II,57,1.1,2,,-1.77,0.19
J1018-0209,Ce II,58,1.58,2,,-1.37,0.5
J1018-0209,Pr II,59,0.72,0,,,
J1018-0209,Nd II,60,1.42,0,,,
J1018-0209,Sm II,62,0.96,2,,-1.64,0.5
J1018-0209,Eu II,63,0.52,3,,-2.06,0.2
J1018-0209,Dy II,66,1.1,0,,,
J1018-0209,Pb I,82,2.04,1,<,-0.3,
