Simbad_Identifier,RA_hms,DEC_dms,[Fe/H],[C/Fe],ul[C/Fe],ecc,Z_max,Reference
UCAC2  30544966,14:10:15.8809,-03:43:55.307,-2.06,-0.09,,0.71,1.17,Sakari+2018
HE 1413-1954,14:16:04.7119,-20:08:54.089,-3.19,1.41,,0.54,1.92,Barklem+2005
HE 1424-0241,14:26:40.3306,-02:54:27.487,-4.01,,0.84,0.41,3.50,Cohen+2007
UCAC4 414-058324,14:35:58.5107,-07:19:26.557,-2.99,-0.40,,0.45,3.02,Ezzeddine+2020
UCAC2  12021754,15:02:38.5201,-46:02:06.558,-2.23,-0.16,,0.30,0.97,Holmbeck+2020
BPS CS 30306-0132,15:14:18.9191,+07:27:02.680,-2.41,0.46,,0.55,3.66,Honda+2004
TYC  353-223-1,15:54:27.2897,+00:21:36.870,-2.18,0.42,,0.51,0.88,Sakari+2018
SMSS J155628.74-165533.4,15:56:28.7415,-16:55:33.370,-2.79,0.36,,0.36,2.15,Jacobson+2015
UCAC4 501-063456,16:10:31.0611,+10:03:05.590,-2.43,0.53,,0.23,2.49,Hansen+2018
BD-09  4396,16:28:56.1354,-10:14:57.644,-2.00,0.24,,0.43,0.58,Sakari+2018
TYC 9527-1073-1,18:28:43.5444,-84:41:34.807,-2.03,-0.39,,0.32,3.19,Ezzeddine+2020
UCAC2    989194,18:36:12.1452,-73:33:44.266,-2.61,0.10,,0.48,2.13,Ezzeddine+2020
UCAC4 128-171197,18:36:23.1865,-64:28:12.466,-2.57,0.10,,0.24,1.37,Hansen+2018
2MASS J18405985-4841353,18:40:59.8598,-48:41:35.314,-2.58,0.60,,0.48,1.50,Ezzeddine+2020
TYC 8764-1992-1,19:16:18.2200,-55:44:45.396,-2.35,-0.80,,0.49,2.37,Hansen+2018
BD-20  6008,20:42:48.7696,-20:00:39.383,-3.00,-0.48,,0.32,1.40,Roederer+2014
BPS CS 29506-0007,21:20:28.6541,-20:46:22.955,-3.24,,,0.45,1.02,Roederer+2014
BPS CS 22948-0104,21:51:45.7604,-37:52:30.875,-2.81,0.43,,0.35,1.87,Masseron+2012
HE 2159-0551,22:02:16.3602,-05:36:48.534,-2.75,0.05,,0.58,3.34,Hansen+2018
BPS CS 22960-0064,22:24:00.1429,-42:35:16.026,-2.77,0.14,,0.49,2.45,Roederer+2014
TYC 6393-564-1,22:49:23.5854,-21:30:29.532,-2.38,,,0.54,2.96,Ruchti+2011
HE 2259-3407,23:02:15.7379,-33:51:11.284,-2.29,0.37,,0.44,2.08,Barklem+2005
CD-26 16470,23:05:50.5487,-25:57:22.308,-2.13,,,0.34,2.75,Ruchti+2011
BPS CS 30493-0071,23:16:30.7975,-35:34:35.810,-2.82,0.35,,0.40,1.26,Roederer+2014
HE 2318-1621,23:21:21.5631,-16:05:05.628,-3.67,0.54,,0.58,3.64,Placco+2020
