Name,Species,N,l_logepsX_w,logepsX_w,sigma_w,logepsX,sigma_stdev,sigma_SP,sigma_tot,sigma_adopted,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
DES J033523-540407,Sm II,29,,-0.49,0.01,-0.49,0.08,0.07,0.07,0.10,,-1.45,,1.41
DES J033523-540407,Eu II,9,,-0.79,0.02,-0.77,0.05,0.13,0.13,0.13,,-1.31,,1.55
DES J033523-540407,Gd II,10,,-0.28,0.05,-0.25,0.14,0.07,0.08,0.10,,-1.35,,1.51
DES J033523-540407,Tb II,4,,-1.12,0.04,-1.08,0.08,0.07,0.08,0.10,,-1.42,,1.44
DES J033523-540407,Dy II,4,,-0.07,0.03,-0.08,0.06,0.07,0.08,0.10,,-1.17,,1.69
DES J033523-540407,Ho II,4,,-0.84,0.05,-0.89,0.10,0.07,0.08,0.10,,-1.32,,1.54
DES J033523-540407,Er II,7,,-0.20,0.04,-0.24,0.08,0.11,0.12,0.12,,-1.12,,1.74
DES J033523-540407,Tm II,2,,-1.29,0.12,-1.29,0.17,0.05,0.13,0.13,,-1.39,,1.47
DES J033523-540407,Yb II,1,,-0.67,0.12,-0.67,,0.10,0.16,0.20,,-1.51,,1.35
DES J033523-540407,Hf II,1,,-0.85,0.04,-0.85,,0.07,0.08,0.20,,-1.70,,1.16
DES J033523-540407,Os I,2,,0.07,0.16,0.11,0.22,0.08,0.18,0.18,,-1.33,,1.72
DES J033523-540407,Ir I,1,,0.12,0.06,0.12,,0.07,0.09,0.20,,-1.26,,1.78
DES J033523-540407,Pb I,1,<,0.29,,,,,,,<,-1.46,<,1.59
DES J033523-540407,Th II,1,,-1.63,0.04,-1.63,,0.08,0.09,0.23,,-1.65,,1.21
DES J033523-540407,U II,1,<,-1.50,,,,,,,<,-0.96,<,1.91
