Name,Simbad_Identifier,RA_hms,DEC_dms,Teff,logg,log_L,[Fe/H],ul[N/Fe],[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,ul[Sr/Fe],[Sr/Fe],ul[Ba/Fe],[Ba/Fe],I/O,Reference,Ref,epsc_c,MP_key,Ncap_key,C_key,epsc,epsc_f,[C/H],[C/H]f,[Sr/H],ul[Sr/H],[Ba/H],ul[Ba/H],[Sr/Ba],ul[Sr/Ba]
BS 16023-046,BPS BS 16023-046,14:00:54.4740,+22:46:42.087,6571,4.25,0.32,-2.83,,,0.55,0.0,0.55,,-0.08,,,1,Yong+2013,YON13,0.0,VMP,,,6.15,6.15,-2.2800000000000002,-2.2800000000000002,-2.91,,,,,
BS 16033-008,BPS BS 16033-008,13:05:56.1655,+25:10:16.025,5300,2.7,1.49,-2.84,,,0.61,0.01,0.62,,-0.31,,-1.2,1,Aoki+2005,AOK05,0.01,VMP,,,6.2,6.21,-2.23,-2.2199999999999998,-3.15,,-4.04,,0.8899999999999999,
BS 16076-006,BPS BS 16076-006,12:48:22.7519,+20:56:44.029,5566,3.32,0.96,-3.51,,,0.34,0.0,0.34,0.1,,-1.0,,1,Yong+2013,YON13,0.0,EMP,,,5.26,5.26,-3.17,-3.17,,-3.4099999999999997,,-4.51,,1.1
BS 16077-007,BPS BS 16077-007,11:35:17.9891,+31:00:23.431,6486,4.31,0.23,-2.77,0.8,,0.6,0.0,0.6,,0.21,,-0.23,1,Yong+2013,YON13,0.0,VMP,,,6.26,6.26,-2.17,-2.17,-2.56,,-3.0,,0.44,
BS 16080-054,BPS BS 16080-054,16:39:18.5345,+60:57:42.547,4902,1.75,2.31,-2.94,,0.75,-0.45,0.18,-0.27,,0.38,,-0.21,1,Yong+2013,YON13,0.18,VMP,,,5.04,5.22,-3.39,-3.21,-2.56,,-3.15,,0.59,
BS 16082-129,BPS BS 16082-129,13:47:11.7175,+28:57:47.212,4868,1.67,2.38,-2.84,,,0.29,0.25,0.54,,-0.69,,-0.97,1,Yong+2013,YON13,0.25,VMP,,,5.88,6.13,-2.55,-2.3,-3.53,,-3.8099999999999996,,0.28,
BS 16083-172,BPS BS 16083-172,14:50:41.4358,+48:45:13.540,5300,3.1,1.09,-2.53,,,0.34,0.01,0.35,,0.19,,-0.33,1,Aoki+2005,AOK05,0.01,VMP,,,6.24,6.25,-2.19,-2.1799999999999997,-2.34,,-2.86,,0.52,
BS 16084-160,BPS BS 16084-160,16:28:50.7923,+54:37:06.886,4727,1.27,2.72,-3.2,,0.78,-0.12,0.6,0.48,,-2.07,,-2.06,1,Yong+2013,YON13,0.6,EMP,,,5.11,5.71,-3.3200000000000003,-2.72,-5.27,,-5.26,,-0.009999999999999787,
BS 16085-050,BPS BS 16085-050,12:37:46.6781,+19:22:49.551,4882,1.93,2.12,-2.71,,,-0.84,0.06,-0.78,,-1.67,,-1.62,1,Yong+2013,YON13,0.06,VMP,,,4.88,4.94,-3.55,-3.49,-4.38,,-4.33,,-0.04999999999999982,
BS 16089-013,BPS BS 16089-013,13:49:21.9625,+35:44:50.151,4900,1.7,2.36,-2.82,,,-0.23,0.24,0.01,,0.21,,-0.09,1,Aoki+2005,AOK05,0.24,VMP,,,5.38,5.62,-3.05,-2.81,-2.61,,-2.9099999999999997,,0.3,
BS 16467-062,BPS BS 16467-062,13:42:00.6326,+17:48:40.826,5310,2.8,1.4,-3.8,0.45,,0.4,0.01,0.41,,-1.67,-0.57,,1,Yong+2013,YON13,0.01,EMP,,,5.03,5.04,-3.4,-3.3899999999999997,-5.47,,,-4.37,,-1.1
BS 16469-075,BPS BS 16469-075,10:15:10.1903,+42:53:17.362,4919,1.78,2.28,-3.25,,,0.21,0.11,0.32,,0.27,,-1.12,1,Yong+2013,YON13,0.11,EMP,,,5.39,5.5,-3.04,-2.93,-2.98,,-4.37,,1.3900000000000001,
BS 16472-018,BPS BS 16472-018,14:56:21.0671,+01:52:34.946,4946,2.08,1.99,-2.29,,,-0.29,0.01,-0.28,,0.19,,-0.14,1,Lai+2007,LAI07,0.01,VMP,,,5.85,5.86,-2.58,-2.5700000000000003,-2.1,,-2.43,,0.33,
BS 16477-003,BPS BS 16477-003,14:32:56.9231,+06:46:06.974,4879,1.66,2.39,-3.39,-0.26,,0.29,0.21,0.5,,0.11,,-0.45,1,Yong+2013,YON13,0.21,EMP,,,5.33,5.54,-3.1,-2.89,-3.2800000000000002,,-3.8400000000000003,,0.56,
BS 16543-092,BPS BS 16543-092,13:25:22.0379,+19:29:40.126,4523,1.14,2.78,-2.19,,,-1.04,0.72,-0.32,,-0.36,,-0.63,1,Lai+2007,LAI07,0.72,VMP,,,5.2,5.92,-3.23,-2.51,-2.55,,-2.82,,0.27,
BS 16543-097,BPS BS 16543-097,13:26:28.1414,+21:38:42.851,5000,2.1,1.99,-2.52,,,0.29,0.02,0.31,,0.12,,-0.12,1,Aoki+2005,AOK05,0.02,VMP,,,6.2,6.22,-2.23,-2.21,-2.4,,-2.64,,0.24,
BS 16547-006,BPS BS 16547-006,15:12:07.1187,-03:03:49.364,6047,3.72,0.7,-2.21,,,0.73,0.0,0.73,,-0.44,,-0.52,1,Lai+2007,LAI07,0.0,VMP,,NO,6.95,6.95,-1.48,-1.48,-2.65,,-2.73,,0.08000000000000002,
BS 16550-087,BPS BS 16550-087,14:10:26.7272,+18:01:23.732,4754,1.32,2.68,-3.54,,1.11,-0.49,0.56,0.07,,0.53,,-0.75,1,Yong+2013,YON13,0.56,EMP,,,4.4,4.96,-4.03,-3.47,-3.01,,-4.29,,1.28,
BS 16929-005,BPS BS 16929-005,13:03:29.4751,+33:51:09.242,5229,2.61,1.56,-3.34,,0.32,0.99,0.01,1.0,,,,-0.41,1,Yong+2013,YON13,0.01,EMP,,NO,6.08,6.09,-2.3499999999999996,-2.34,,,-3.75,,,
BS 16934-002,BPS BS 16934-002,13:29:46.5066,+16:15:45.145,4500,1.0,2.91,-2.82,,0.64,-0.26,0.74,0.48,,-1.27,,-1.65,1,Aoki+2007,AOK07,0.74,VMP,,,5.35,6.09,-3.08,-2.34,-4.09,,-4.47,,0.3799999999999999,
BS 16945-054,BPS BS 16945-054,10:50:57.8393,+34:01:30.587,5281,2.99,1.2,-2.76,,,0.06,0.01,0.07,,-0.04,,-0.01,1,Lai+2007,LAI07,0.01,VMP,,,5.73,5.74,-2.6999999999999997,-2.69,-2.8,,-2.7699999999999996,,-0.03,
BS 16968-061,BPS BS 16968-061,15:01:06.1171,+03:42:45.573,6343,3.82,0.69,-2.85,,,0.45,0.0,0.45,,-0.47,,-0.23,1,Yong+2013,YON13,0.0,VMP,,,6.03,6.03,-2.4,-2.4,-3.3200000000000003,,-3.08,,-0.23999999999999996,
BS 16981-009,BPS BS 16981-009,14:33:16.5345,+00:40:48.883,5259,2.92,1.26,-2.71,,,0.36,0.0,0.36,,,,,1,Lai+2007,LAI07,0.0,VMP,,,6.08,6.08,-2.35,-2.35,,,,,,
BS 17139-007,BPS BS 17139-007,08:54:12.5040,+29:19:14.516,5918,3.66,0.72,-2.25,,,0.26,0.0,0.26,,-0.55,,-0.62,1,Lai+2007,LAI07,0.0,VMP,,,6.44,6.44,-1.99,-1.99,-2.8,,-2.87,,0.06999999999999995,
BS 17439-065,BPS BS 17439-065,11:01:20.4200,-13:38:38.603,5100,1.6,2.53,-2.39,,,-0.54,0.4,-0.14,,-0.22,,-0.42,1,Aoki+2005,AOK05,0.4,VMP,,,5.5,5.9,-2.93,-2.5300000000000002,-2.6100000000000003,,-2.81,,0.19999999999999998,
BS 17569-049,BPS BS 17569-049,22:04:58.3605,+04:01:32.135,4645,1.09,2.87,-2.84,,0.86,-0.12,0.71,0.59,,0.38,,0.2,1,Yong+2013,YON13,0.71,VMP,,,5.47,6.18,-2.96,-2.25,-2.46,,-2.6399999999999997,,0.18,
BS 17570-063,BPS BS 17570-063,00:20:36.1923,+23:47:37.617,6233,4.46,0.01,-2.95,,,0.4,0.0,0.4,,0.08,,-0.26,1,Yong+2013,YON13,0.0,VMP,,,5.88,5.88,-2.5500000000000003,-2.5500000000000003,-2.87,,-3.21,,0.34,
BS 17583-100,BPS BS 17583-100,21:42:27.8438,+26:40:35.446,5950,3.66,0.73,-2.53,,,0.53,0.0,0.53,,0.2,,-0.33,1,Yong+2013,YON13,0.0,VMP,,,6.43,6.43,-1.9999999999999998,-1.9999999999999998,-2.3299999999999996,,-2.86,,0.53,
CD-35:14849,CD -35 14849,21:33:49.7524,-35:26:14.228,6125,4.11,0.33,-2.41,,,0.22,0.0,0.22,,,,,1,Akerman+2004,AKE04,0.0,VMP,,,6.24,6.24,-2.19,-2.19,,,,,,
CD-38:245,CD -38 245,00:46:36.1954,-37:39:33.555,4857,1.54,2.5,-4.15,,1.07,-0.33,0.24,-0.09,,,,-0.76,1,Yong+2013,YON13,0.24,UMP,,,3.95,4.19,-4.48,-4.24,,,-4.91,,,
CD-42:14278,CD -42 14278,19:32:19.1474,-42:12:43.711,5812,4.25,0.1,-2.12,,,0.15,0.0,0.15,,,,,1,Akerman+2004,AKE04,0.0,VMP,,,6.46,6.46,-1.9700000000000002,-1.9700000000000002,,,,,,
CS 22166-016,BPS CS 22166-016,00:58:23.8415,-14:47:06.878,5388,3.26,0.96,-2.3,,,0.21,0.0,0.21,,0.3,,-0.24,1,Lai+2007,LAI07,0.0,VMP,,,6.34,6.34,-2.09,-2.09,-1.9999999999999998,,-2.54,,0.54,
CS 22169-035,BPS CS 22169-035,04:12:13.8814,-12:05:05.075,4654,1.1,2.87,-2.95,,1.02,-0.24,0.72,0.48,,0.02,,-1.19,1,Yong+2013,YON13,0.72,VMP,,,5.24,5.96,-3.1900000000000004,-2.47,-2.93,,-4.140000000000001,,1.21,
CS 22172-002,BPS CS 22172-002,03:14:20.8495,-10:35:11.277,4893,1.68,2.37,-3.77,,0.24,0.0,0.13,0.13,,-1.21,,-1.17,1,Yong+2013,YON13,0.13,EMP,,,4.66,4.79,-3.77,-3.64,-4.98,,-4.9399999999999995,,-0.040000000000000036,
CS 22174-007,BPS CS 22174-007,01:14:06.4774,-11:02:35.434,5265,2.78,1.4,-2.39,1.42,,0.41,0.01,0.42,,,,-0.14,1,Yong+2013,YON13,0.01,VMP,,,6.45,6.46,-1.9800000000000002,-1.9700000000000002,,,-2.5300000000000002,,,
CS 22174-012,BPS CS 22174-012,01:14:16.1665,-08:29:49.277,4934,2.06,2.01,-2.35,,,-0.74,0.02,-0.72,,-0.45,,-0.95,1,Lai+2007,LAI07,0.02,VMP,,,5.34,5.36,-3.09,-3.0700000000000003,-2.8000000000000003,,-3.3,,0.49999999999999994,
CS 22175-007,BPS CS 22175-007,02:17:26.6223,-09:00:45.171,5108,2.46,1.67,-2.81,,,0.15,0.01,0.16,,0.27,,-0.52,1,Barklem+2005,BAR05,0.01,VMP,,,5.77,5.78,-2.66,-2.65,-2.54,,-3.33,,0.79,
CS 22177-009,BPS CS 22177-009,04:07:40.6490,-25:02:43.970,6423,4.37,0.16,-2.98,,,0.38,0.0,0.38,,-0.26,,,1,Yong+2013,YON13,0.0,VMP,,,5.83,5.83,-2.6,-2.6,-3.24,,,,,
CS 22182-033,BPS CS 22182-033,04:23:10.4797,-30:37:04.189,5700,3.3,1.02,-2.67,,,0.24,0.0,0.24,,0.01,,-0.41,1,Preston+2006,PRE06,0.0,VMP,,,6.0,6.0,-2.4299999999999997,-2.4299999999999997,-2.66,,-3.08,,0.42,
CS 22183-031,BPS CS 22183-031,01:09:05.0900,-04:43:21.343,5202,2.54,1.62,-3.17,,,0.42,0.01,0.43,,0.14,,-0.33,1,Yong+2013,YON13,0.01,EMP,,,5.68,5.69,-2.75,-2.7399999999999998,-3.03,,-3.5,,0.47000000000000003,
CS 22185-007,BPS CS 22185-007,03:17:36.0539,-15:17:22.698,5193,2.73,1.43,-2.28,,,0.21,0.01,0.22,,-0.42,,-0.51,1,Lai+2007,LAI07,0.01,VMP,,,6.36,6.37,-2.07,-2.0599999999999996,-2.6999999999999997,,-2.79,,0.09000000000000002,
CS 22186-025,BPS CS 22186-025,04:24:32.7982,-37:09:02.518,4871,1.66,2.39,-3.07,,0.98,-0.54,0.26,-0.28,,-0.02,,0.02,1,Yong+2013,YON13,0.26,EMP,,,4.82,5.08,-3.61,-3.3499999999999996,-3.09,,-3.05,,-0.04,
CS 22189-009,BPS CS 22189-009,02:41:42.3721,-13:28:10.603,4944,1.83,2.24,-3.48,,0.27,0.31,0.03,0.34,,-0.85,,-1.29,1,Yong+2013,YON13,0.03,EMP,,,5.26,5.29,-3.17,-3.14,-4.33,,-4.77,,0.44000000000000006,
CS 22872-102,BPS CS 22872-102,16:29:20.6944,-03:04:56.728,5911,3.6,0.78,-2.94,0.55,,0.6,0.0,0.6,,-0.17,,-0.62,1,Yong+2013,YON13,0.0,VMP,,,6.09,6.09,-2.34,-2.34,-3.11,,-3.56,,0.44999999999999996,
CS 22873-055,BPS CS 22873-055,19:53:49.7804,-59:40:00.163,4551,0.82,3.11,-2.99,,1.07,-0.73,0.75,0.02,,-0.39,,-0.45,1,Yong+2013,YON13,0.75,VMP,,,4.71,5.46,-3.72,-2.97,-3.3800000000000003,,-3.4400000000000004,,0.06,
CS 22873-128,BPS CS 22873-128,20:07:03.7915,-58:34:57.592,4960,2.1,1.98,-2.86,,,0.18,0.01,0.19,,-0.43,,-0.96,1,McWilliam+1995,MCW95,0.01,VMP,,,5.75,5.76,-2.6799999999999997,-2.67,-3.29,,-3.82,,0.53,
CS 22873-166,BPS CS 22873-166,20:19:22.0362,-61:30:15.119,4516,0.77,3.14,-2.74,,1.05,-0.13,0.73,0.6,,0.18,,-0.7,1,Yong+2013,YON13,0.73,VMP,,,5.56,6.29,-2.87,-2.14,-2.56,,-3.4400000000000004,,0.8799999999999999,
CS 22877-001,BPS CS 22877-001,13:13:55.3726,-12:11:41.666,4790,1.45,2.57,-3.24,,-0.15,1.03,0.44,1.47,,-0.02,,-0.58,1,Roederer+2014,ROE14,0.44,EMP,,NO,6.22,6.66,-2.21,-1.7700000000000002,-3.2600000000000002,,-3.8200000000000003,,0.5599999999999999,
CS 22877-011,BPS CS 22877-011,13:14:40.1709,-09:35:46.570,5130,2.35,1.79,-2.9,,,0.07,0.01,0.08,,-1.21,,-1.34,1,McWilliam+1995,MCW95,0.01,VMP,,,5.6,5.61,-2.83,-2.82,-4.109999999999999,,-4.24,,0.13000000000000012,
CS 22878-027,BPS CS 22878-027,16:37:35.8437,+10:22:07.754,6319,4.41,0.09,-2.51,1.06,,0.86,0.0,0.86,,-0.29,-0.75,,1,Yong+2013,YON13,0.0,VMP,,NO,6.78,6.78,-1.65,-1.65,-2.8,,,-3.26,,0.46
CS 22878-101,BPS CS 22878-101,16:45:31.4513,+08:14:45.470,4796,1.44,2.58,-3.31,,1.33,-0.29,0.45,0.16,,-0.13,,-0.64,1,Yong+2013,YON13,0.45,EMP,,,4.83,5.28,-3.6,-3.15,-3.44,,-3.95,,0.51,
CS 22878-121,BPS CS 22878-121,16:47:50.0361,+11:39:11.349,5450,1.9,2.34,-2.38,,,-0.25,0.11,-0.14,,0.18,,-0.08,1,Preston+2006,PRE06,0.11,VMP,,,5.8,5.91,-2.63,-2.52,-2.1999999999999997,,-2.46,,0.26,
CS 22879-097,BPS CS 22879-097,20:48:46.5523,-38:30:49.420,5800,2.3,2.05,-2.43,,,0.5,0.01,0.51,,0.26,,-0.47,1,Preston+2006,PRE06,0.01,VMP,,,6.5,6.51,-1.9300000000000002,-1.9200000000000002,-2.17,,-2.9000000000000004,,0.73,
CS 22879-103,BPS CS 22879-103,20:47:10.1397,-37:26:52.506,5775,1.85,2.49,-2.08,,,0.05,0.18,0.23,,0.68,,0.21,1,Preston+2006,PRE06,0.18,VMP,,,6.4,6.58,-2.0300000000000002,-1.85,-1.4,,-1.87,,0.4700000000000001,
CS 22880-086,BPS CS 22880-086,20:45:47.5279,-18:33:32.356,5196,2.54,1.62,-3.05,,,0.24,0.01,0.25,,-0.03,,-0.85,1,Yong+2013,YON13,0.01,EMP,,,5.62,5.63,-2.8099999999999996,-2.8,-3.0799999999999996,,-3.9,,0.82,
CS 22882-001,BPS CS 22882-001,00:20:25.2919,-31:39:04.069,5950,2.5,1.89,-2.49,,,0.06,0.01,0.07,,0.29,,0.13,1,Preston+2006,PRE06,0.01,VMP,,,6.0,6.01,-2.43,-2.4200000000000004,-2.2,,-2.3600000000000003,,0.15999999999999998,
CS 22885-096,BPS CS 22885-096,20:20:51.1730,-39:53:30.234,4992,1.93,2.16,-3.86,,0.26,0.26,0.01,0.27,,-1.26,,-1.1,1,Yong+2013,YON13,0.01,EMP,,,4.83,4.84,-3.5999999999999996,-3.59,-5.12,,-4.96,,-0.15999999999999992,
CS 22886-042,BPS CS 22886-042,22:20:25.8163,-10:23:20.107,4798,1.48,2.54,-2.83,2.03,,0.12,0.44,0.56,,-0.07,,-0.32,1,Yong+2013,YON13,0.44,VMP,,,5.72,6.16,-2.71,-2.27,-2.9,,-3.15,,0.25,
CS 22888-031,BPS CS 22888-031,23:11:32.4788,-35:26:42.872,6241,4.47,0.01,-3.31,,,0.38,0.0,0.38,,0.28,,,1,Yong+2013,YON13,0.0,EMP,,,5.5,5.5,-2.93,-2.93,-3.0300000000000002,,,,,
CS 22891-184,BPS CS 22891-184,19:26:12.3252,-60:34:06.291,5600,2.2,2.09,-2.59,,,0.26,0.01,0.27,,0.09,,-0.08,1,Preston+2006,PRE06,0.01,VMP,,,6.1,6.11,-2.33,-2.32,-2.5,,-2.67,,0.16999999999999998,
CS 22891-200,BPS CS 22891-200,19:35:19.0776,-61:42:24.374,4490,0.5,3.4,-3.47,,1.2,0.64,0.73,1.37,,-1.32,,-0.93,1,McWilliam+1995,MCW95,0.73,EMP,,NO,5.6,6.33,-2.83,-2.1,-4.79,,-4.4,,-0.39,
CS 22891-209,BPS CS 22891-209,19:42:02.1802,-61:03:44.534,4699,1.18,2.8,-3.32,,1.12,-0.65,0.69,0.04,,0.18,,-0.55,1,Yong+2013,YON13,0.69,EMP,,,4.46,5.15,-3.9699999999999998,-3.28,-3.1399999999999997,,-3.87,,0.73,
CS 22893-010,BPS CS 22893-010,22:58:11.7253,-11:56:45.431,5150,2.45,1.69,-2.93,,1.55,0.13,0.01,0.14,,0.01,,-1.28,1,Roederer+2014,ROE14,0.01,VMP,,,5.63,5.64,-2.8000000000000003,-2.79,-2.9200000000000004,,-4.21,,1.29,
CS 22896-154,BPS CS 22896-154,19:42:26.8926,-56:58:34.059,5100,2.28,1.85,-2.85,,-0.23,0.23,0.01,0.24,,0.63,,0.51,1,Yong+2013,YON13,0.01,VMP,,,5.81,5.82,-2.62,-2.6100000000000003,-2.22,,-2.34,,0.12,
CS 22897-008,BPS CS 22897-008,21:03:11.8565,-65:05:08.852,4795,1.43,2.59,-3.5,,0.24,0.56,0.45,1.01,,0.55,,-1.0,1,Yong+2013,YON13,0.45,EMP,,NO,5.49,5.94,-2.94,-2.49,-2.95,,-4.5,,1.55,
CS 22937-072,BPS CS 22937-072,21:14:40.6179,-37:24:51.771,5450,2.1,2.14,-2.74,,,0.51,0.02,0.53,,0.17,,-0.18,1,Preston+2006,PRE06,0.02,VMP,,,6.2,6.22,-2.2300000000000004,-2.21,-2.5700000000000003,,-2.9200000000000004,,0.35,
CS 22941-012,BPS CS 22941-012,23:28:29.7281,-32:48:46.507,7200,4.2,0.53,-2.02,,0.09,0.09,0.0,0.09,,0.29,,0.01,1,Sneden+2003,SNE03,0.0,VMP,,,6.5,6.5,-1.93,-1.93,-1.73,,-2.0100000000000002,,0.27999999999999997,
CS 22943-132,BPS CS 22943-132,20:22:50.9179,-43:13:39.444,5850,3.6,0.76,-2.67,,0.49,0.69,0.0,0.69,,,,-0.05,1,Roederer+2014,ROE14,0.0,VMP,,,6.45,6.45,-1.98,-1.98,,,-2.7199999999999998,,,
CS 22943-201,BPS CS 22943-201,20:36:28.7984,-43:49:30.137,5970,2.45,1.95,-2.69,,1.56,1.89,0.02,1.91,,,,-0.53,1,Roederer+2014,ROE14,0.02,VMP,,NO,7.63,7.65,-0.8,-0.78,,,-3.2199999999999998,,,
CS 22944-032,BPS CS 22944-032,21:47:43.2239,-13:40:22.958,5293,2.82,1.37,-2.98,-0.44,,0.31,0.01,0.32,,-0.24,,-0.76,1,Yong+2013,YON13,0.01,VMP,,,5.76,5.77,-2.67,-2.66,-3.2199999999999998,,-3.74,,0.52,
CS 22944-039,BPS CS 22944-039,21:45:12.2657,-14:41:24.827,5350,1.5,2.71,-2.41,,,-0.22,0.49,0.27,,0.47,,-0.19,1,Preston+2006,PRE06,0.49,VMP,,,5.8,6.29,-2.6300000000000003,-2.14,-1.9400000000000002,,-2.6,,0.6599999999999999,
CS 22945-028,BPS CS 22945-028,23:31:13.5632,-66:29:57.771,5126,2.55,1.59,-2.66,,,0.17,0.01,0.18,,0.16,,-0.18,1,Barklem+2005,BAR05,0.01,VMP,,,5.94,5.95,-2.49,-2.48,-2.5,,-2.8400000000000003,,0.33999999999999997,
CS 22948-006,BPS CS 22948-006,21:33:17.7082,-39:39:42.812,5550,1.95,2.32,-2.62,,,0.49,0.08,0.57,,-0.22,,-0.68,1,Preston+2006,PRE06,0.08,VMP,,,6.3,6.38,-2.13,-2.0500000000000003,-2.8400000000000003,,-3.3000000000000003,,0.4600000000000001,
CS 22949-048,BPS CS 22949-048,23:26:07.4169,-05:50:06.903,4828,1.81,2.22,-2.73,,,-0.24,0.14,-0.1,,-1.47,-1.38,,1,Lai+2007,LAI07,0.14,VMP,,,5.46,5.6,-2.9699999999999998,-2.83,-4.2,,,-4.109999999999999,,-0.09000000000000008
CS 22950-046,BPS CS 22950-046,20:21:28.3975,-13:16:33.601,4769,1.37,2.64,-3.39,,,-0.5,0.52,0.02,,-0.62,,-1.23,1,Yong+2013,YON13,0.52,EMP,,,4.54,5.06,-3.89,-3.37,-4.01,,-4.62,,0.61,
CS 22951-077,BPS CS 22951-077,21:57:53.2097,-43:08:08.217,5350,1.75,2.46,-2.43,,,-0.1,0.25,0.15,,-0.02,,-0.34,1,Preston+2006,PRE06,0.25,VMP,,,5.9,6.15,-2.5300000000000002,-2.2800000000000002,-2.45,,-2.77,,0.32,
CS 22952-015,BPS CS 22952-015,23:37:28.6873,-05:47:56.594,4824,1.5,2.53,-3.44,,1.31,-0.41,0.38,-0.03,,-0.87,,-1.33,1,Yong+2013,YON13,0.38,EMP,,,4.58,4.96,-3.85,-3.4699999999999998,-4.31,,-4.77,,0.4600000000000001,
CS 22953-003,BPS CS 22953-003,01:02:15.8723,-61:43:45.836,5002,2.01,2.08,-2.93,,0.12,0.3,0.02,0.32,,0.33,,0.49,1,Yong+2013,YON13,0.02,VMP,,,5.8,5.82,-2.6300000000000003,-2.6100000000000003,-2.6,,-2.4400000000000004,,-0.15999999999999998,
CS 22953-037,BPS CS 22953-037,01:25:06.6508,-59:16:00.742,6627,4.11,0.47,-2.7,,,0.37,0.0,0.37,-1.2,,-0.25,,1,Yong+2013,YON13,0.0,VMP,,,6.1,6.1,-2.33,-2.33,,-3.9000000000000004,,-2.95,,-0.95
CS 22956-050,BPS CS 22956-050,21:58:05.8340,-65:13:27.160,4844,1.56,2.48,-3.39,,0.31,0.27,0.33,0.6,,-0.33,,-0.78,1,Yong+2013,YON13,0.33,EMP,,,5.31,5.64,-3.12,-2.79,-3.72,,-4.17,,0.45,
CS 22957-013,BPS CS 22957-013,23:55:49.0555,-05:22:52.872,4904,1.96,2.1,-2.64,,,0.06,0.06,0.12,,-0.17,,-0.6,1,Barklem+2005,BAR05,0.06,VMP,,,5.85,5.91,-2.58,-2.52,-2.81,,-3.24,,0.42999999999999994,
CS 22957-022,BPS CS 22957-022,00:01:45.4879,-05:49:46.650,5146,2.4,1.74,-2.92,,0.21,0.16,0.01,0.17,,-0.31,,-1.09,1,Yong+2013,YON13,0.01,VMP,,,5.67,5.68,-2.76,-2.75,-3.23,,-4.01,,0.78,
CS 22958-042,BPS CS 22958-042,02:01:07.4297,-57:16:58.850,5760,3.55,0.79,-2.99,,2.25,2.15,0.0,2.15,,-0.52,,-1.02,1,Roederer+2014,ROE14,0.0,VMP,,NO,7.59,7.59,-0.8400000000000003,-0.8400000000000003,-3.5100000000000002,,-4.01,,0.5,
CS 22958-083,BPS CS 22958-083,02:15:42.7299,-53:59:56.257,4900,1.9,2.16,-2.97,,,0.71,0.07,0.78,,-0.14,-0.82,,1,Preston+2006,PRE06,0.07,VMP,,NO,6.17,6.24,-2.2600000000000002,-2.1900000000000004,-3.1100000000000003,,,-3.79,,0.6799999999999999
