Name,Teff,logg,log_L,[Fe/H],ul[N/Fe],[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,ul[Sr/Fe],[Sr/Fe],ul[Ba/Fe],[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key,epsc,epsc_f,[C/H],[C/H]f,[Sr/H],ul[Sr/H],[Ba/H],ul[Ba/H],[Sr/Ba]
BS 16083-172,5300,3.1,1.09,-2.53,,,0.34,0.01,0.35,,0.19,,-0.33,1,Aoki+2005,AOK05,VMP,,,6.24,6.25,-2.19,-2.1799999999999997,-2.34,,-2.86,,0.52
BS 16084-160,4727,1.27,2.72,-3.2,,0.78,-0.12,0.6,0.48,,-2.07,,-2.06,1,Yong+2013,YON13,EMP,,,5.11,5.71,-3.3200000000000003,-2.72,-5.27,,-5.26,,-0.009999999999999787
BS 16085-050,4882,1.93,2.12,-2.71,,,-0.84,0.06,-0.78,,-1.67,,-1.62,1,Yong+2013,YON13,VMP,,,4.88,4.94,-3.55,-3.49,-4.38,,-4.33,,-0.04999999999999982
BS 16089-013,4900,1.7,2.36,-2.82,,,-0.23,0.24,0.01,,0.21,,-0.09,1,Aoki+2005,AOK05,VMP,,,5.38,5.62,-3.05,-2.81,-2.61,,-2.9099999999999997,,0.3
BS 16467-062,5310,2.8,1.4,-3.8,0.45,,0.4,0.01,0.41,,-1.67,-0.57,,1,Yong+2013,YON13,EMP,,,5.03,5.04,-3.4,-3.3899999999999997,-5.47,,,-4.37,
BS 16469-075,4919,1.78,2.28,-3.25,,,0.21,0.11,0.32,,0.27,,-1.12,1,Yong+2013,YON13,EMP,,,5.39,5.5,-3.04,-2.93,-2.98,,-4.37,,1.3900000000000001
BS 16472-018,4946,2.08,1.99,-2.29,,,-0.29,0.01,-0.28,,0.19,,-0.14,1,Lai+2007,LAI07,VMP,,,5.85,5.86,-2.58,-2.5700000000000003,-2.1,,-2.43,,0.33
BS 16477-003,4879,1.66,2.39,-3.39,-0.26,,0.29,0.21,0.5,,0.11,,-0.45,1,Yong+2013,YON13,EMP,,,5.33,5.54,-3.1,-2.89,-3.2800000000000002,,-3.8400000000000003,,0.56
BS 16543-092,4523,1.14,2.78,-2.19,,,-1.04,0.72,-0.32,,-0.36,,-0.63,1,Lai+2007,LAI07,VMP,,,5.2,5.92,-3.23,-2.51,-2.55,,-2.82,,0.27
BS 16543-097,5000,2.1,1.99,-2.52,,,0.29,0.02,0.31,,0.12,,-0.12,1,Aoki+2005,AOK05,VMP,,,6.2,6.22,-2.23,-2.21,-2.4,,-2.64,,0.24
BS 16547-006,6047,3.72,0.7,-2.21,,,0.73,0.0,0.73,,-0.44,,-0.52,1,Lai+2007,LAI07,VMP,,NO,6.95,6.95,-1.48,-1.48,-2.65,,-2.73,,0.08000000000000002
BS 16550-087,4754,1.32,2.68,-3.54,,1.11,-0.49,0.56,0.07,,0.53,,-0.75,1,Yong+2013,YON13,EMP,,,4.4,4.96,-4.03,-3.47,-3.01,,-4.29,,1.28
BS 16928-053,4679,1.16,2.82,-2.93,,1.05,-0.24,0.69,0.45,,-0.19,,-0.79,1,Yong+2013,YON13,VMP,,,5.26,5.95,-3.17,-2.48,-3.12,,-3.72,,0.6000000000000001
BS 16929-005,5229,2.61,1.56,-3.34,,0.32,0.99,0.01,1.0,,,,-0.41,1,Yong+2013,YON13,EMP,,NO,6.08,6.09,-2.3499999999999996,-2.34,,,-3.75,,
BS 16934-002,4500,1.0,2.91,-2.82,,0.64,-0.26,0.74,0.48,,-1.27,,-1.65,1,Aoki+2007,AOK07,VMP,,,5.35,6.09,-3.08,-2.34,-4.09,,-4.47,,0.3799999999999999
BS 16945-054,5281,2.99,1.2,-2.76,,,0.06,0.01,0.07,,-0.04,,-0.01,1,Lai+2007,LAI07,VMP,,,5.73,5.74,-2.6999999999999997,-2.69,-2.8,,-2.7699999999999996,,-0.03
BS 16968-061,6343,3.82,0.69,-2.85,,,0.45,0.0,0.45,,-0.47,,-0.23,1,Yong+2013,YON13,VMP,,,6.03,6.03,-2.4,-2.4,-3.3200000000000003,,-3.08,,-0.23999999999999996
BS 16981-009,5259,2.92,1.26,-2.71,,,0.36,0.0,0.36,,,,,1,Lai+2007,LAI07,VMP,,,6.08,6.08,-2.35,-2.35,,,,,
BS 17139-007,5918,3.66,0.72,-2.25,,,0.26,0.0,0.26,,-0.55,,-0.62,1,Lai+2007,LAI07,VMP,,,6.44,6.44,-1.99,-1.99,-2.8,,-2.87,,0.06999999999999995
BS 17439-065,5100,1.6,2.53,-2.39,,,-0.54,0.4,-0.14,,-0.22,,-0.42,1,Aoki+2005,AOK05,VMP,,,5.5,5.9,-2.93,-2.5300000000000002,-2.6100000000000003,,-2.81,,0.19999999999999998
BS 17569-049,4645,1.09,2.87,-2.84,,0.86,-0.12,0.71,0.59,,0.38,,0.2,1,Yong+2013,YON13,VMP,,,5.47,6.18,-2.96,-2.25,-2.46,,-2.6399999999999997,,0.18
BS 17570-063,6233,4.46,0.01,-2.95,,,0.4,0.0,0.4,,0.08,,-0.26,1,Yong+2013,YON13,VMP,,,5.88,5.88,-2.5500000000000003,-2.5500000000000003,-2.87,,-3.21,,0.34
BS 17583-100,5950,3.66,0.73,-2.53,,,0.53,0.0,0.53,,0.2,,-0.33,1,Yong+2013,YON13,VMP,,,6.43,6.43,-1.9999999999999998,-1.9999999999999998,-2.3299999999999996,,-2.86,,0.53
CD-35:14849,6125,4.11,0.33,-2.41,,,0.22,0.0,0.22,,,,,1,Akerman+2004,AKE04,VMP,,,6.24,6.24,-2.19,-2.19,,,,,
CD-38:245,4857,1.54,2.5,-4.15,,1.07,-0.33,0.24,-0.09,,,,-0.76,1,Yong+2013,YON13,UMP,,,3.95,4.19,-4.48,-4.24,,,-4.91,,
CD-42:14278,5812,4.25,0.1,-2.12,,,0.15,0.0,0.15,,,,,1,Akerman+2004,AKE04,VMP,,,6.46,6.46,-1.9700000000000002,-1.9700000000000002,,,,,
CS 22166-016,5388,3.26,0.96,-2.3,,,0.21,0.0,0.21,,0.3,,-0.24,1,Lai+2007,LAI07,VMP,,,6.34,6.34,-2.09,-2.09,-1.9999999999999998,,-2.54,,0.54
CS 22169-035,4654,1.1,2.87,-2.95,,1.02,-0.24,0.72,0.48,,0.02,,-1.19,1,Yong+2013,YON13,VMP,,,5.24,5.96,-3.1900000000000004,-2.47,-2.93,,-4.140000000000001,,1.21
CS 22172-002,4893,1.68,2.37,-3.77,,0.24,0.0,0.13,0.13,,-1.21,,-1.17,1,Yong+2013,YON13,EMP,,,4.66,4.79,-3.77,-3.64,-4.98,,-4.9399999999999995,,-0.040000000000000036
CS 22174-007,5265,2.78,1.4,-2.39,1.42,,0.41,0.01,0.42,,,,-0.14,1,Yong+2013,YON13,VMP,,,6.45,6.46,-1.9800000000000002,-1.9700000000000002,,,-2.5300000000000002,,
CS 22174-012,4934,2.06,2.01,-2.35,,,-0.74,0.02,-0.72,,-0.45,,-0.95,1,Lai+2007,LAI07,VMP,,,5.34,5.36,-3.09,-3.0700000000000003,-2.8000000000000003,,-3.3,,0.49999999999999994
CS 22175-007,5108,2.46,1.67,-2.81,,,0.15,0.01,0.16,,0.27,,-0.52,1,Barklem+2005,BAR05,VMP,,,5.77,5.78,-2.66,-2.65,-2.54,,-3.33,,0.79
CS 22177-009,6423,4.37,0.16,-2.98,,,0.38,0.0,0.38,,-0.26,,,1,Yong+2013,YON13,VMP,,,5.83,5.83,-2.6,-2.6,-3.24,,,,
CS 22182-033,5700,3.3,1.02,-2.67,,,0.24,0.0,0.24,,0.01,,-0.41,1,Preston+2006,PRE06,VMP,,,6.0,6.0,-2.4299999999999997,-2.4299999999999997,-2.66,,-3.08,,0.42
CS 22183-031,5202,2.54,1.62,-3.17,,,0.42,0.01,0.43,,0.14,,-0.33,1,Yong+2013,YON13,EMP,,,5.68,5.69,-2.75,-2.7399999999999998,-3.03,,-3.5,,0.47000000000000003
CS 22185-007,5193,2.73,1.43,-2.28,,,0.21,0.01,0.22,,-0.42,,-0.51,1,Lai+2007,LAI07,VMP,,,6.36,6.37,-2.07,-2.0599999999999996,-2.6999999999999997,,-2.79,,0.09000000000000002
CS 22186-023,5066,2.19,1.92,-2.72,,,0.26,0.01,0.27,,-0.05,,-0.98,1,Barklem+2005,BAR05,VMP,,,5.97,5.98,-2.46,-2.45,-2.77,,-3.7,,0.9299999999999999
CS 22186-025,4871,1.66,2.39,-3.07,,0.98,-0.54,0.26,-0.28,,-0.02,,0.02,1,Yong+2013,YON13,EMP,,,4.82,5.08,-3.61,-3.3499999999999996,-3.09,,-3.05,,-0.04
CS 22189-009,4944,1.83,2.24,-3.48,,0.27,0.31,0.03,0.34,,-0.85,,-1.29,1,Yong+2013,YON13,EMP,,,5.26,5.29,-3.17,-3.14,-4.33,,-4.77,,0.44000000000000006
CS 22872-102,5911,3.6,0.78,-2.94,0.55,,0.6,0.0,0.6,,-0.17,,-0.62,1,Yong+2013,YON13,VMP,,,6.09,6.09,-2.34,-2.34,-3.11,,-3.56,,0.44999999999999996
CS 22873-055,4551,0.82,3.11,-2.99,,1.07,-0.73,0.75,0.02,,-0.39,,-0.45,1,Yong+2013,YON13,VMP,,,4.71,5.46,-3.72,-2.97,-3.3800000000000003,,-3.4400000000000004,,0.06
CS 22873-128,4960,2.1,1.98,-2.86,,,0.18,0.01,0.19,,-0.43,,-0.96,1,McWilliam+1995,MCW95,VMP,,,5.75,5.76,-2.6799999999999997,-2.67,-3.29,,-3.82,,0.53
CS 22873-166,4516,0.77,3.14,-2.74,,1.05,-0.13,0.73,0.6,,0.18,,-0.7,1,Yong+2013,YON13,VMP,,,5.56,6.29,-2.87,-2.14,-2.56,,-3.4400000000000004,,0.8799999999999999
CS 22877-001,4790,1.45,2.57,-3.24,,-0.15,1.03,0.44,1.47,,-0.02,,-0.58,1,Roederer+2014,ROE14,EMP,,NO,6.22,6.66,-2.21,-1.7700000000000002,-3.2600000000000002,,-3.8200000000000003,,0.5599999999999999
CS 22877-011,5130,2.35,1.79,-2.9,,,0.07,0.01,0.08,,-1.21,,-1.34,1,McWilliam+1995,MCW95,VMP,,,5.6,5.61,-2.83,-2.82,-4.109999999999999,,-4.24,,0.13000000000000012
CS 22878-027,6319,4.41,0.09,-2.51,1.06,,0.86,0.0,0.86,,-0.29,-0.75,,1,Yong+2013,YON13,VMP,,NO,6.78,6.78,-1.65,-1.65,-2.8,,,-3.26,
CS 22878-101,4796,1.44,2.58,-3.31,,1.33,-0.29,0.45,0.16,,-0.13,,-0.64,1,Yong+2013,YON13,EMP,,,4.83,5.28,-3.6,-3.15,-3.44,,-3.95,,0.51
CS 22878-121,5450,1.9,2.34,-2.38,,,-0.25,0.11,-0.14,,0.18,,-0.08,1,Preston+2006,PRE06,VMP,,,5.8,5.91,-2.63,-2.52,-2.1999999999999997,,-2.46,,0.26
CS 22879-097,5800,2.3,2.05,-2.43,,,0.5,0.01,0.51,,0.26,,-0.47,1,Preston+2006,PRE06,VMP,,,6.5,6.51,-1.9300000000000002,-1.9200000000000002,-2.17,,-2.9000000000000004,,0.73
CS 22879-103,5775,1.85,2.49,-2.08,,,0.05,0.18,0.23,,0.68,,0.21,1,Preston+2006,PRE06,VMP,,,6.4,6.58,-2.0300000000000002,-1.85,-1.4,,-1.87,,0.4700000000000001
CS 22880-086,5196,2.54,1.62,-3.05,,,0.24,0.01,0.25,,-0.03,,-0.85,1,Yong+2013,YON13,EMP,,,5.62,5.63,-2.8099999999999996,-2.8,-3.0799999999999996,,-3.9,,0.82
CS 22882-001,5950,2.5,1.89,-2.49,,,0.06,0.01,0.07,,0.29,,0.13,1,Preston+2006,PRE06,VMP,,,6.0,6.01,-2.43,-2.4200000000000004,-2.2,,-2.3600000000000003,,0.15999999999999998
CS 22885-096,4992,1.93,2.16,-3.86,,0.26,0.26,0.01,0.27,,-1.26,,-1.1,1,Yong+2013,YON13,EMP,,,4.83,4.84,-3.5999999999999996,-3.59,-5.12,,-4.96,,-0.15999999999999992
CS 22886-042,4798,1.48,2.54,-2.83,2.03,,0.12,0.44,0.56,,-0.07,,-0.32,1,Yong+2013,YON13,VMP,,,5.72,6.16,-2.71,-2.27,-2.9,,-3.15,,0.25
CS 22888-031,6241,4.47,0.01,-3.31,,,0.38,0.0,0.38,,0.28,,,1,Yong+2013,YON13,EMP,,,5.5,5.5,-2.93,-2.93,-3.0300000000000002,,,,
CS 22891-184,5600,2.2,2.09,-2.59,,,0.26,0.01,0.27,,0.09,,-0.08,1,Preston+2006,PRE06,VMP,,,6.1,6.11,-2.33,-2.32,-2.5,,-2.67,,0.16999999999999998
CS 22891-200,4490,0.5,3.4,-3.47,,1.2,0.64,0.73,1.37,,-1.32,,-0.93,1,McWilliam+1995,MCW95,EMP,,NO,5.6,6.33,-2.83,-2.1,-4.79,,-4.4,,-0.39
CS 22891-209,4699,1.18,2.8,-3.32,,1.12,-0.65,0.69,0.04,,0.18,,-0.55,1,Yong+2013,YON13,EMP,,,4.46,5.15,-3.9699999999999998,-3.28,-3.1399999999999997,,-3.87,,0.73
CS 22892-052,4710,1.5,2.49,-3.1,,1.0,1.05,0.38,1.43,,0.68,,0.96,0,Masseron+2012,MAS12,EMP,R2,CE,6.38,6.76,-2.05,-1.6700000000000002,-2.42,,-2.14,,-0.2799999999999999
CS 22893-010,5150,2.45,1.69,-2.93,,1.55,0.13,0.01,0.14,,0.01,,-1.28,1,Roederer+2014,ROE14,VMP,,,5.63,5.64,-2.8000000000000003,-2.79,-2.9200000000000004,,-4.21,,1.29
CS 22896-154,5100,2.28,1.85,-2.85,,-0.23,0.23,0.01,0.24,,0.63,,0.51,1,Yong+2013,YON13,VMP,,,5.81,5.82,-2.62,-2.6100000000000003,-2.22,,-2.34,,0.12
CS 22897-008,4795,1.43,2.59,-3.5,,0.24,0.56,0.45,1.01,,0.55,,-1.0,1,Yong+2013,YON13,EMP,,NO,5.49,5.94,-2.94,-2.49,-2.95,,-4.5,,1.55
CS 22937-072,5450,2.1,2.14,-2.74,,,0.51,0.02,0.53,,0.17,,-0.18,1,Preston+2006,PRE06,VMP,,,6.2,6.22,-2.2300000000000004,-2.21,-2.5700000000000003,,-2.9200000000000004,,0.35
CS 22941-012,7200,4.2,0.53,-2.02,,0.09,0.09,0.0,0.09,,0.29,,0.01,1,Sneden+2003,SNE03,VMP,,,6.5,6.5,-1.93,-1.93,-1.73,,-2.0100000000000002,,0.27999999999999997
CS 22943-132,5850,3.6,0.76,-2.67,,0.49,0.69,0.0,0.69,,,,-0.05,1,Roederer+2014,ROE14,VMP,,,6.45,6.45,-1.98,-1.98,,,-2.7199999999999998,,
CS 22943-201,5970,2.45,1.95,-2.69,,1.56,1.89,0.02,1.91,,,,-0.53,1,Roederer+2014,ROE14,VMP,,NO,7.63,7.65,-0.8,-0.78,,,-3.2199999999999998,,
CS 22944-032,5293,2.82,1.37,-2.98,-0.44,,0.31,0.01,0.32,,-0.24,,-0.76,1,Yong+2013,YON13,VMP,,,5.76,5.77,-2.67,-2.66,-3.2199999999999998,,-3.74,,0.52
CS 22944-039,5350,1.5,2.71,-2.41,,,-0.22,0.49,0.27,,0.47,,-0.19,1,Preston+2006,PRE06,VMP,,,5.8,6.29,-2.6300000000000003,-2.14,-1.9400000000000002,,-2.6,,0.6599999999999999
CS 22945-028,5126,2.55,1.59,-2.66,,,0.17,0.01,0.18,,0.16,,-0.18,1,Barklem+2005,BAR05,VMP,,,5.94,5.95,-2.49,-2.48,-2.5,,-2.8400000000000003,,0.33999999999999997
CS 22948-006,5550,1.95,2.32,-2.62,,,0.49,0.08,0.57,,-0.22,,-0.68,1,Preston+2006,PRE06,VMP,,,6.3,6.38,-2.13,-2.0500000000000003,-2.8400000000000003,,-3.3000000000000003,,0.4600000000000001
CS 22948-066,4830,1.55,2.48,-3.18,,1.05,-0.74,0.36,-0.38,,-0.35,,-1.15,1,Roederer+2014,ROE14,EMP,,,4.51,4.87,-3.92,-3.56,-3.5300000000000002,,-4.33,,0.7999999999999999
CS 22949-037,4630,0.95,3.01,-4.21,,2.5,0.99,0.74,1.73,,,,-0.78,1,Roederer+2014,ROE14,UMP,,NO,5.21,5.95,-3.2199999999999998,-2.48,,,-4.99,,
CS 22949-048,4828,1.81,2.22,-2.73,,,-0.24,0.14,-0.1,,-1.47,-1.38,,1,Lai+2007,LAI07,VMP,,,5.46,5.6,-2.9699999999999998,-2.83,-4.2,,,-4.109999999999999,
CS 22950-046,4769,1.37,2.64,-3.39,,,-0.5,0.52,0.02,,-0.62,,-1.23,1,Yong+2013,YON13,EMP,,,4.54,5.06,-3.89,-3.37,-4.01,,-4.62,,0.61
CS 22951-077,5350,1.75,2.46,-2.43,,,-0.1,0.25,0.15,,-0.02,,-0.34,1,Preston+2006,PRE06,VMP,,,5.9,6.15,-2.5300000000000002,-2.2800000000000002,-2.45,,-2.77,,0.32
CS 22952-015,4824,1.5,2.53,-3.44,,1.31,-0.41,0.38,-0.03,,-0.87,,-1.33,1,Yong+2013,YON13,EMP,,,4.58,4.96,-3.85,-3.4699999999999998,-4.31,,-4.77,,0.4600000000000001
CS 22953-003,5002,2.01,2.08,-2.93,,0.12,0.3,0.02,0.32,,0.33,,0.49,1,Yong+2013,YON13,VMP,,,5.8,5.82,-2.6300000000000003,-2.6100000000000003,-2.6,,-2.4400000000000004,,-0.15999999999999998
CS 22953-037,6627,4.11,0.47,-2.7,,,0.37,0.0,0.37,-1.2,,-0.25,,1,Yong+2013,YON13,VMP,,,6.1,6.1,-2.33,-2.33,,-3.9000000000000004,,-2.95,
CS 22956-050,4844,1.56,2.48,-3.39,,0.31,0.27,0.33,0.6,,-0.33,,-0.78,1,Yong+2013,YON13,EMP,,,5.31,5.64,-3.12,-2.79,-3.72,,-4.17,,0.45
CS 22957-013,4904,1.96,2.1,-2.64,,,0.06,0.06,0.12,,-0.17,,-0.6,1,Barklem+2005,BAR05,VMP,,,5.85,5.91,-2.58,-2.52,-2.81,,-3.24,,0.42999999999999994
CS 22957-022,5146,2.4,1.74,-2.92,,0.21,0.16,0.01,0.17,,-0.31,,-1.09,1,Yong+2013,YON13,VMP,,,5.67,5.68,-2.76,-2.75,-3.23,,-4.01,,0.78
CS 22957-027,5220,2.65,1.52,-3.0,,1.5,2.42,0.02,2.44,,,,-1.0,1,Roederer+2014,ROE14,EMP,,NO,7.85,7.87,-0.5800000000000001,-0.56,,,-4.0,,
CS 22958-042,5760,3.55,0.79,-2.99,,2.25,2.15,0.0,2.15,,-0.52,,-1.02,1,Roederer+2014,ROE14,VMP,,NO,7.59,7.59,-0.8400000000000003,-0.8400000000000003,-3.5100000000000002,,-4.01,,0.5
CS 22958-083,4900,1.9,2.16,-2.97,,,0.71,0.07,0.78,,-0.14,-0.82,,1,Preston+2006,PRE06,VMP,,NO,6.17,6.24,-2.2600000000000002,-2.1900000000000004,-3.1100000000000003,,,-3.79,
CS 22960-010,5737,4.85,-0.52,-2.65,,,0.78,0.0,0.78,,,,,1,Barklem+2005,BAR05,VMP,,CE,6.56,6.56,-1.8699999999999999,-1.8699999999999999,,,,,
CS 22960-053,5200,2.1,2.06,-3.14,,,2.05,0.02,2.07,,,,0.86,0,Aoki+2007,AOK07,EMP,,CE,7.34,7.36,-1.0900000000000003,-1.0700000000000003,,,-2.2800000000000002,,
CS 22960-064,5060,2.2,1.91,-2.77,,1.35,0.14,0.01,0.15,,,,-0.2,1,Roederer+2014,ROE14,VMP,,,5.8,5.81,-2.63,-2.62,,,-2.97,,
CS 22963-004,5597,3.34,0.95,-3.54,,0.8,0.4,0.0,0.4,,-0.73,,-0.51,1,Yong+2013,YON13,EMP,,,5.29,5.29,-3.14,-3.14,-4.27,,-4.05,,-0.21999999999999997
CS 22964-214,6180,3.75,0.71,-2.95,,1.51,0.62,0.0,0.62,,-0.25,,-0.54,1,Roederer+2014,ROE14,VMP,,,6.1,6.1,-2.33,-2.33,-3.2,,-3.49,,0.29000000000000004
CS 22965-016,4904,1.99,2.07,-2.42,,,-0.74,0.04,-0.7,,0.12,-1.07,,1,Lai+2007,LAI07,VMP,,,5.27,5.31,-3.16,-3.12,-2.3,,,-3.49,
CS 22965-029,5467,3.38,0.87,-2.14,,,-0.64,0.0,-0.64,,0.64,,0.16,1,Lai+2007,LAI07,VMP,,,5.65,5.65,-2.7800000000000002,-2.7800000000000002,-1.5,,-1.9800000000000002,,0.48
CS 22965-054,6137,3.68,0.77,-3.1,,,0.62,0.0,0.62,,0.19,-0.48,,1,Yong+2013,YON13,EMP,,,5.95,5.95,-2.48,-2.48,-2.91,,,-3.58,
CS 22966-011,6298,4.43,0.06,-3.02,,,0.45,0.0,0.45,,0.13,,-0.05,1,Yong+2013,YON13,EMP,,,5.86,5.86,-2.57,-2.57,-2.89,,-3.07,,0.18
CS 22966-057,5364,3.07,1.14,-2.43,,0.1,0.06,0.01,0.07,,-0.01,,-0.24,1,Yong+2013,YON13,VMP,,,6.06,6.07,-2.37,-2.3600000000000003,-2.44,,-2.67,,0.22999999999999998
CS 22968-001,6000,4.0,0.41,-3.01,,,0.48,0.0,0.48,,-0.23,,-0.69,1,Preston+2006,PRE06,EMP,,,5.9,5.9,-2.53,-2.53,-3.2399999999999998,,-3.6999999999999997,,0.45999999999999996
CS 22968-014,4864,1.6,2.44,-3.58,,0.24,0.25,0.25,0.5,,-1.69,,-1.77,1,Yong+2013,YON13,EMP,,,5.1,5.35,-3.33,-3.08,-5.27,,-5.35,,0.08000000000000007
CS 29491-053,4700,1.21,2.77,-3.03,,0.82,-0.27,0.66,0.39,,-0.15,,-0.89,1,Yong+2013,YON13,EMP,,,5.13,5.79,-3.3,-2.6399999999999997,-3.1799999999999997,,-3.92,,0.74
CS 29491-069,5103,2.45,1.68,-2.81,,,0.14,0.01,0.15,,0.29,,0.32,1,Barklem+2005,BAR05,VMP,,,5.76,5.77,-2.67,-2.66,-2.52,,-2.49,,-0.030000000000000027
CS 29491-109,4736,1.5,2.5,-2.9,,,-0.23,0.43,0.2,,-0.28,,-0.97,1,Barklem+2005,BAR05,VMP,,,5.3,5.73,-3.13,-2.6999999999999997,-3.1799999999999997,,-3.87,,0.69
CS 29493-090,4692,1.28,2.7,-3.13,,0.76,0.7,0.53,1.23,,,,0.52,1,Barklem+2005,BAR05,EMP,,CE,6.0,6.53,-2.4299999999999997,-1.9,,,-2.61,,
CS 29495-041,4740,1.34,2.66,-2.74,,0.4,-0.07,0.55,0.48,,-0.06,,-0.65,1,Yong+2013,YON13,VMP,,,5.62,6.17,-2.81,-2.2600000000000002,-2.8000000000000003,,-3.39,,0.5900000000000001
CS 29497-004,5013,2.23,1.87,-2.81,,,0.18,0.01,0.19,,0.67,,1.16,0,Barklem+2005,BAR05,VMP,R2,,5.8,5.81,-2.63,-2.62,-2.14,,-1.6500000000000001,,-0.4899999999999999
CS 29497-040,5487,3.41,0.84,-2.63,,,0.31,0.0,0.31,0.03,,-0.89,,1,Lai+2007,LAI07,VMP,,,6.11,6.11,-2.32,-2.32,,-2.6,,-3.52,
CS 29498-043,4440,0.5,3.39,-3.85,,1.71,2.72,0.31,3.03,,-0.3,,-0.51,1,Roederer+2014,ROE14,EMP,,NO,7.3,7.61,-1.13,-0.8200000000000003,-4.15,,-4.36,,0.21000000000000002
CS 29499-060,6595,4.05,0.52,-2.5,,,0.38,0.0,0.38,,-0.4,-0.51,,1,Yong+2013,YON13,VMP,,,6.31,6.31,-2.12,-2.12,-2.9,,,-3.01,
CS 29502-042,5039,2.09,2.02,-3.27,,-0.43,0.16,0.01,0.17,,-1.88,,-1.69,1,Yong+2013,YON13,EMP,,,5.32,5.33,-3.11,-3.1,-5.15,,-4.96,,-0.18999999999999995
CS 29502-092,4820,1.5,2.53,-3.2,,1.0,0.96,0.39,1.35,,-0.3,,-1.46,1,Roederer+2014,ROE14,EMP,,NO,6.19,6.58,-2.24,-1.85,-3.5,,-4.66,,1.16
