Star,U_LSR,U_LSR_err,V_LSR,V_LSR_err,W_LSR,W_LSR_err
HD 122563,-151.1,23.6,-252.3,42.2,21.9,7.4
HD 122956,12.1,14.9,-213.9,25.3,111.3,1.4
HD 124358,-97.7,50.7,-532,72.4,295.6,11.8
HD 126512,85.1,4.1,-84.2,3,-78,2.2
HD 128279,4.8,11.5,-85.8,20.5,-261.5,37
HD 132475,34.1,16.7,-363.3,51.8,48.5,7.2
HD 135148,-319.6,99,-273.8,96.3,165,88.3
HD 141531,171.3,30.5,-307.6,53.9,-59.4,14.6
HD 159307,,,,,,
HD 165195,143.2,24.1,-223.5,37.5,-37.5,6.7
HD 166161,133.3,11.7,-164.5,31.4,0.7,1.4
HD 171496,-41.3,9.8,-8.4,2.1,17.2,2.9
HD 184266,-311.6,1.2,-275.4,24.5,-103.4,33.9
HD 184499,-63.6,0.8,-159,1.8,58.6,1.6
HD 186478,168.4,23.3,-381.9,64.3,-71.4,11.4
HD 187111,-146.8,3,-200.8,19.9,-105.5,26.9
HD 188510,-152.7,5,-113.7,5.3,62.3,5.5
HD 193901,-156.7,5,-244.9,31.3,-73.7,26.4
HD 194598,-76,11.3,-275.6,14.6,-31.9,16.6
HD 201891,91.4,18,-115.6,12.9,-58.8,12.4
HD 204543,23.1,13.1,-187.3,21.3,-9.1,11.9
HD 206739,-83.6,9.3,-113.7,14.4,-61.9,17.2
HD 208906,73.1,1.5,-2.9,1.9,-10.9,0.7
HD 210295,125.8,48.3,-150.1,50.7,12.1,8
HD 214362,-332.9,49.4,-244.7,36.7,-136.9,36.3
HD 218857,118.7,8.4,-189.1,6.4,150.8,2
HD 221170,148.1,20.9,-147.2,8.8,-71.3,21.6
HD 221830,-67.4,2.4,-105.3,4.3,57.8,2.4
HD 232078,-224.9,3.5,-319.9,2.9,-0.9,5.6
HD 233666,76.7,12.4,-124.7,39.7,14.3,22.4
HR 0033,19,0.3,-13.2,0.3,-17.7,0.9
HR 0219,-30.3,0.1,-9.2,0.1,-17,0.1
HR 0235,21.4,0.4,-2.7,0.2,-12,0.9
HR 0244,-6.5,0.5,21,0.8,14.3,0.2
HR 0366,-34.1,0.8,21.8,0.6,-8.9,1.9
HR 0368,-26.8,0.9,41.9,1.4,-4.2,1.9
HR 0448,-8.4,0.7,-26.6,0.6,13.5,1.8
HR 0458,28.6,0.6,-22.3,0.6,-14.2,0.4
HR 0483,-38.1,0.7,-30.4,0.7,-2.4,0.3
HR 0646,-20.4,0.7,-12,0.5,3.8,0.6
HR 0672,-65.3,1.3,9.2,0.2,13.5,1.1
HR 0720,-24.7,1.5,31.9,1,-14.2,1
HR 0740,30.3,0.6,-4.5,0.2,18.6,0.8
HR 0784,15.7,2.6,3.4,0.2,-4.9,4.3
HR 0962,-19.8,0.6,-19.5,0.3,-6.2,0.7
HR 1101,1.6,0.7,-15.1,0.2,-41.7,0.7
HR 1489,-55.4,1.9,-20.5,1.1,12.8,0.5
HR 1536,-53.2,1.6,-73.4,1.3,-22.1,1.1
HR 1545,25.8,1.6,-5.4,0.9,-23.5,1.3
HR 1673,-9.2,0.7,-5.8,0.4,2.4,0.4
HR 1729,-74.9,0.9,-35.3,0.6,3.9,0.1
HR 1983,18.3,0.6,4.7,0.6,-11.7,0.4
HR 2047,13.7,0.9,1.9,0.1,-7.2,0.1
HR 2220,-32.9,0.9,-18.3,0.3,-16.7,0.3
HR 2233,46.4,1.8,2.1,1,-35.5,1.1
HR 2493,-24.1,1.2,25.6,1.7,16.8,0.5
HR 2530,25.8,1.7,-13.2,1.2,-9.4,0.3
HR 2601,-17.2,2,31.8,1.4,-22.4,1.1
HR 2721,-80.3,1.8,-1.5,0.4,32.4,0.8
HR 2835,-59.4,4.6,-2.9,1.4,-28,1.9
HR 2883,,,,,,
HR 2906,-39.1,0.5,-47.4,0.8,-3,0.1
HR 2943,4.7,0.7,-8.8,0.5,-18.6,0.2
HR 3018,-145.9,1,-58,0.9,39.2,0.4
HR 3262,-24.1,0.7,-38.4,0.6,6.9,0.5
HR 3271,,,,,,
HR 3538,-38.2,2.8,-16.9,3.7,-13,2.1
HR 3578,-48.8,0.4,-91.6,0.8,70,0.7
HR 3648,8.3,0.6,-7.5,0.3,-9,0.6
HR 3775,-57.5,0.8,-34.3,0.4,-24.5,0.7
HR 3881,11.6,0.6,-5.6,0.1,17.4,0.7
HR 3951,-55.9,1.2,-43.5,0.5,20.8,1.6
HR 4039,-51.7,1.1,-29.2,0.7,5,1.7
HR 4067,-10.6,1.2,-29.6,0.8,-14.3,1.7
HR 4158,68.3,1.2,-35.1,1.7,-35.5,1.4
HR 4277,-24.7,0.4,-2.3,0.1,1.8,0.8
HR 4533,-29.4,1,-15.7,2.6,-4.4,4.3
HR 4540,40.3,0.3,3.3,0.4,6.9,0.8
HR 4657,,,,,,
HR 4785,-30.8,0.3,-3.4,0.2,1.9,0.9
HR 4845,-41.9,0.4,7,0.3,75.8,2
HR 4983,-50.1,0.3,11.5,0.1,8.4,0.9
HR 5011,-38.2,0.5,1.2,0.2,-16.8,0.9
HR 5019,-23.7,0.4,-46.9,0.6,-32.1,0.6
HR 5235,9.3,0.3,-17,0.2,-2.4,0.9
HR 5447,2,0.2,16,0.3,-5.1,0.8
HR 5723,-4.8,0.7,-23.3,0.8,-13.6,0.6
HR 5914,-41.3,0.3,11.3,0.7,-67.5,0.7
HR 5933,56.5,0.7,-33.2,0.4,-24.3,0.7
HR 6458,25.7,7.5,-80.8,11,-64.3,8.5
HR 7061,37.6,0.6,2.1,0.7,-7.8,0.2
HR 8354,13.6,0.3,15.8,1.9,-7.4,0.7
HR 8969,-7.8,0.1,-26.6,0.7,-26.1,0.8
