Star,note,Teff_alonso,Teff_IRFM,Teff,logg_calc,logg,Vmic,[FeI/H],N_lines,[FeII/H],N_lines,M_V,d,logeps(La/Eu),[C/Fe]
G191-055,2,,5770,5770,,4.50,1.00,-1.63,7,-1.68,5,5.55*,78,0.48,-0.1
G192-043,2,6085,6101,6085,3.73,4.50,1.50,-1.50,7,-1.39,7,5.20*,97,0.23,0.07
G221-007,,,5016,5016,3.37,3.37,0.90,-0.98,20,-0.90,10,3.56,115,0.39,0.05
HD 002665,,4990,5015,4990,2.34,2.34,2.00,-1.99,16,-2.04,9,0.66,236,0.23,-0.05
HD 003008,1, 2,4047,4141,4250,1.03,0.25,2.60,-2.08,18,-2.02,11,-3.49*,3868,0.30,-0.25
HD 006755,,,5105,5105,2.93,2.93,2.50,-1.68,14,-1.57,10,1.98,129,0.21,-0.2
HD 006833,2,4402,4392,4402,,1.50,1.20,-0.85,12,-0.83,10,-0.65*,163,0.24,-0.2
HD 008724,,4535,4467,4535,1.40,1.40,1.40,-1.91,15,-1.69,10,-1.11,732,0.37,-0.25
HD 021581,,4870,4866,4870,2.27,2.27,1.40,-1.71,10,-1.68,7,0.61,390,0.39,-0.15
HD 023798,1,,4294,4450,1.06,1.06,2.50,-2.26,7,-2.17,7,-1.81,1057,0.35,-0.55
HD 025329,,4842,4571,4842,4.66,4.66,0.60,-1.67,15,-1.56,2,7.18,18,,0.35
HD 025532,2,5396,,5396,2.57,2.00,1.20,-1.34,15,-1.31,9,-0.64*,454,0.51,-0.25
HD 026297,,4322,4271,4322,1.11,1.11,1.80,-1.98,16,-1.76,9,-1.48,620,0.37,-0.45
HD 029574,1,4020,3952,4250,0.80,0.80,2.20,-2.00,14,-1.80,8,-2.11,1165,0.26,-0.65
HD 037828,1, 2,,4299,4350,,1.50,1.85,-1.62,17,-1.42,9,-0.56*,282,0.41,-0.2
HD 044007,2,4851,5007,4851,2.75,2.00,2.00,-1.72,16,-1.71,9,-0.04*,298,0.43,0
HD 063791,1, 2,,4556,4675,,2.00,2.00,-1.90,15,-1.67,10,0.19*,325,0.37,-0.25
HD 074462,1, 2,,4427,4700,,2.00,1.90,-1.52,7,-1.51,9,0.15*,471,0.22,-0.3
HD 082590,,6005,5945,6005,2.75,2.75,3.00,,0,-1.32,6,0.69,528,0.35,-1.05
HD 085773,2,,4268,4268,0.87,0.50,2.00,-2.62,13,-2.39,7,-2.90*,2729,0.28,-0.45
HD 101063,1,,4984,5150,3.25,3.25,1.70,-1.33,16,-1.27,7,2.74,210,0.21,-0.15
HD 103036,1, 2,,4103,4200,1.14,0.25,3.00,-2.04,12,-1.83,7,-3.39*,1990,0.47,-0.35
HD 103545,,4666,4528,4666,1.64,1.64,2.00,-2.45,10,-2.16,5,-0.68,1047,0.38,-0.4
HD 105546,,5190,5147,5190,2.49,2.49,1.60,-1.48,11,-1.41,6,0.79,365,0.42,-0.45
HD 105755,,,5701,5701,3.82,3.82,1.20,-0.83,17,-0.84,10,4.01,78,0.31,0
HD 106516,,,6166,6166,4.21,4.21,1.10,-0.81,13,-0.78,10,4.31,23,0.35,0
HD 107752,,,4649,4649,1.63,1.63,2,-2.78,8,-2.59,5,-0.68,1364,0.40,-0.55
HD 108317,,5234,5230,5234,2.68,2.68,2.00,-2.18,6,-2.28,7,1.26,221,0.23,-0.05
HD 110184,2,4250,4185,4250,0.79,0.50,2.50,-2.72,11,-2.50,6,-2.87*,1662,0.24,-0.3
HD 115444,,4721,4661,4721,1.74,1.74,2.00,-2.90,8,-2.71,5,-0.49,784,0.26,-0.55
HD 119516,,,5382,5382,2.47,2.47,2.50,-2.11,7,-1.85,8,0.56,507,0.31,-1.15
HD 121135,,4934,4885,4934,1.91,1.91,1.60,-1.54,15,-1.37,8,-0.36,869,0.37,-0.45
HD 122563,,4572,4537,4572,1.36,1.36,2.90,-2.72,8,-2.61,7,-1.24,308,0.24,-0.6
HD 122956,,,4508,4508,1.55,1.55,1.60,-1.95,14,-1.69,10,-0.69,356,0.31,-0.3
HD 124358,,4688,4645,4688,1.57,1.57,2.10,-1.91,12,-1.64,7,-0.89,1128,0.26,-0.75
HD 128279,,5290,5316,5290,2.95,2.95,1.50,-2.01,8,-2.13,7,1.86,158,0.42,-0.1
HD 132475,,5788,5425,5425,3.56,3.56,2.30,-1.86,10,-1.68,6,3.61,92,0.54,-0.15
HD 135148,2,,4183,4183,1.24,0.25,2.90,-2.17,12,-2.07,7,-3.36*,3333,0.19,0.8
HD 141531,,4461,4356,4356,1.14,1.14,2.20,-1.79,16,-1.62,9,-1.46,1292,0.27,-0.4
HD 165195,,4237,4316,4237,0.78,0.78,2.30,-2.60,13,-2.28,5,-2.14,646,0.18,-0.5
HD 166161,1,4974,5179,5350,2.56,2.56,2.25,-1.23,16,-1.22,9,0.79,197,0.71,-0.1
HD 171496,,4485,4952,4952,2.37,2.37,1.40,-0.67,13,-0.64,6,0.75,246,0.40,-0.15
HD 184266,1,5587,5565,6000,2.74,2.74,3.00,-1.43,7,-1.40,9,0.68,223,0.32,-0.55
HD 186478,,4598,4565,4598,1.43,1.43,2.00,-2.56,10,-2.44,7,-1.12,1025,0.21,-0.4
HD 187111,,4271,4276,4271,1.05,1.05,1.90,-1.97,11,-1.69,9,-1.54,615,0.31,-0.4
HD 188510,,5564,5373,5564,4.51,4.51,1.00,-1.32,14,-1.62,7,5.82,39,0.38,-0.1
HD 193901,,5750,5768,5750,4.46,4.46,1.50,-1.08,12,-1.16,8,5.43,44,0.29,-0.2
HD 194598,,,6044,6044,4.19,4.19,1.00,-1.08,15,-1.16,8,4.46,56,0.36,-0.05
HD 201891,,5909,5883,5909,4.19,4.19,1.00,-1.09,9,-1.10,7,4.59,35,0.34,0.05
HD 204543,,4672,4600,4672,1.49,1.49,2.00,-1.87,16,-1.72,9,-1.09,725,0.44,-0.55
HD 206739,,4647,4548,4647,1.78,1.78,1.90,-1.72,16,-1.61,9,-0.33,574,0.30,-0.2
HD 210295,1, 2,,4574,4750,,2.50,1.55,-1.46,19,-1.25,9,1.33*,441,0.24,-0.2
HD 214362,,5727,5780,5727,2.62,2.62,2.00,-1.87,4,-1.69,9,0.62,493,0.34,-1.05
HD 218857,,,5103,5103,2.44,2.44,1.90,-1.90,10,-2.01,8,0.81,410,0.26,-0.05
HD 221170,,4410,4402,4410,1.09,1.09,1.70,-2.35,12,-2.03,8,-1.67,689,0.13,-0.5
HD 232078,1, 2,3654,3628,3875,0.93,0.50,2.10,-1.69,11,-1.40,8,-1.89*,120,0.34,-0.15
HD 233666,2,,5157,5157,,2.00,1.70,-1.79,9,-1.81,8,-0.39*,867,0.35,-0.35
