Seq,---,SDSS,Teff1,logg1,[Fe/H]1,Teff2,Teff3,Teff,logg,[Fe/H]
66,SDSS,J1241-0837,5138,2.47,-2.72,4901,4956,5150,2.5,-2.73
67,SDSS,J1242-0336,5130,2.63,-2.86,4961,5087,5150,2.5,-2.77
68,SDSS,J1245-0738,6108,,,6393,6142,6100,4.0,-3.17
69,SDSS,J1300+2632,6464,3.3,-3.26,6510,6385,6450,4.0,-3.53
70,SDSS,J1303+2515,6141,3.74,-2.71,6323,6147,6150,4.0,-2.85
71,SDSS,J1304+3239,6054,3.62,-2.96,6534,6331,6050,4.0,-2.9
72,SDSS,J1312+2450,6251,3.64,-2.75,6069,6199,6250,4.0,-2.72
73,SDSS,J1316+1747,4976,2.19,-2.23,4579,4662,5000,2.1,-2.1
74,SDSS,J1334+0022,5664,3.21,-3.03,5555,5626,5650,4.0,-3.03
75,SDSS,J1338+1204,6281,4.07,-2.89,6445,6218,6300,4.0,-2.86
76,SDSS,J1349-0229,6189,,,5725,6081,6200,4.0,-3.24
77,SDSS,J1400+0753,6274,3.74,-2.87,5882,6276,6250,4.0,-2.98
78,SDSS,J1408+6239,6284,4.41,-2.88,6420,6340,6300,4.0,-2.97
79,SDSS,J1410+5350,6102,3.4,-3.15,6402,6199,6100,4.0,-3.42
80,SDSS,J1412+5609,6608,3.98,-3.24,6420,6867,6600,4.0,-3.19
81,SDSS,J1422+0031,5190,2.45,-3.17,4865,5850,5200,2.2,-3.03
82,SDSS,J1424+5615,6339,3.95,-3.04,5971,6266,6350,4.0,-2.97
83,SDSS,J1425+1137,6272,3.99,-2.98,6292,6370,6300,4.0,-3.08
84,SDSS,J1425+5742,6474,3.9,-3.15,6345,6580,6450,4.0,-3.29
85,SDSS,J1434+1036,6396,3.43,-3.22,5397,6326,6400,4.0,-3.21
86,SDSS,J1436+0918,6521,3.61,-3.26,6886,6385,6500,4.0,-3.49
87,SDSS,J1436+0301,6175,3.04,-3.22,6047,6176,6150,4.0,-3.6
88,SDSS,J1437+5231,6292,4.02,-2.99,6480,6335,6300,4.0,-2.9
89,SDSS,J1437+5837,6460,3.47,-2.77,6464,6335,6450,4.0,-3.02
90,SDSS,J1446+1249,6346,3.61,-3.01,6024,6355,6350,4.0,-2.99
91,SDSS,J1502+3113,6347,3.95,-2.77,6404,6439,6350,4.0,-2.86
92,SDSS,J1504+4623,6069,3.65,-3.27,6206,6218,6050,4.0,-3.31
93,SDSS,J1515+4503,6312,3.76,-3.06,6508,6128,6300,4.0,-3.34
94,SDSS,J1516+4333,6517,3.49,-2.78,6570,6596,6500,4.0,-2.91
95,SDSS,J1521+3437,6203,3.81,-2.86,6507,6109,6200,4.0,-2.79
96,SDSS,J1522+3055,6008,2.77,-3.46,5873,5908,6000,4.0,-3.59
97,SDSS,J1523+4942,5846,3.41,-2.92,5779,5791,5850,4.0,-3.06
98,SDSS,J1528+4915,6441,3.34,-3.06,6483,6555,6450,4.0,-2.99
99,SDSS,J1551+2521,5854,3.85,-3.05,5899,5961,5850,4.0,-3.07
100,SDSS,J1553+2511,5861,2.31,-2.86,5687,5679,5850,4.0,-3.3
101,SDSS,J1603+2917,6007,3.97,-3.13,6432,6104,6000,4.0,-3.36
102,SDSS,J1612+0421,5364,2.58,-2.88,5450,5371,5350,3.3,-2.86
103,SDSS,J1613+5309,5333,2.51,-2.8,5184,5307,5350,2.1,-3.33
104,SDSS,J1623+3913,6369,3.81,-2.79,6580,6214,6350,4.0,-3.19
105,SDSS,J1626+1458,6385,,,5907,6390,6400,4.0,-2.99
106,SDSS,J1633+3907,6288,3.53,-2.95,5699,6171,6300,4.0,-2.88
107,SDSS,J1640+3709,6435,3.41,-3.29,6319,6350,6450,4.0,-3.39
108,SDSS,J1646+2824,6109,2.78,-2.71,6532,5996,6100,4.0,-3.05
109,SDSS,J1650+2242,6577,3.9,-2.96,6691,6340,6600,4.0,-2.56
110,SDSS,J1659+3515,6073,3.17,-2.93,5992,6223,6050,4.0,-3.24
111,SDSS,J1703+2836,5119,4.37,-3.48,5057,5109,5100,4.8,-3.21
112,SDSS,J1728+0657,6333,3.62,-3.08,6832,6316,6350,4.0,-2.85
113,SDSS,J1734+4316,5196,1.33,-3.01,5237,5095,5200,2.7,-2.51
114,SDSS,J1735+4446,5266,2.95,-3.14,4868,5100,5250,2.0,-3.29
115,SDSS,J1736+4420,5475,2.96,-2.83,5173,5227,5450,3.0,-2.93
116,SDSS,J1746+2455,5358,2.47,-2.85,5030,5164,5350,2.6,-3.17
117,SDSS,J1830+4141,6571,3.87,-3.08,6568,6637,6550,4.0,-3.01
118,SDSS,J1834+2023,6528,3.18,-2.72,6397,6632,6550,4.0,-1.98
119,SDSS,J1836+6317,5341,1.55,-2.73,5575,5037,5350,3.0,-2.85
120,SDSS,J2005-1045,6614,3.9,-3.46,6332,6380,6600,4.0,-3.34
121,SDSS,J2052+0109,6067,4.3,-2.68,6183,6009,6050,4.0,-2.8
122,SDSS,J2104-0104,5275,2.74,-2.99,5379,5279,5250,2.0,-3.43
123,SDSS,J2111+0109,6270,3.18,-2.63,6235,6271,6250,4.0,-2.75
124,SDSS,J2118-0640,6651,3.92,-2.78,6603,6375,6650,4.0,-2.91
125,SDSS,J2123-0820,6344,3.54,-2.71,6100,5974,6350,4.0,-2.88
126,SDSS,J2128-0756,6148,3.41,-2.84,5903,6214,6150,4.0,-2.76
127,SDSS,J2206-0925,5084,2.62,-3.08,4911,5031,5100,2.1,-3.17
128,SDSS,J2207+2017,6192,3.49,-3.05,6491,6488,6200,4.0,-2.42
129,SDSS,J2208+0613,6432,3.56,-2.78,6408,6296,6450,4.0,-2.85
130,SDSS,J2213-0726,5135,2.35,-2.56,4724,4867,5150,1.8,-2.55
131,SDSS,J2300+0559,6505,3.94,-2.94,6289,6326,6450,4.0,-2.94
132,SDSS,J2308-0855,6086,3.55,-2.9,6891,6000,6100,4.0,-2.74
133,SDSS,J2309+2308,6337,3.7,-3.0,6013,5904,6350,4.0,-3.09
134,SDSS,J2334+1538,6558,4.33,-2.91,6510,6405,6550,4.0,-2.91
135,SDSS,J2338+0902,4889,2.33,-3.23,4570,4602,4900,1.9,-3.12
136,SDSS,J2349+3832,6233,3.16,-3.35,5990,6550,6250,4.0,-3.2
137,SDSS,J2357-0052,5209,3.98,-3.41,5105,5055,5200,4.8,-3.2
