#pigs01
 OSMARC05 T4524.0:g1.08:z-2.80:a+0.40:he0.0 TAU_5000 Tvtvt= 2.50/H=-2.80
ALL abundances NOT listed below differ from solar by  -2.80 dex

Abundance Results for Species Fe I         (input abundance =   4.700)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5083.338   26.00000   0.958  -2.958   103.90    -4.690     4.733    0.078
  5110.413   26.00000   0.000  -3.760   158.90    -4.507     4.968    0.313
  5127.359   26.00000   0.915  -3.307   106.80    -4.681     5.053    0.398
  5131.468   26.00000   2.223  -2.515    41.00    -5.097     5.062    0.407
  5141.739   26.00000   2.424  -1.964    36.00    -5.155     4.684    0.029
  5150.839   26.00000   0.990  -3.003    90.30    -4.756     4.612   -0.043
  5151.911   26.00000   1.011  -3.322    79.80    -4.810     4.822    0.167
  5162.272   26.00000   4.178   0.020    32.00    -5.208     4.819    0.164
  5166.282   26.00000   0.000  -4.195   124.50    -4.618     4.902    0.248
  5171.596   26.00000   1.485  -1.793   131.30    -4.595     4.664    0.009
  5191.455   26.00000   3.039  -0.551    84.30    -4.789     4.742    0.087
  5192.344   26.00000   2.998  -0.421    95.80    -4.734     4.736    0.081
  5194.941   26.00000   1.557  -2.090   106.00    -4.690     4.670    0.015
  5198.711   26.00000   2.223  -2.135    38.30    -5.133     4.630   -0.025
  5215.180   26.00000   3.266  -0.871    34.60    -5.178     4.616   -0.039
  5216.274   26.00000   1.608  -2.150   107.70    -4.685     4.815    0.160
  5217.389   26.00000   3.211  -1.070    25.10    -5.318     4.564   -0.091
  5225.526   26.00000   0.110  -4.789    63.50    -4.915     4.869    0.214
  5232.940   26.00000   2.940  -0.058    93.10    -4.750     4.248   -0.407
  5250.209   26.00000   0.121  -4.938    47.90    -5.040     4.828    0.173
  5254.956   26.00000   0.110  -4.764    53.40    -4.993     4.709    0.054
  5266.555   26.00000   2.998  -0.386    77.90    -4.830     4.423   -0.232
  5269.537   26.00000   0.859  -1.321   218.40    -4.383     4.537   -0.118
  5307.361   26.00000   1.608  -2.987    41.20    -5.110     4.725    0.070
  5324.179   26.00000   3.211  -0.103    83.20    -4.806     4.474   -0.181
  5332.899   26.00000   1.557  -2.777    48.90    -5.038     4.554   -0.101
  5339.929   26.00000   3.266  -0.647    57.90    -4.965     4.732    0.078
  5393.167   26.00000   3.241  -0.715    33.70    -5.204     4.395   -0.260
  5397.128   26.00000   0.915  -1.993   174.40    -4.491     4.619   -0.036
  5506.779   26.00000   0.990  -2.797   124.60    -4.645     4.793    0.138
  5569.618   26.00000   3.417  -0.486    45.70    -5.086     4.561   -0.094
  5572.842   26.00000   3.397  -0.275    71.70    -4.891     4.687    0.032
  5615.644   26.00000   3.332   0.050   114.70    -4.690     4.898    0.243
  6065.482   26.00000   2.609  -1.530    51.40    -5.072     4.610   -0.045
  6191.558   26.00000   2.433  -1.417    70.70    -4.942     4.507   -0.148
  6213.429   26.00000   2.223  -2.482    51.90    -5.078     5.061    0.406
  6219.280   26.00000   2.198  -2.433    34.90    -5.251     4.729    0.074
  6230.722   26.00000   2.559  -1.281    74.80    -4.921     4.580   -0.075
  6252.555   26.00000   2.404  -1.687    56.40    -5.045     4.554   -0.101
  6335.330   26.00000   2.198  -2.177    41.90    -5.180     4.573   -0.082
  6393.601   26.00000   2.433  -1.432    68.70    -4.969     4.477   -0.178
  6400.000   26.00000   3.603  -0.290    46.90    -5.135     4.541   -0.114
  6411.648   26.00000   3.654  -0.595    25.30    -5.404     4.540   -0.115
  6421.350   26.00000   2.279  -2.027    47.70    -5.129     4.599   -0.056
  6430.845   26.00000   2.176  -2.006    59.00    -5.037     4.597   -0.057
  6494.980   26.00000   2.404  -1.273    94.40    -4.838     4.591   -0.064
  6592.913   26.00000   2.728  -1.473    41.90    -5.197     4.525   -0.130
  6593.870   26.00000   2.433  -2.422    20.90    -5.499     4.713    0.058
  6677.985   26.00000   2.692  -1.418    55.90    -5.077     4.612   -0.043
average abundance =  4.655     std. deviation =  0.230     #lines = 115
E.P. correlation:  slope =  -0.060  intercept =   4.788  corr. coeff. =  -0.267
R.W. correlation:  slope =   0.153  intercept =   5.399  corr. coeff. =   0.195
wav. correl.:  slope =   3.534D-05  intercept =   4.480  corr. coeff. =   0.113

Abundance Results for Species Fe II        (input abundance =   4.700)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4233.162   26.10000   2.583  -1.900   103.20    -4.613     4.972    0.015
  4491.397   26.10000   2.856  -2.700    71.10    -4.801     5.414    0.457
  4515.333   26.10000   2.844  -2.450    78.40    -4.760     5.262    0.305
  4555.887   26.10000   2.828  -2.160    56.00    -4.910     4.576   -0.381
  4583.829   26.10000   2.807  -1.860   100.50    -4.659     4.996    0.039
  5018.436   26.10000   2.891  -1.220   139.80    -4.555     5.013    0.056
  5197.567   26.10000   3.230  -2.100    39.90    -5.115     4.654   -0.303
  5234.623   26.10000   3.221  -2.230    41.00    -5.106     4.787   -0.170
  5275.997   26.10000   3.199  -1.940    54.00    -4.990     4.667   -0.290
  5534.838   26.10000   3.245  -2.730    37.60    -5.168     5.230    0.273
average abundance =  4.957     std. deviation =  0.285     #lines =  10
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.399  intercept =   6.898  corr. coeff. =   0.312
wav. correl.:  slope =  -1.576D-04  intercept =   5.724  corr. coeff. =  -0.242

Abundance Results for Species Na I         (input abundance =   3.440)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  5889.951   11.00000   0.000   0.108   185.00    -4.503     3.264   -0.085
  5895.924   11.00000   0.000  -0.194   175.00    -4.528     3.433    0.085
average abundance =  3.348     std. deviation =  0.120     #lines =   2
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Mg I         (input abundance =   4.800)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4167.271   12.00000   4.346  -0.745    20.00    -5.319     4.664   -0.204
  4571.096   12.00000   0.000  -5.623    83.00    -4.741     4.937    0.069
  5172.684   12.00000   2.712  -0.450   210.10    -4.391     4.926    0.057
  5183.604   12.00000   2.717  -0.239   232.80    -4.348     4.947    0.078
average abundance =  4.868     std. deviation =  0.137     #lines =   4
E.P. correlation:  slope =  -0.053  intercept =   4.999  corr. coeff. =  -0.704
R.W. correlation:  slope =   0.280  intercept =   6.183  corr. coeff. =   0.919
wav. correl.:  slope =   2.242D-04  intercept =   3.798  corr. coeff. =   0.814

Abundance Results for Species Al I         (input abundance =   3.650)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3944.006   13.00000   0.000  -0.623   145.00    -4.435     3.227   -0.026
  3961.520   13.00000   0.014  -0.323   165.80    -4.378     3.279    0.026
average abundance =  3.253     std. deviation =  0.037     #lines =   2
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Si I         (input abundance =   4.710)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4102.936   14.00000   1.909  -3.140    70.10    -4.767     4.844    0.000
average abundance =  4.844     std. deviation =  0.000     #lines =   1
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Ca I         (input abundance =   3.540)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4226.728   20.00000   0.000   0.244   234.50    -4.256     3.594   -0.147
  4283.011   20.00000   1.886  -0.136    41.90    -5.010     3.390   -0.352
  4425.437   20.00000   1.879  -0.358    51.50    -4.934     3.725   -0.017
  4454.779   20.00000   1.899   0.258    90.10    -4.694     3.750    0.008
  4455.887   20.00000   1.899  -0.518    25.10    -5.249     3.431   -0.311
  5265.556   20.00000   2.523  -0.113    28.90    -5.261     3.757    0.016
  5601.277   20.00000   2.526  -0.523    24.50    -5.359     4.048    0.307
  5857.451   20.00000   2.933   0.240    31.10    -5.275     3.899    0.158
  6102.723   20.00000   1.879  -0.793    45.70    -5.126     3.845    0.104
  6162.173   20.00000   1.899  -0.090    93.40    -4.819     3.791    0.049
  6169.563   20.00000   2.526  -0.478    22.00    -5.448     3.903    0.161
  6439.075   20.00000   2.526   0.390    69.40    -4.967     3.766    0.024
average abundance =  3.742     std. deviation =  0.191     #lines =  12
E.P. correlation:  slope =   0.127  intercept =   3.484  corr. coeff. =   0.491
R.W. correlation:  slope =  -0.213  intercept =   2.669  corr. coeff. =  -0.372
wav. correl.:  slope =   1.532D-04  intercept =   2.932  corr. coeff. =   0.693

Abundance Results for Species Sc II        (input abundance =   0.350)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4246.822   21.10000   0.315   0.242   197.00    -4.334     1.157    0.366
  4314.083   21.10000   0.618  -0.096   140.40    -4.488     0.912    0.120
  4415.557   21.10000   0.595  -0.668    93.70    -4.673     0.557   -0.234
  4670.407   21.10000   1.357  -0.576    36.80    -5.104     0.516   -0.276
  5031.021   21.10000   1.357  -0.400    54.20    -4.968     0.541   -0.250
  5526.790   21.10000   1.768   0.024    75.70    -4.863     0.854    0.063
  5657.896   21.10000   1.507  -0.603    66.10    -4.932     1.002    0.211
average abundance =  0.791     std. deviation =  0.255     #lines =   7
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.586  intercept =   3.583  corr. coeff. =   0.640
wav. correl.:  slope =   1.648D-05  intercept =   0.711  corr. coeff. =   0.037

Abundance Results for Species Ti I         (input abundance =   2.150)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3998.636   22.00000   0.048   0.020    78.20    -4.709     2.043   -0.129
  4533.239   22.00000   0.848   0.540    45.50    -4.998     1.874   -0.298
  4534.776   22.00000   0.836   0.350    28.10    -5.208     1.752   -0.420
  4535.568   22.00000   0.826   0.140    25.00    -5.259     1.885   -0.287
  4656.468   22.00000   0.000  -1.290    23.50    -5.297     2.198    0.026
  4681.909   22.00000   0.048  -1.030    32.90    -5.153     2.180    0.008
  4991.066   22.00000   0.836   0.450    66.50    -4.875     2.152   -0.020
  4999.503   22.00000   0.826   0.320    73.30    -4.834     2.357    0.185
  5014.186   22.00000   0.000  -1.220    55.70    -4.954     2.585    0.413
  5064.653   22.00000   0.048  -0.940    46.60    -5.036     2.237    0.065
  5173.743   22.00000   0.000  -1.060    41.90    -5.092     2.210    0.038
  5192.969   22.00000   0.021  -0.950    65.70    -4.898     2.441    0.269
  5210.384   22.00000   0.048  -0.820    63.90    -4.911     2.322    0.150
average abundance =  2.172     std. deviation =  0.236     #lines =  13
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.522  intercept =   4.792  corr. coeff. =   0.391
wav. correl.:  slope =   4.449D-04  intercept =   0.030  corr. coeff. =   0.675

Abundance Results for Species Ti II        (input abundance =   2.150)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4028.338   22.10000   1.892  -0.920    47.90    -4.925     2.265   -0.398
  4290.215   22.10000   1.165  -0.870   144.80    -4.472     2.917    0.254
  4337.914   22.10000   1.080  -0.960   159.80    -4.434     3.130    0.467
  4395.839   22.10000   1.243  -1.930   100.70    -4.640     3.188    0.526
  4398.271   22.10000   1.224  -2.780    31.40    -5.146     2.895    0.232
  4399.765   22.10000   1.237  -1.200   105.70    -4.619     2.544   -0.118
  4417.713   22.10000   1.165  -1.190   106.70    -4.617     2.449   -0.214
  4418.331   22.10000   1.237  -1.990    50.50    -4.942     2.433   -0.230
  4443.801   22.10000   1.080  -0.710   158.60    -4.447     2.789    0.126
  4444.554   22.10000   1.116  -2.200    67.20    -4.820     2.731    0.068
  4450.482   22.10000   1.084  -1.520   105.80    -4.624     2.641   -0.022
  4470.853   22.10000   1.165  -2.020    72.00    -4.793     2.677    0.015
  4501.270   22.10000   1.116  -0.770   142.70    -4.499     2.579   -0.084
  4533.960   22.10000   1.237  -0.530   138.80    -4.514     2.411   -0.252
  4563.757   22.10000   1.221  -0.690   136.20    -4.525     2.482   -0.181
  4571.971   22.10000   1.572  -0.310   127.70    -4.554     2.411   -0.251
  4657.201   22.10000   1.243  -2.290    43.40    -5.031     2.578   -0.085
  4708.663   22.10000   1.237  -2.350    67.90    -4.841     2.973    0.310
  4865.610   22.10000   1.116  -2.700    39.90    -5.086     2.734    0.072
  5129.156   22.10000   1.892  -1.340    61.20    -4.923     2.626   -0.037
  5154.068   22.10000   1.566  -1.750    68.10    -4.879     2.707    0.044
  5185.902   22.10000   1.893  -1.410    51.90    -5.000     2.561   -0.102
  5188.687   22.10000   1.582  -1.050   110.50    -4.672     2.636   -0.027
  5226.539   22.10000   1.566  -1.260   102.70    -4.707     2.698    0.035
  5336.786   22.10000   1.582  -1.600    65.40    -4.912     2.516   -0.147
average abundance =  2.663     std. deviation =  0.225     #lines =  25
 No statistics done for E.P. trends
R.W. correlation:  slope =   0.121  intercept =   3.237  corr. coeff. =   0.116
wav. correl.:  slope =  -4.056D-05  intercept =   2.851  corr. coeff. =  -0.064

Abundance Results for Species Cr I         (input abundance =   2.840)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4254.352   24.00000   0.000  -0.090   151.20    -4.449     2.436   -0.496
  4274.812   24.00000   0.000  -0.220   203.10    -4.323     3.375    0.443
  4289.730   24.00000   0.000  -0.370   138.30    -4.492     2.466   -0.466
  4545.953   24.00000   0.941  -1.370    40.90    -5.046     3.026    0.095
  4646.162   24.00000   1.030  -0.740    67.60    -4.837     2.887   -0.045
  5206.023   24.00000   0.941   0.020   116.80    -4.649     2.599   -0.333
  5208.409   24.00000   0.941   0.170   139.50    -4.572     2.805   -0.127
  5345.796   24.00000   1.004  -0.896   100.90    -4.724     3.328    0.396
  5348.314   24.00000   1.004  -1.210    88.50    -4.781     3.464    0.532
average abundance =  2.932     std. deviation =  0.393     #lines =   9
 No statistics done for E.P. trends
R.W. correlation:  slope =  -0.425  intercept =   0.956  corr. coeff. =  -0.239
wav. correl.:  slope =   3.128D-04  intercept =   1.433  corr. coeff. =   0.383

Abundance Results for Species Mn I         (input abundance =   2.630)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4030.750   25.00000   0.000  -0.494   140.50    -4.458     1.942   -0.006
  4033.060   25.00000   0.000  -0.644   125.60    -4.507     1.813   -0.135
  4034.480   25.00000   0.000  -0.842   111.20    -4.560     1.750   -0.198
  4041.350   25.00000   2.114   0.277    35.10    -5.061     2.106    0.159
  4754.040   25.00000   2.282  -0.088    17.20    -5.442     2.128    0.180
average abundance =  1.948     std. deviation =  0.170     #lines =   5
E.P. correlation:  slope =   0.128  intercept =   1.835  corr. coeff. =   0.913
R.W. correlation:  slope =  -0.332  intercept =   0.352  corr. coeff. =  -0.843
wav. correl.:  slope =   3.160D-04  intercept =   0.627  corr. coeff. =   0.599

Abundance Results for Species Co I         (input abundance =   2.190)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  3995.307   27.00000   0.923  -0.220    86.80    -4.663     1.969   -0.261
  4118.773   27.00000   1.049  -0.490    91.90    -4.651     2.428    0.198
  4121.318   27.00000   0.923  -0.320   103.20    -4.601     2.292    0.062
average abundance =  2.230     std. deviation =  0.236     #lines =   3
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Ni I         (input abundance =   3.420)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4604.987   28.00000   3.480  -0.240    48.40    -4.978     4.298    0.576
  5081.110   28.00000   3.847   0.300    20.80    -5.388     3.618   -0.103
  5155.764   28.00000   3.898   0.074    25.00    -5.314     3.999    0.278
  5476.904   28.00000   1.826  -0.780   104.20    -4.721     3.371   -0.351
  6643.630   28.00000   1.676  -2.220    23.20    -5.457     3.322   -0.400
average abundance =  3.722     std. deviation =  0.419     #lines =   5
E.P. correlation:  slope =   0.283  intercept =   2.887  corr. coeff. =   0.746
R.W. correlation:  slope =   0.128  intercept =   4.386  corr. coeff. =   0.096
wav. correl.:  slope =  -4.337D-04  intercept =   6.061  corr. coeff. =  -0.793

Abundance Results for Species Zn I         (input abundance =   1.760)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4810.528   30.00000   4.078  -0.137    47.00    -5.010     2.498    0.000
average abundance =  2.498     std. deviation =  0.000     #lines =   1
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Sr II        (input abundance =   0.070)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4077.709   38.10000   0.000   0.167   142.70    -4.456    -0.847   -0.152
  4215.519   38.10000   0.000  -0.145   147.90    -4.455    -0.543    0.152
average abundance = -0.695     std. deviation =  0.215     #lines =   2
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Y  II        (input abundance =  -0.590)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4398.010   39.10000   0.130  -1.000    17.00    -5.413    -1.171    0.000
average abundance = -1.171     std. deviation =  0.000     #lines =   1
 No statistics done for E.P. trends
 No statistics done for R.W. trends
 No statistics done for wavelength trends

Abundance Results for Species Ba II        (input abundance =  -0.620)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4554.029   56.10000   0.000   0.170   105.40    -4.636    -1.620   -0.023
  4934.076   56.10000   0.000  -0.150    94.30    -4.719    -1.615   -0.018
  6496.897   56.10000   0.604  -0.377    41.10    -5.199    -1.555    0.041
average abundance = -1.597     std. deviation =  0.036     #lines =   3
 No statistics done for E.P. trends
R.W. correlation:  slope =  -0.118  intercept =  -2.167  corr. coeff. =  -0.998
wav. correl.:  slope =   3.460D-05  intercept =  -1.781  corr. coeff. =   0.994



==================================================================================================

#pigs02
 OSMARC05 T4341.0:g0.80:z-2.08:a+0.40:he0.0 TAU_5000 Tvt= 2.00 M/H=-2.08

Abundance Results for Species Fe I         (input abundance =   5.420)
wavelength         ID      EP   logGF     EWin   logRWin     abund   delavg
  4175.636   26.00000   2.845  -0.827   112.80    -4.568     5.564   -0.031
  4176.566   26.00000   3.368  -0.805    80.20    -4.717     5.545   -0.050
  4182.382   26.00000   3.017  -1.180   114.80    -4.561     6.195    0.600
  4187.039   26.00000   2.450  -0.548   163.50    -4.408     5.702    0.107
  4187.795   26.00000   2.425  -0.554   146.70    -4.456     5.394   -0.201
  4260.474   26.00000   2.399   0.109   208.20    -4.311     5.438   -0.157
  4282.403   26.00000   2.176  -0.779   161.30    -4.424     5.466   -0.129
  4337.045   26.00000   1.557  -1.695   159.90    -4.433     5.464   -0.131
  4415.122   26.00000   1.608  -0.615   293.70    -4.177     5.598    0.003
  4427.310   26.00000   0.052  -2.924   283.30    -4.194     5.746    0.151
  4443.194   26.00000   2.858  -1.043   128.80    -4.538     5.953    0.358
  4489.739   26.00000   0.121  -3.966   157.40    -4.455     5.493   -0.102
  4494.563   26.00000   2.198  -1.136   146.80    -4.486     5.446   -0.149
  4595.358   26.00000   3.301  -1.758    75.10    -4.787     6.111    0.516
  4602.000   26.00000   1.608  -3.154    86.70    -4.725     5.360   -0.235
  4602.941   26.00000   1.485  -2.209   153.60    -4.477     5.565   -0.030
  4630.120   26.00000   2.279  -2.587    81.70    -4.753     5.640    0.045
  4647.434   26.00000   2.949  -1.351   124.40    -4.572     6.180    0.585
  4733.591   26.00000   1.485  -2.988   133.70    -4.549     5.862    0.267
  4736.773   26.00000   3.211  -0.752   111.40    -4.629     5.642    0.046
  4786.807   26.00000   3.017  -1.606    73.80    -4.812     5.486   -0.109
  4789.651   26.00000   3.547  -0.958    73.20    -4.816     5.546   -0.049
  4800.649   26.00000   4.143  -1.029    24.90    -5.285     5.529   -0.066
  4924.770   26.00000   2.279  -2.241   131.20    -4.574     6.117    0.522
  4966.088   26.00000   3.332  -0.871   102.00    -4.687     5.648    0.053
  5028.126   26.00000   3.573  -1.123    39.20    -5.108     5.124   -0.471
  5041.072   26.00000   0.958  -3.087   183.60    -4.439     5.954    0.359
  5041.756   26.00000   1.485  -2.203   197.80    -4.406     6.035    0.440
  5044.211   26.00000   2.851  -2.038    70.90    -4.852     5.575   -0.020
  5068.766   26.00000   2.940  -1.042   108.90    -4.668     5.368   -0.227
  5166.282   26.00000   0.000  -4.195   186.10    -4.443     5.617    0.022
  5194.941   26.00000   1.557  -2.090   198.50    -4.418     5.954    0.359
  5225.526   26.00000   0.110  -4.789   136.50    -4.583     5.398   -0.197
  5232.940   26.00000   2.940  -0.058   198.90    -4.420     5.794    0.198
  5250.209   26.00000   0.121  -4.938   128.20    -4.612     5.409   -0.186
  5254.956   26.00000   0.110  -4.764   157.00    -4.525     5.740    0.145
  5281.790   26.00000   3.039  -0.834   125.50    -4.624     5.533   -0.062
  5322.041   26.00000   2.279  -2.803    81.40    -4.815     5.655    0.060
  5328.039   26.00000   0.915  -1.466   301.70    -4.247     5.294   -0.301
  5328.531   26.00000   1.557  -1.850   223.20    -4.378     5.960    0.365
  5332.899   26.00000   1.557  -2.777   117.70    -4.656     5.191   -0.404
  5339.929   26.00000   3.266  -0.647   130.50    -4.612     5.730    0.135
  5365.399   26.00000   3.573  -1.020    69.40    -4.888     5.452   -0.143
  5371.489   26.00000   0.958  -1.645   290.50    -4.267     5.456   -0.139
  5393.167   26.00000   3.241  -0.715   109.40    -4.693     5.363   -0.232
  5397.128   26.00000   0.915  -1.993   236.60    -4.358     5.322   -0.273
  5400.501   26.00000   4.371  -0.160    55.90    -4.985     5.437   -0.158
  5405.774   26.00000   0.990  -1.844   255.20    -4.326     5.441   -0.154
  5410.910   26.00000   4.473   0.398    64.40    -4.924     5.147   -0.448
  5415.199   26.00000   4.387   0.642    91.40    -4.773     5.244   -0.351
  5424.068   26.00000   4.320   0.520    97.70    -4.744     5.386   -0.209
  5429.696   26.00000   0.958  -1.879   238.80    -4.357     5.277   -0.318
  5445.042   26.00000   4.387  -0.020    85.20    -4.806     5.794    0.199
  5497.516   26.00000   1.011  -2.849   223.60    -4.391     6.127    0.532
  5501.465   26.00000   0.958  -3.047   199.90    -4.440     5.921    0.326
  5506.779   26.00000   0.990  -2.797   212.30    -4.414     5.896    0.301
  5572.842   26.00000   3.397  -0.275   167.50    -4.522     6.076    0.481
  5576.089   26.00000   3.430  -1.000   107.90    -4.713     5.839    0.243
  5586.755   26.00000   3.368  -0.120   147.50    -4.578     5.556   -0.039
  5615.644   26.00000   3.332   0.050   179.60    -4.495     5.822    0.227
  5618.632   26.00000   4.209  -1.276    42.10    -5.125     6.088    0.493
  5662.516   26.00000   4.178  -0.573    71.30    -4.900     5.800    0.205
  5701.544   26.00000   2.559  -2.216   103.40    -4.741     5.728    0.133
