Name,Ion,Z,logepsX_sun,l_logepsX,logepsX,e_logepsX_stat,e_logepsX,N
HD 122563,Lu II,71,+0.10,,-2.89,0.29,0.33,1
HD 122563,Hf II,72,+0.85,,-2.47,0.38,0.41,1
HD 122563,Os I,76,+1.40,<,-1.25,,,1
HD 122563,Os II,76,+1.40,,,,,
HD 122563,Ir I,77,+1.38,<,-1.35,,,3
HD 122563,Pt I,78,+1.62,<,-2.15,,,2
HD 122563,Au I,79,+0.80,,,,,
HD 122563,Pb I,82,+2.04,<,-1.45,,,3
HD 122563,Bi I,83,+0.65,<,+0.15,,,1
HD 122563,Th II,90,+0.06,,,,,
HD 126238,Fe I,26,+7.50,,+5.52,0.10,0.16,217
HD 126238,Fe II,26,+7.50,,+5.57,0.10,0.19,26
HD 126238,Cu I,29,+4.19,,+1.37,0.21,0.24,2
HD 126238,Zn I,30,+4.56,,+2.64,0.10,0.16,4
HD 126238,Ge I,32,+3.65,,+0.62,0.27,0.30,2
HD 126238,Rb I,37,+2.52,<,+1.70,,,1
HD 126238,Sr II,38,+2.87,,+0.98,0.18,0.24,1
HD 126238,Y II,39,+2.21,,-0.10,0.10,0.19,8
HD 126238,Zr II,40,+2.58,,+0.74,0.17,0.24,25
HD 126238,Nb II,41,+1.46,,-0.36,0.12,0.20,4
HD 126238,Mo I,42,+1.88,,+0.18,0.20,0.23,1
HD 126238,Mo II,42,+1.88,<,+0.43,,,1
HD 126238,Ru I,44,+1.75,,+0.09,0.12,0.17,3
HD 126238,Rh I,45,+1.06,,-0.65,0.36,0.38,3
HD 126238,Pd I,46,+1.65,,-0.32,0.12,0.17,3
HD 126238,Ag I,47,+1.20,,-1.01,0.36,0.38,1
HD 126238,Cd I,48,+1.71,,,,,
HD 126238,Sn I,50,+2.07,,,,,
HD 126238,Te I,52,+2.18,,,,,
HD 126238,Ba II,56,+2.18,,-0.03,0.13,0.21,2
HD 126238,La II,57,+1.10,,-0.90,0.06,0.18,9
HD 126238,Ce II,58,+1.58,,-0.49,0.06,0.18,13
HD 126238,Pr II,59,+0.72,,-1.08,0.13,0.21,2
HD 126238,Nd II,60,+1.42,,-0.52,0.10,0.19,23
HD 126238,Sm II,62,+0.96,,-0.93,0.10,0.19,13
HD 126238,Eu II,63,+0.52,,-1.19,0.11,0.20,3
HD 126238,Gd II,64,+1.07,,-0.68,0.10,0.19,9
HD 126238,Tb II,65,+0.30,,-1.61,0.20,0.26,1
HD 126238,Dy II,66,+1.10,,-0.60,0.08,0.18,8
HD 126238,Ho II,67,+0.48,,-1.37,0.36,0.40,1
HD 126238,Er II,68,+0.92,,-0.78,0.20,0.26,1
HD 126238,Tm II,69,+0.10,,-1.60,0.12,0.20,3
HD 126238,Yb II,70,+0.92,,-0.93,0.20,0.26,1
HD 126238,Lu II,71,+0.10,,,,,
HD 126238,Hf II,72,+0.85,,-0.99,0.23,0.28,2
HD 126238,Os I,76,+1.40,,-0.38,0.39,0.41,1
HD 126238,Os II,76,+1.40,,-0.86,0.39,0.42,1
HD 126238,Ir I,77,+1.38,,-0.28,0.18,0.22,2
HD 126238,Pt I,78,+1.62,,-0.34,0.39,0.41,1
HD 126238,Au I,79,+0.80,,,,,
HD 126238,Pb I,82,+2.04,,+0.16,0.23,0.26,2
HD 126238,Bi I,83,+0.65,<,+1.43,,,1
HD 126238,Th II,90,+0.06,,,,,
HD 128279,Fe I,26,+7.50,,+5.02,0.09,0.15,266
HD 128279,Fe II,26,+7.50,,+5.04,0.14,0.22,48
HD 128279,Cu I,29,+4.19,,+0.79,0.11,0.16,2
HD 128279,Zn I,30,+4.56,,+2.18,0.08,0.15,3
HD 128279,Ge I,32,+3.65,,-0.03,0.25,0.28,3
HD 128279,Rb I,37,+2.52,<,+1.60,,,1
HD 128279,Sr II,38,+2.87,,-0.18,0.09,0.19,2
HD 128279,Y II,39,+2.21,,-0.89,0.13,0.21,7
HD 128279,Zr II,40,+2.58,,+0.00,0.11,0.20,27
HD 128279,Nb II,41,+1.46,,-0.88,0.21,0.27,1
HD 128279,Mo I,42,+1.88,,-0.67,0.13,0.18,1
HD 128279,Mo II,42,+1.88,<,+0.11,,,1
HD 128279,Ru I,44,+1.75,,-0.63,0.15,0.19,1
HD 128279,Rh I,45,+1.06,<,-0.61,,,1
HD 128279,Pd I,46,+1.65,,-1.24,0.24,0.27,1
HD 128279,Ag I,47,+1.20,<,-1.11,,,1
HD 128279,Cd I,48,+1.71,,-1.38,0.27,0.30,1
HD 128279,Sn I,50,+2.07,,,,,
HD 128279,Te I,52,+2.18,,-0.18,0.22,0.25,1
HD 128279,Ba II,56,+2.18,,-1.03,0.08,0.18,3
HD 128279,La II,57,+1.10,,-1.64,0.10,0.19,4
HD 128279,Ce II,58,+1.58,,-1.15,0.08,0.18,3
HD 128279,Pr II,59,+0.72,,,,,
HD 128279,Nd II,60,+1.42,,-1.23,0.06,0.18,4
HD 128279,Sm II,62,+0.96,,-1.50,0.18,0.24,2
HD 128279,Eu II,63,+0.52,,-1.96,0.06,0.18,4
HD 128279,Gd II,64,+1.07,,,,,
HD 128279,Tb II,65,+0.30,,,,,
HD 128279,Dy II,66,+1.10,,-1.35,0.11,0.20,4
HD 128279,Ho II,67,+0.48,,-1.71,0.24,0.29,1
HD 128279,Er II,68,+0.92,,-1.54,0.09,0.19,3
HD 128279,Tm II,69,+0.10,,-2.24,0.13,0.21,1
HD 128279,Yb II,70,+0.92,,-1.69,0.13,0.21,1
HD 128279,Lu II,71,+0.10,,-1.64,0.21,0.27,1
HD 128279,Hf II,72,+0.85,,-1.07,0.21,0.27,1
HD 128279,Os I,76,+1.40,<,-0.39,,,1
HD 128279,Os II,76,+1.40,<,-1.19,,,1
HD 128279,Ir I,77,+1.38,<,-0.29,,,2
HD 128279,Pt I,78,+1.62,<,-1.19,,,2
HD 128279,Au I,79,+0.80,<,-0.49,,,1
HD 128279,Pb I,82,+2.04,<,-0.09,,,1
HD 128279,Bi I,83,+0.65,<,+0.91,,,1
HD 128279,Th II,90,+0.06,,,,,
