ulli,ulbe,ulc,uln,ulo,ulf,ulna,ulmg,ulal,ulsi,ulp,uls,ulk,ulca,ulsc,ulti,ulv,ulcr,ulmn,ulfe,ulco,ulni,ulcu,ulzn,ulga,ulge,ulas,ulse,ulrb,ulsr,uly,ulzr,ulnb,ulmo,ulru,ulrh,ulpd,ulag,ulcd,ulsn,ulte,ulba,ulla,ulce,ulpr,ulnd,ulsm,uleu,ulgd,ultb,uldy,ulho,uler,ultm,ulyb,ullu,ulhf,ulw,ulos,ulir,ulpt,ulau,ulhg,ulpb,ulbi,ulth,ulu
,,,,,,,,,,,,,,,,,,,,<3.81,<4.53,,,,,,,,<-1.89,,,,,,,,,,,,<-2.18,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,<4.28,<5.64,,,,,<0.78,,,,<3.06,,<3.03,<4.34,,,,,,,,<-1.2,,,,,,,,,,,,<-1.99,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,<5.88,,,,,,,,,,,,,,,,,,,,<-2.16,,,,,,,,,,,,<-2.15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<4.15,,,<5.37,,,,,,,,,<3.21,,<2.74,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.18,<-1.67,,,,,,,,,,,,,,,,,,,
,,,,<6.82,,,,<4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,<4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-2.5,,,,,,,,,,,,,,,,,,,
<0.63,,,<6.25,<6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.24,<-0.29,,,,,,<1.25,,,,<-1.31,<-1.82,<-1.73,<-1.51,<-2.6,<-1.08,<-1.72,<-1.98,,<-1.53,<-2.06,<-2.59,,<-0.78,,,,,,,<0.77,,<-1.77,
,,<6.79,<8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1.82,,,,,,,,,<-0.09,<0.5,<0.5,<0.29,<0.26,<-0.7,<0.73,<0.26,<0.08,<0.41,<0.3,<-0.03,,,<0.89,,,<2.46,,,,<2.14,,,
,,<6.35,<6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1.58,,,,,,,,,<-0.3,<0.32,<-0.06,<0.24,<0.18,<-0.85,<0.64,<0.13,<0.01,<0.28,<0.17,<-0.16,,,<0.77,,,<2.2,,,,<1.94,,,
,,,<8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.35,,,,,,,,,,,,,,,,<2.34,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.57,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<1.11,,,,<7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1.35,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1.5,,,
<0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.24,,,,,,,,,,,<-2.06,,,,,<-2.63,,,,,,,,,,,,,,,,,,,
<1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.43,,,,,<-1.76,,,,,,,,,,,,,,,,,,,
,,,<6,<6.5,,,,,,,,,,,,,,,,,,,<2.41,,,,,<2.66,,<-0.69,<0.25,<1.45,<1.01,,,,,,,,,<-0.75,<-0.14,<-0.37,<-0.21,<-0.04,<-1.41,<0.27,<-0.4,<-0.45,<-0.5,<-0.35,<-0.64,<-1.26,,<0.61,,,,,,,<1.45,,<-0.33,
<0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.19,,,,,,,,,,,,<-1.66,,,,,<-1.8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<1.59,,<6.5,<7.5,,,,,,,,,,,,,,,,,,,,<2.76,,,,,,,,,<1.35,<1.46,,,,,,,,,,<-0.25,<-0.7,<-0.44,<-0.48,,<-0.16,<0,,<-0.85,,<-0.74,,,<0.18,,,,,,,<1.86,,<-0.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,<2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,<7.75,,,,,,,,,,,,,,,,,,,,<2.46,,,,,<2.53,,,,<1.47,<0.86,,,,,,,,,,<-0.03,<-0.33,<-0.36,<0,<-1.31,<0.29,<-0.27,<-0.35,<-0.69,<-0.27,<-0.73,,,<0.51,,,,,,,<1.48,,<-0.32,
<1.38,,,<6.8,,,,,,,,,,,,,,,,,,,,,,,,,<2.58,,,,,<1.07,,,,,,,,,,<-0.43,<-0.66,<-0.3,<-0.4,,<-0.02,<-0.49,<-0.6,,<-0.16,<-0.84,,,<0.4,,,,,,,<1.82,,<-0.65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<2.41,,<8.35,<8.25,,,,,,,,,,,,,<2,,,,,,,<3.26,,,,,<3.51,,<-0.27,<0.74,<1.82,<2.39,,,,,,,,<-1.07,<-0.03,<0.5,<0.3,<0.49,<0.5,<-0.67,<0.62,<0.17,<0.21,<-0.06,<0.53,<-0.11,<-0.67,,<1.01,,,,,,,<2.71,,<0.22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.43,<1.1,,,,,,,,,,,,,,,,<-1.11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,<1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<6,<7.15,,,,,,,,,,,,,<1.69,,,,<2.06,,,<2.43,,,,,,,<-0.63,<0.33,<1.43,<1.09,,,,,,,,<-1.44,<-0.63,<0.16,<-0.46,<-0.08,<-0.07,<-1.31,<0.22,<-0.41,<-0.32,<-0.5,<-0.03,<-0.45,<-0.86,,<0.73,,,<2,,,,<1.66,,<-0.23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<5.5,<5.95,<6.6,,,,,,,,,,,,<1.26,,,,,,<2.3,<2.21,,,,,<2.51,,<-0.47,<0.28,,<0.8,,,,,,,,,,<-0.19,<-0.44,<-0.56,<-0.49,<-1.45,<0.04,<-0.57,<-0.43,,<-0.37,<-0.75,<-1.09,,<0.34,,,,,,,<1.5,,<-0.55,
<1.7,,,,,,,,,,,,,,,,<1.82,,,,,,,<2.58,,,,,<2.81,,,,<1.72,<1.47,,,,,,,,,<-0.42,<0.29,<-0.08,<0.59,<0.14,<-1,<0.55,<-0.03,<0.03,<-0.14,<0.29,<-0.22,<-0.67,,<0.83,,,,,,,<1.9,,<0.04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-2.6,
,,,<7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,<6.29,,,,,,,,,,,,,,,,,,,,,,,,<1.84,,<-2.24,<-0.74,<0.19,<-0.44,,,,,,,,,,<-1.55,<-1.83,<-1.82,<-1.58,<-2.64,<-1.14,<-1.17,<-1.8,<-1.97,<-1.69,<-2.1,<-2.48,,<-0.89,,,,,,,<0.41,,<-1.91,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<6.56,<6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.36,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,<1.15,,,,,,<1.82,,,,<0.45,,,,,,,<1.35,,,,<-1.24,<-1.4,,<-1.34,,<-1.02,<-1.72,<-1.58,,<-1.47,<-1.64,,,<-0.82,,,,,,,<0.35,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.12,<-0.41,,,,,,<0.95,,,,<-1.62,,,,,<-1.21,,,,,,,,<-0.94,,,,,,,<0.53,,<-1.95,
<0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.1,,,,<-0.5,<-1.38,,,<-0.6,,,,,,,,,,,<0.92,,<-1.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,<5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.09,,,,,,,,,<-1.46,,,,,,<0.01,,,,,,<-1.4,
,,,,,,,,<4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,<4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,<4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,<-2.7,,,,,,,,,,,,<-3.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,<2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,<6.73,,,,,,,,,,,,,,,,,,,,,,,,<2.01,,,,<0.23,<-0.25,,,,,,<1.05,,,,,,,,,,<-1.21,,,,,,,<-0.79,,,,,,,<0.41,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<1.12,,,,<8.06,,,,,,,,,,,,,,,,,,,<2.53,,,,,,,,,,,,,,,,,,<-2.55,,,,,,<-1.61,,,,,,,,,,,,,,,,,,,
,,,,<6.45,,,,,,,,,,,,,,,,,,,,,,,,<1.68,,,,<0.45,<-0.03,,,,,,,,,,<-1.4,<-1.65,<-1.72,<-1.35,,<-0.97,<-1.56,<-1.58,,<-1.41,<-1.83,,,<-0.61,,,<0,,,,<0.61,,,
,,,,,,,,,,,,,,,,,,<1.37,,<2.17,,,,,,,,,,<-0.26,,,,,,,,,,,<-1.23,,,,,,<-0.65,,,,,,,,,,,,,,,,,,,
,,<6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.74,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,<5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.85,<-0.85,,,,<-0.9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<0.64,,,,<6.86,,,,,,,,,,,,,,,,,,,,,,,,<2.16,,,,<0.26,<-0.6,,,,,,<0.95,,,,,,,<-1.55,,<-1.01,<-1.86,,,,,,,<-0.89,,,<0.3,,,,<0.48,,<-1.96,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,<2.22,,,,<0.95,<0.39,,,,,,,,,,<-0.81,<-0.99,,<-0.77,,<-0.37,<-0.97,,,,<-1.33,,,<-0.06,,,,,,,<1.16,,<-0.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,<8.03,,,,,,,,,,,,<1.77,,,,,,,<2.4,,,,,,,,,,,,,,,,,,<-2.08,,,,,,<-1.34,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,<2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,<2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,<5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1.31,<0.9,,,,,,,,,,<-0.07,<-0.41,<-0.32,<-0.21,<-1.34,<0.16,<-0.36,<-0.36,,<-0.35,<-0.67,<-1.25,,<0.49,,,,,,,<1.55,,<-0.44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-1.2,,,<-1.77,<-2.27,<-1.66,,<-1.64,<-2.52,<-1.85,,,,,,,,,,,,,,
