Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RV
HE 0344+0139,3,47,15.7,+,1,49,3,-232.9
HE 0347-1819,3,49,18.4,-,18,10,40,-4.8
HE 0353-6024,3,53,59.5,-,60,15,16,178.8
HE 0400-2917,4,2,6.4,-,29,8,47,296.8
HE 0401-0138,4,3,49.8,-,1,30,3,137.4
HE 0417-0821,4,19,31.4,-,8,14,19,-8.5
HE 0430-4404,4,31,38.1,-,43,57,49,201.5
HE 0430-4901,4,31,31.1,-,48,54,42,208.7
HE 0432-0923,4,34,25.6,-,9,16,50,-66.5
HE 0436-4008,4,38,11.0,-,40,3,1,185.7
HE 0441-4343,4,43,20.4,-,43,38,20,165.0
HE 0442-1234,4,44,51.7,-,12,28,46,253.4
HE 0447-4858,4,49,1.0,-,48,53,35,88.5
HE 0450-4705,4,51,33.4,-,47,0,3,-6.3
HE 0454-4758,4,55,26.7,-,47,53,42,240.5
HE 0501-5139,5,2,48.1,-,51,35,36,199.3
HE 0501-5644,5,2,35.3,-,56,40,20,70.8
HE 0512-3835,5,13,59.5,-,38,31,55,276.2
HE 0513-4557,5,15,12.1,-,45,54,10,51.2
HE 0516-3820,5,18,12.9,-,38,17,33,153.5
HE 0517-1952,5,19,18.7,-,19,49,13,42.2
HE 0519-5525,5,19,59.1,-,55,22,41,377.4
HE 0520-1748,5,22,25.8,-,17,46,8,1.3
HE 0524-2055,5,27,4.4,-,20,52,42,255.3
HE 0534-4615,5,35,52.9,-,46,13,36,280.4
HE 0538-4515,5,39,46.1,-,45,13,34,59.2
HE 0547-4539,5,49,13.7,-,45,39,4,488.8
HE 0858-0016,9,1,32.3,-,0,28,2,48.6
HE 0926-0508,9,28,55.3,-,5,21,39,191.0
HE 0938+0114,9,40,43.0,+,1,0,37,-56.6
HE 0951-1152,9,54,17.4,-,12,6,14,353.9
HE 1006-2218,10,9,0.7,-,22,33,29,-19.6
HE 1015-0027,10,17,35.7,-,0,42,24,96.8
HE 1044-2509,10,47,16.5,-,25,25,17,386.7
HE 1052-2548,10,55,20.6,-,26,4,47,230.4
HE 1054-0059,10,56,47.7,-,1,15,29,234.0
HE 1059-0118,11,2,3.4,-,1,34,15,296.6
HE 1100-0137,11,2,55.5,-,1,53,41,318.1
HE 1105+0027,11,7,49.5,+,0,11,38,77.0
HE 1120-0153,11,22,43.2,-,2,9,36,228.4
HE 1122-1429,11,25,6.6,-,14,46,4,152.0
HE 1124-2335,11,27,27.0,-,23,52,6,180.4
HE 1126-1735,11,28,51.4,-,17,51,44,281.9
HE 1127-1143,11,29,50.5,-,12,0,13,228.5
HE 1128-0823,11,30,44.3,-,8,39,56,200.2
HE 1131+0141,11,34,32.1,+,1,24,41,267.7
HE 1132+0125,11,34,46.7,+,1,9,1,92.0
HE 1132+0204,11,34,51.0,+,1,47,27,238.2
HE 1135+0139,11,38,9.8,+,1,22,44,11.0
HE 1135-0344,11,38,21.0,-,4,1,24,-167.4
HE 1148-0037,11,51,15.0,-,0,54,11,-36.6
HE 1207-2031,12,9,50.8,-,20,47,43,113.3
HE 1210+0048,12,13,27.8,+,0,32,10,110.4
HE 1210-1956,12,12,50.9,-,20,12,58,123.3
HE 1212-0127,12,15,18.3,-,1,43,56,279.4
HE 1214-1819,12,17,1.5,-,18,35,55,180.3
HE 1215+0149,12,17,43.1,+,1,32,32,124.5
HE 1217-0540,12,19,53.7,-,5,57,15,151.2
HE 1219-0312,12,21,34.1,-,3,28,40,163.6
HE 1221-0522,12,24,7.7,-,5,39,11,48.6
HE 1221-1948,12,23,47.7,-,20,4,46,31.6
HE 1222-0200,12,25,29.4,-,2,17,24,226.8
HE 1222-0336,12,24,52.4,-,3,53,6,-198.5
HE 1225+0155,12,28,4.8,+,1,38,32,99.4
HE 1225-0515,12,28,12.4,-,5,31,40,61.5
HE 1230-1724,12,32,57.0,-,17,41,27,99.1
HE 1237-3103,12,40,14.7,-,31,20,8,93.8
HE 1243-1425,12,46,28.1,-,14,41,34,41.8
HE 1245-1616,12,47,56.8,-,16,32,44,141.9
HE 1246-1344,12,49,20.2,-,14,0,42,47.9
HE 1247-2114,12,50,5.1,-,21,30,47,75.7
HE 1248-1800,12,51,28.0,-,18,16,30,280.7
HE 1249-2932,12,52,18.4,-,29,48,57,-13.3
HE 1249-3121,12,52,5.1,-,31,37,44,218.7
HE 1251-0104,12,53,52.1,-,1,20,36,195.1
HE 1252+0044,12,55,22.1,+,0,28,0,395.5
HE 1252-0117,12,54,59.8,-,1,33,35,225.7
HE 1254+0009,12,57,12.9,-,0,6,41,168.5
HE 1256-0228,12,58,38.4,-,2,44,18,30.4
HE 1256-0651,12,59,13.1,-,7,7,18,120.1
HE 1259-0621,13,1,51.1,-,6,37,14,130.6
HE 1300+0157,13,2,56.3,+,1,41,51,73.6
HE 1300-0641,13,3,34.1,-,6,57,21,67.9
HE 1300-0642,13,3,23.3,-,6,58,23,-16.4
HE 1300-2201,13,3,17.3,-,22,17,38,-62.8
HE 1300-2431,13,3,0.1,-,24,47,12,308.1
HE 1305-0331,13,7,58.9,-,3,47,41,-38.4
HE 1311-1412,13,13,42.0,-,14,28,24,195.3
HE 1314-3036,13,17,29.2,-,30,51,51,34.6
HE 1320-1339,13,22,44.1,-,13,55,31,172.1
HE 1330-0354,13,33,10.7,-,4,10,5,35.3
HE 1330-0607,13,32,56.6,-,6,22,31,-32.4
HE 1332-0309,13,34,38.0,-,3,24,53,200.3
HE 1333-0340,13,35,51.5,-,3,55,49,-114.6
HE 1335+0135,13,37,53.9,+,1,20,26,121.0
HE 1337+0012,13,40,2.7,-,0,2,18,441.7
HE 1337-0453,13,39,58.3,-,5,8,32,79.3
HE 1343-0640,13,46,9.1,-,6,55,46,62.1
HE 1345-0206,13,48,16.0,-,2,21,47,124.7
HE 1351-1049,13,53,57.1,-,11,4,24,285.4
HE 1413-1954,14,16,4.7,-,20,8,54,-100.4
HE 1419-1759,14,22,17.7,-,18,13,30,201.4
HE 1421-2006,14,23,50.5,-,20,20,11,3.8
HE 1430+0053,14,33,16.5,+,0,40,49,-107.4
HE 1430-0026,14,33,16.2,-,0,39,49,50.6
HE 1430-1123,14,33,33.7,-,11,37,8,93.4
HE 1431-2142,14,34,6.7,-,21,55,16,-165.0
HE 1500-1628,15,2,56.6,-,16,40,7,23.5
HE 2133-1432,21,36,22.6,-,14,19,20,-129.0
HE 2134+0001,21,37,8.2,+,0,15,4,48.0
HE 2139-1851,21,42,29.5,-,18,37,51,-91.6
HE 2143+0030,21,46,12.0,+,0,44,46,-76.2
HE 2145-3025,21,48,43.3,-,30,11,8,131.4
HE 2150-0825,21,53,0.2,-,8,11,19,-63.3
HE 2151-2858,21,54,1.7,-,28,44,20,-89.7
HE 2153-2719,21,56,4.1,-,27,4,49,-111.8
HE 2154-2838,21,57,43.7,-,28,24,31,-16.9
HE 2155+0136,21,57,37.7,+,1,50,20,-248.2
HE 2156-3130,21,59,5.8,-,31,16,12,269.8
HE 2158-3112,22,1,21.4,-,30,57,57,-110.0
HE 2200-2030,22,3,2.6,-,20,15,58,89.7
HE 2201-0637,22,3,44.6,-,6,22,42,114.0
HE 2204-1703,22,7,12.0,-,16,49,10,-11.7
HE 2206-2245,22,9,9.4,-,22,30,17,-210.5
HE 2216-0621,22,18,46.1,-,6,6,50,52.5
HE 2216-1548,22,19,30.5,-,15,33,36,-271.0
HE 2217-0706,22,20,18.0,-,6,51,17,-93.3
HE 2217-1523,22,20,33.8,-,15,8,34,79.5
HE 2219-0713,22,22,15.8,-,6,58,34,-111.8
HE 2221-4150,22,24,47.3,-,41,35,38,40.2
HE 2222-4156,22,25,28.6,-,41,40,57,-126.0
HE 2224+0143,22,27,23.0,+,1,58,33,-112.3
HE 2224-4103,22,27,48.2,-,40,48,25,-60.7
HE 2226-4102,22,29,4.3,-,40,46,53,96.0
HE 2227-4044,22,30,19.2,-,40,29,13,103.9
HE 2228-3806,22,31,2.6,-,37,50,41,179.0
HE 2229-4153,22,32,49.0,-,41,38,25,-139.6
HE 2231-0622,22,34,20.2,-,6,6,30,-428.8
HE 2234-0521,22,36,37.7,-,5,6,5,-177.8
HE 2238-2152,22,41,10.3,-,21,36,19,-22.2
HE 2240-0412,22,42,58.1,-,3,56,33,-163.7
HE 2242-1930,22,45,17.3,-,19,14,52,-22.5
HE 2243-0151,22,46,8.9,-,1,35,55,-47.4
HE 2244-1503,22,47,25.9,-,14,47,30,148.1
HE 2247-3705,22,50,29.5,-,36,49,17,143.6
HE 2248-3345,22,51,44.6,-,33,29,25,145.4
HE 2250-2132,22,53,40.3,-,21,16,24,-207.6
HE 2252-4157,22,55,34.1,-,41,41,29,-94.5
HE 2252-4225,22,54,58.6,-,42,9,19,-333.7
HE 2258-3456,23,0,59.8,-,34,40,42,-229.0
HE 2259-3407,23,2,15.6,-,33,51,11,-13.6
HE 2301-4024,23,4,13.9,-,40,8,21,-221.7
HE 2301-4126,23,3,50.2,-,41,10,27,252.2
HE 2304-4153,23,7,5.5,-,41,37,30,-33.9
HE 2311+0129,23,14,21.4,+,1,45,24,-149.0
HE 2314-1554,23,17,1.2,-,15,37,49,72.8
HE 2319-0852,23,22,17.3,-,8,36,17,-121.6
HE 2325-0755,23,27,59.5,-,7,39,12,-237.0
HE 2326+0038,23,28,56.9,+,0,54,35,-40.9
HE 2327-5642,23,30,37.2,-,56,26,14,282.1
HE 2329-3702,23,32,18.0,-,36,45,59,71.7
HE 2333-1358,23,35,48.5,-,13,41,31,96.7
HE 2334-0604,23,37,28.6,-,5,47,56,-18.5
HE 2335-5958B,23,38,19.4,-,59,42,5,210.7
HE 2338-1311,23,41,8.3,-,12,55,10,-84.0
HE 2338-1618,23,40,36.2,-,16,1,28,-219.4
HE 2345-1919,23,47,55.4,-,19,2,37,119.4
HE 2347-1254,23,50,9.8,-,12,37,50,-43.5
HE 2347-1334,23,50,26.9,-,13,17,39,-54.8
HE 2347-1448,23,49,58.3,-,14,32,16,-165.1
