SubG,Name,OName,f_OName,n_Name,MType,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Ref1,f_Ref1,Com1
Rest,Sagittarius dIrr,UKS 1927-177,,L,dIrr,19,29,59.0,,17,40,41,"353,354",,Defines R_LG
Rest,UGC 4879,VV 124,,L,dIrr/dSph,9,16,2.2,+,52,50,24,355,,Defines R_LG
Rest,NGC 3109,"DDO 236,UGCA 194",,N,dIrr,10,3,6.9,,26,9,35,356,,Loose NGC 3109 subgroup. Interacting with Antlia?
Rest,Sextans B,"UGC 5373,DDO 70",,N,dIrr,10,0,0.1,+,5,19,56,346,e,Loose NGC 3109 subgroup
Rest,Antlia,,,N,dIrr,10,4,4.1,,27,19,52,357,,Loose NGC 3109 subgroup. Interacting with NGC 3109?
Rest,Sextans A,"UGCA 205,DDO 75",,N,dIrr,10,11,0.8,,4,41,34,350,,Loose NGC 3109 sub-group
Rest,HIZSS 3(A),,,N,(d)Irr?,7,0,29.3,,4,12,30,358,,Zone of obscuration. Binary with B?
Rest,HIZSS 3B,,,N,(d)Irr?,7,0,29.3,,4,12,30,358,,Zone of obscuration. Binary with A?
Rest,KKR 25,,,N,dIrr/dSph,16,13,48.0,+,54,22,16,359,,
Rest,ESO 410- G 005,UKS 0013-324,,N,dIrr/dSph,0,15,31.6,,32,10,48,"360,361",,"NGC 55 sub-group, forming ""bridge"" to Sculptor?"
Rest,NGC 55,,,N,Irr,0,14,53.6,,39,11,48,362,,"NGC 55 sub-group, forming ""bridge"" to Sculptor?"
Rest,ESO 294- G 010,,,N,dIrr/dSph,0,26,33.4,,41,51,19,360,,"NGC 55 sub-group, forming ""bridge"" to Sculptor?"
Rest,NGC 300,,,N,Sc,0,54,53.5,,37,41,4,362,,"NGC 55 sub-group, forming ""bridge"" to Sculptor?"
Rest,IC 5152,,,N,dIrr,22,2,41.5,,51,17,47,363,,
Rest,KKH 98,,,N,dIrr,23,45,34.0,+,38,43,4,364,,
Rest,UKS 2323-326,UGCA 438,,N,dIrr,23,26,27.5,,32,23,20,354,,"NGC 55 sub-group, forming ""bridge"" to Sculptor?"
Rest,KKR 3,KK 230,,N,dIrr,14,7,10.5,+,35,3,37,365,,Member of the Canes Venatici I cloud
Rest,GR 8,"UGC 8091,VV 558,DDO 155",,N,dIrr,12,58,40.4,+,14,13,3,366,,Gibson Reaves gave this galaxy his initials
Rest,UGC 9128,DDO 187,,N,dIrr,14,15,56.5,+,23,3,19,351,,
Rest,UGC 8508,,,N,dIrr,13,30,44.4,+,54,54,36,367,,
Rest,IC 3104,"ESO 020- G 004,UKS 1215-794",,N,dIrr,12,18,46.0,,79,43,34,368,,
Rest,DDO 125,UGC 7577,,N,dIrr,12,27,40.9,+,43,29,44,351,,
Rest,UGCA 86,,,N,dIrr,3,59,48.3,+,67,8,19,369,,Companion of IC 342
Rest,DDO 99,UGC 6817,,N,dIrr,11,50,53.0,+,38,52,49,351,,
Rest,IC 4662,ESO 102- G 014,,N,dIrr,17,47,8.8,,64,38,30,370,,
Rest,DDO 190,UGC 9240,,N,dIrr,14,24,43.4,+,44,31,33,351,,
Rest,KKH 86,,,N,dIrr,13,54,33.5,+,4,14,35,364,,
Rest,NGC 4163,"UGC 7199,NGC 4167",*,N,dIrr,12,12,9.1,+,36,10,9,334,,
Rest,DDO 113,"UGCA 276,KDG 90",,N,dIrr,12,14,57.9,+,36,13,8,351,,
