Name,Species,Ion,l_logepsX,logepsX,e_[X/H],e_[X/Fe]
LMC-104,13.0,Al I,,2.96,0.65,0.62
LMC-104,14.0,Si I,,4.78,0.7,0.61
LMC-104,19.0,K I,,2.99,0.28,0.22
LMC-104,20.0,Ca I,,3.97,0.27,0.22
LMC-104,21.1,Sc II,,0.6,0.24,0.3
LMC-104,22.0,Ti I,,2.57,0.33,0.21
LMC-104,22.1,Ti II,,2.76,0.24,0.32
LMC-104,23.0,V I,,1.33,0.32,0.22
LMC-104,23.1,V II,<,1.93,,
LMC-104,24.0,Cr I,,2.91,0.31,0.21
LMC-104,24.1,Cr II,,3.19,0.24,0.38
LMC-104,25.0,Mn I,,2.45,0.28,0.22
LMC-104,26.0,Fe I,,4.94,0.33,0.21
LMC-104,26.1,Fe II,,4.94,0.24,0.37
LMC-104,27.0,Co I,,2.54,0.35,0.21
LMC-104,28.0,Ni I,,3.76,0.3,0.22
LMC-104,38.1,Sr II,,-0.12,0.32,0.3
LMC-104,39.1,Y II,,-0.67,0.25,0.3
LMC-104,40.1,Zr II,,0.27,0.24,0.31
LMC-104,56.1,Ba II,,-0.83,0.25,0.3
LMC-104,57.1,La II,<,-1.27,,
LMC-104,63.1,Eu II,,-1.86,0.25,0.3
LMC-104,106.0,C-H,,5.26,0.37,0.22
LMC-109,11.0,Na I,,3.21,0.34,0.21
LMC-109,12.0,Mg I,,5.18,0.26,0.22
LMC-109,13.0,Al I,,2.4,0.66,0.61
LMC-109,14.0,Si I,,5.09,0.69,0.61
LMC-109,19.0,K I,,2.79,0.26,0.22
LMC-109,20.0,Ca I,,3.72,0.26,0.22
LMC-109,21.1,Sc II,,0.39,0.24,0.28
LMC-109,22.0,Ti I,,2.2,0.32,0.2
LMC-109,22.1,Ti II,,2.46,0.23,0.3
LMC-109,23.0,V I,,1.04,0.31,0.21
LMC-109,23.1,V II,<,1.72,,
LMC-109,24.0,Cr I,,2.52,0.3,0.2
LMC-109,24.1,Cr II,,2.93,0.22,0.37
LMC-109,25.0,Mn I,,2.03,0.28,0.21
LMC-109,26.0,Fe I,,4.65,0.32,0.2
LMC-109,26.1,Fe II,,4.66,0.23,0.34
LMC-109,27.0,Co I,,1.88,0.34,0.2
LMC-109,28.0,Ni I,,3.36,0.27,0.21
LMC-109,38.1,Sr II,,-0.22,0.51,0.49
LMC-109,39.1,Y II,,-0.79,0.24,0.3
LMC-109,40.1,Zr II,<,0.36,,
LMC-109,56.1,Ba II,,-0.92,0.26,0.27
LMC-109,57.1,La II,<,-1.35,,
LMC-109,63.1,Eu II,,-1.85,0.26,0.28
LMC-109,106.0,C-H,,5.03,0.39,0.23
LMC-119,11.0,Na I,,1.46,0.26,0.21
LMC-119,12.0,Mg I,,3.87,0.29,0.21
LMC-119,13.0,Al I,,1.49,0.63,0.6
LMC-119,14.0,Si I,,4.14,0.66,0.62
LMC-119,20.0,Ca I,,2.66,0.24,0.23
LMC-119,21.1,Sc II,,-0.78,0.24,0.26
LMC-119,22.1,Ti II,,0.96,0.23,0.28
LMC-119,23.0,V I,<,0.58,,
LMC-119,23.1,V II,<,1.01,,
LMC-119,25.0,Mn I,<,2.07,,
LMC-119,26.0,Fe I,,3.35,0.3,0.2
LMC-119,26.1,Fe II,,3.38,0.22,0.31
LMC-119,27.0,Co I,,1.13,0.31,0.21
LMC-119,28.0,Ni I,,2.01,0.32,0.2
LMC-119,38.1,Sr II,,-2.78,0.28,0.29
LMC-119,39.1,Y II,<,-1.19,,
LMC-119,40.1,Zr II,<,-0.65,,
LMC-119,56.1,Ba II,<,-3.33,,
LMC-119,57.1,La II,<,-1.62,,
LMC-119,63.1,Eu II,<,-2.59,,0.2
LMC-119,106.0,C-H,<,3.93,,0.2
LMC-124,11.0,Na I,,3.39,0.34,0.22
LMC-124,12.0,Mg I,,5.12,0.26,0.23
LMC-124,13.0,Al I,,3,0.66,0.62
LMC-124,14.0,Si I,,4.79,0.74,0.63
LMC-124,19.0,K I,,2.86,0.26,0.22
LMC-124,20.0,Ca I,,3.74,0.25,0.23
LMC-124,21.1,Sc II,,0.28,0.24,0.3
LMC-124,22.0,Ti I,,2.22,0.31,0.21
LMC-124,22.1,Ti II,,2.36,0.25,0.31
LMC-124,23.0,V I,<,1.12,,
LMC-124,23.1,V II,<,1.68,,
LMC-124,24.0,Cr I,,2.44,0.3,0.22
LMC-124,25.0,Mn I,<,2.38,,
LMC-124,26.0,Fe I,,4.53,0.33,0.21
LMC-124,26.1,Fe II,,4.59,0.23,0.35
LMC-124,27.0,Co I,,1.78,0.33,0.21
LMC-124,28.0,Ni I,,3.3,0.28,0.22
LMC-124,38.1,Sr II,,-0.14,0.3,0.28
LMC-124,39.1,Y II,,-0.9,0.25,0.3
LMC-124,40.1,Zr II,<,0.32,,
LMC-124,56.1,Ba II,,-1.47,0.26,0.28
LMC-124,57.1,La II,<,-1.64,,
LMC-124,63.1,Eu II,<,-1.98,,0.21
LMC-124,106.0,C-H,,5.13,0.39,0.24
LMC-204,11.0,Na I,,3.16,0.35,0.27
LMC-204,12.0,Mg I,,5.08,0.31,0.28
LMC-204,13.0,Al I,,2.03,0.64,0.63
LMC-204,14.0,Si I,,4.81,0.78,0.73
LMC-204,19.0,K I,,2.76,0.31,0.28
LMC-204,20.0,Ca I,,3.6,0.3,0.29
LMC-204,21.1,Sc II,,0.17,0.3,0.33
LMC-204,22.0,Ti I,,2.26,0.35,0.27
LMC-204,22.1,Ti II,,2.21,0.3,0.34
LMC-204,23.0,V I,<,1.36,,
LMC-204,23.1,V II,<,1.69,,
LMC-204,25.0,Mn I,<,2.72,,
LMC-204,26.0,Fe I,,4.67,0.35,0.27
LMC-204,26.1,Fe II,,4.61,0.29,0.38
LMC-204,27.0,Co I,,1.91,0.35,0.27
LMC-204,28.0,Ni I,,3.14,0.35,0.27
LMC-204,38.1,Sr II,,-1.4,0.3,0.34
LMC-204,39.1,Y II,<,-0.57,,
LMC-204,40.1,Zr II,<,0.4,,
LMC-204,56.1,Ba II,,-1.67,0.31,0.32
LMC-204,57.1,La II,<,-1.12,,
LMC-204,63.1,Eu II,<,-1.68,,0.27
LMC-204,106.0,C-H,,5.45,0.46,0.31
LMC-206,11.0,Na I,,3.52,0.35,0.24
LMC-206,12.0,Mg I,,4.99,0.3,0.25
LMC-206,13.0,Al I,,3.51,0.7,0.67
LMC-206,14.0,Si I,,4.85,0.82,0.73
LMC-206,20.0,Ca I,,3.8,0.28,0.26
LMC-206,21.1,Sc II,,0.28,0.27,0.31
LMC-206,22.1,Ti II,,2.42,0.27,0.33
LMC-206,23.0,V I,<,1.24,,
LMC-206,23.1,V II,<,1.9,,
LMC-206,24.0,Cr I,,2.85,0.33,0.24
LMC-206,25.0,Mn I,<,2.52,,
LMC-206,26.0,Fe I,,4.94,0.34,0.24
LMC-206,26.1,Fe II,,4.94,0.27,0.37
LMC-206,27.0,Co I,,1.88,0.34,0.24
LMC-206,28.0,Ni I,,3.22,0.31,0.24
LMC-206,38.1,Sr II,,-0.68,0.49,0.48
LMC-206,39.1,Y II,<,-0.32,,
LMC-206,40.1,Zr II,<,0.53,,
LMC-206,56.1,Ba II,,-1.54,0.28,0.3
LMC-206,57.1,La II,<,-1.03,,
LMC-206,63.1,Eu II,<,-1.68,,0.24
LMC-206,106.0,C-H,,5.52,0.38,0.26
LMC-207,11.0,Na I,,2.85,0.32,0.25
LMC-207,12.0,Mg I,,4.42,0.32,0.26
LMC-207,13.0,Al I,,2.16,0.64,0.64
LMC-207,14.0,Si I,,4.45,0.75,0.66
LMC-207,20.0,Ca I,,3.48,0.28,0.27
LMC-207,21.1,Sc II,,-0.38,0.27,0.3
LMC-207,22.1,Ti II,,1.69,0.28,0.31
LMC-207,23.0,V I,<,1.16,,
LMC-207,23.1,V II,<,1.68,,
LMC-207,24.0,Cr I,,2.04,0.31,0.25
LMC-207,25.0,Mn I,<,2.15,,
LMC-207,26.0,Fe I,,4.16,0.34,0.25
LMC-207,26.1,Fe II,,4.13,0.27,0.35
LMC-207,27.0,Co I,,1.71,0.34,0.25
LMC-207,38.1,Sr II,,-1.03,0.31,0.31
LMC-207,39.1,Y II,<,-0.94,,
LMC-207,40.1,Zr II,<,0.39,,
LMC-207,56.1,Ba II,,-2.62,0.29,0.3
LMC-207,57.1,La II,<,-1.62,,
LMC-207,63.1,Eu II,<,-2.28,,0.25
LMC-207,106.0,C-H,,4.97,0.47,0.31
LMC-215,11.0,Na I,,3.54,0.29,0.19
LMC-215,12.0,Mg I,,4.99,0.22,0.19
LMC-215,13.0,Al I,,3.13,0.75,0.64
LMC-215,14.0,Si I,,4.81,0.7,0.62
LMC-215,19.0,K I,,2.56,0.22,0.19
LMC-215,20.0,Ca I,,3.53,0.21,0.19
LMC-215,21.1,Sc II,,-0.08,0.21,0.25
LMC-215,22.0,Ti I,,2.1,0.27,0.17
LMC-215,22.1,Ti II,,2.04,0.21,0.26
LMC-215,23.0,V I,<,1.16,,
LMC-215,23.1,V II,<,1.42,,
LMC-215,24.0,Cr I,,2.34,0.26,0.17
LMC-215,25.0,Mn I,<,2.42,,
LMC-215,26.0,Fe I,,4.41,0.28,0.17
LMC-215,26.1,Fe II,,4.37,0.23,0.33
LMC-215,27.0,Co I,,1.96,0.3,0.21
LMC-215,28.0,Ni I,,2.96,0.26,0.17
LMC-215,38.1,Sr II,,-0.85,0.42,0.43
LMC-215,39.1,Y II,<,-0.86,,
LMC-215,40.1,Zr II,<,0.14,,
LMC-215,56.1,Ba II,,-1.29,0.22,0.25
LMC-215,57.1,La II,<,-1.73,,
LMC-215,63.1,Eu II,<,-2.33,,0.17
LMC-215,106.0,C-H,,5.2,0.43,0.26
LMC-319,26.0,Fe I,,4.81,0.24,
LMC-319,106.0,C-H,,5.54,,0.24
LMC-323,26.0,Fe I,,5.4,0.32,
LMC-323,106.0,C-H,,5.53,,0.32
LMC-400,26.0,Fe I,,4.65,0.28,
LMC-400,106.0,C-H,,5.16,,0.28
LMC-402,26.0,Fe I,,4.3,0.25,
LMC-402,106.0,C-H,<,5.13,,0.25
LMC-403,26.0,Fe I,,4.95,0.36,
LMC-403,106.0,C-H,,5.39,,0.36
LMC-404,26.0,Fe I,,5.08,0.32,
LMC-404,106.0,C-H,,5.46,,0.32
LMC-405,26.0,Fe I,,5,0.31,
LMC-405,106.0,C-H,,5.58,,0.31
LMC-406,26.0,Fe I,,5.28,0.41,
LMC-406,106.0,C-H,,5.67,,0.41
LMC-407,26.0,Fe I,,5.49,0.42,
LMC-407,106.0,C-H,,5.93,,0.42
LMC-409,26.0,Fe I,,4.87,0.21,
LMC-409,106.0,C-H,<,5.25,,0.21
LMC-410,26.0,Fe I,,4.86,0.36,
LMC-410,106.0,C-H,,5.38,,0.36
LMC-411,26.0,Fe I,,4.71,0.17,
LMC-411,106.0,C-H,<,5.19,,0.17
LMC-413,26.0,Fe I,,5.13,0.44,
LMC-413,106.0,C-H,,5.38,,0.44
LMC-414,26.0,Fe I,,5.2,0.22,
LMC-414,106.0,C-H,,5.76,,0.22
LMC-416,26.0,Fe I,,5.02,0.22,
LMC-416,106.0,C-H,,5.36,,0.22
