Z , E , CI-Chondrites (from Table4),         , Sun Convection Zone (mainly photosphere),         , Solar System* Present,         , "Solar System* Proto-Solar †,‡",         , Note  , Solar System* Present,      , "Solar System* Proto-Solar †,‡", 
12, Mg, 1.04E+06                   , 3E+04   , 1.07E+06                                , 1.3E+05 , 1.04E+06             , 2E+04   , 1.04E+06                       , 2E+04   , a     , 7.57                 , 0.01 , 7.66                           , 0.01
13, Al, 82707                      , 4687    , 75698                                   , 9237    , 81102                , 4956    , 81102                          , 4956    , a     , 6.46                 , 0.03 , 6.55                           , 0.03
14, Si, 1.00E+06                   , 4E+04   , 1.02E+06                                , 1.2E+05 , 1.00E+06             , 1E+04   , 1.00E+06                       , 1E+04   , a     , 7.55                 , 0.01 , 7.64                           , 0.01
15, P , 8413                       , 757     , 7746                                    , 2465    , 8395                 , 757     , 8395                           , 757     , m     , 5.48                 , 0.04 , 5.56                           , 0.04
16, S , 425635                     , 37798   , 406521                                  , 117180  , 424747               , 37798   , 424747                         , 37798   , m     , 7.18                 , 0.04 , 7.27                           , 0.04
17, Cl, 5326                       , 817     , 7570                                    , 4428    , 5315                 , 817     , 5315                           , 817     , m     , 5.28                 , 0.06 , 5.37                           , 0.06
18, Ar, 0.0097                     , 0.0010  , 88937                                   , 28305   , 88752                , 28305   , 88751                          , 28305   , "s, t", 6.50                 , 0.12 , 6.59                           , 0.12
19, K , 3667                       , 276     , 3460                                    , 797     , 3659                 , 276     , 3664                           , 277     , m     , 5.12                 , 0.03 , 5.20                           , 0.03
20, Ca, 60135                      , 3641    , 62963                                   , 9328    , 60382                , 2000    , 60378                          , 2000    , a     , 6.33                 , 0.01 , 6.42                           , 0.01
21, Sc, 33.8                       , 2.2     , 38                                      , 11      , 33.7                 , 2.2     , 33.7                           , 2.2     , m     , 3.08                 , 0.03 , 3.17                           , 0.03
22, Ti, 2433                       , 165     , 2625                                    , 757     , 2428                 , 165     , 2428                           , 165     , m     , 4.94                 , 0.03 , 5.03                           , 0.03
23, V , 275                        , 20      , 218                                     , 97      , 274                  , 20      , 274                            , 20      , m     , 3.99                 , 0.03 , 4.08                           , 0.03
24, Cr, 13255                      , 588     , 15456                                   , 4455    , 13227                , 588     , 13227                          , 588     , m     , 5.67                 , 0.02 , 5.76                           , 0.02
25, Mn, 9282                       , 734     , 9313                                    , 1136    , 9272                 , 22      , 9272                           , 22      , a     , 5.52                 , 0.00 , 5.61                           , 0.00
26, Fe, 8.73E+05                   , 3.0E+04 , 9.10E+05                                , 1.11E+05, 8.74E+05             , 2.6E+04 , 8.74E+05                       , 2.6E+04 , a     , 7.49                 , 0.01 , 7.58                           , 0.01
27, Co, 2297                       , 116     , 2507                                    , 723     , 2292                 , 116     , 2292                           , 116     , m     , 4.91                 , 0.02 , 5.00                           , 0.02
28, Ni, 50184                      , 1481    , 48875                                   , 7241    , 50026                , 926     , 50026                          , 926     , a     , 6.25                 , 0.01 , 6.34                           , 0.01
29, Cu, 552                        , 62      , 489                                     , 141     , 551                  , 62      , 551                            , 62      , m     , 4.29                 , 0.05 , 4.38                           , 0.05
30, Zn, 1251                       , 89      , 998                                     , 288     , 1248                 , 89      , 1248                           , 89      , m     , 4.65                 , 0.03 , 4.74                           , 0.03
31, Ga, 36                         , 3       , 29.4                                    , 11.2    , 36                   , 3       , 36.0                           , 2.6     , m     , 3.11                 , 0.03 , 3.20                           , 0.03
32, Ge, 122                        , 8       , 117                                     , 45      , 121                  , 8       , 121                            , 8       , m     , 3.64                 , 0.03 , 3.72                           , 0.03
33, As, 6.16                       , 0.60    ,                                         ,         , 6.15                 , 0.60    , 6.15                           , 0.60    , m     , 2.34                 , 0.04 , 2.43                           , 0.04
34, Se, 71.7                       , 2.3     ,                                         ,         , 71.5                 , 2.3     , 71.5                           , 2.3     , m     , 3.41                 , 0.01 , 3.49                           , 0.01
35, Br, 12.4                       , 3.0     ,                                         ,         , 12.4                 , 3.0     , 12.4                           , 3.0     , m     , 2.65                 , 0.09 , 2.73                           , 0.09
36, Kr, 0.000164                   , 0.000016, 57.4                                    , 18.3    , 57.3                 , 18.3    , 57.3                           , 18.3    , t     , 3.31                 , 0.12 , 3.40                           , 0.12
37, Rb, 6.98                       , 0.37    , 6.30                                    , 1.81    , 6.96                 , 0.37    , 7.09                           , 0.38    , m     , 2.39                 , 0.02 , 2.49                           , 0.02
38, Sr, 24.2                       , 0.8     , 23.9                                    , 6.9     , 24.1                 , 0.8     , 24.0                           , 0.8     , m     , 2.93                 , 0.01 , 3.02                           , 0.01
39, Y , 4.50                       , 0.40    , 5.61                                    , 0.83    , 4.49                 , 0.40    , 4.49                           , 0.40    , m     , 2.20                 , 0.04 , 2.29                           , 0.04
40, Zr, 10.5                       , 0.6     , 13.5                                    , 3.9     , 10.5                 , 0.6     , 10.5                           , 0.6     , m     , 2.57                 , 0.02 , 2.66                           , 0.02
41, Nb, 0.77                       , 0.06    , 0.830                                   , 0.316   , 0.77                 , 0.06    , 0.77                           , 0.06    , m     , 1.44                 , 0.03 , 1.52                           , 0.03
42, Mo, 2.60                       , 0.27    , 2.13                                    , 0.95    , 2.60                 , 0.27    , 2.60                           , 0.27    , m     , 1.97                 , 0.04 , 2.05                           , 0.04
43, Tc,                            ,         ,                                         ,         ,                      ,         ,                                ,         ,       ,                      ,      ,                                ,    
44, Ru, 1.77                       , 0.11    , 1.58                                    , 0.70    , 1.77                 , 0.11    , 1.77                           , 0.11    , m     , 1.80                 , 0.03 , 1.89                           , 0.03
45, Rh, 0.341                      , 0.015   , 0.169                                   , 0.075   , 0.341                , 0.015   , 0.341                          , 0.015   , m     , 1.08                 , 0.02 , 1.17                           , 0.02
46, Pd, 1.39                       , 0.06    , 1.04                                    , 0.47    , 1.39                 , 0.06    , 1.39                           , 0.06    , m     , 1.69                 , 0.02 , 1.78                           , 0.02
47, Ag, 0.504                      , 0.046   , 0.256                                   , 0.114   , 0.503                , 0.046   , 0.503                          , 0.046   , m     , 1.25                 , 0.04 , 1.34                           , 0.04
48, Cd, 1.60                       , 0.11    , 1.66                                    , 0.97    , 1.59                 , 0.11    , 1.59                           , 0.11    , m     , 1.75                 , 0.03 , 1.84                           , 0.03
49, In, 0.179                      , 0.013   , 0.177                                   , 0.104   , 0.179                , 0.013   , 0.179                          , 0.013   , m     , 0.80                 , 0.03 , 0.89                           , 0.03
50, Sn, 3.70                       , 0.44    , 2.94                                    , 1.31    , 3.69                 , 0.44    , 3.69                           , 0.44    , m     , 2.12                 , 0.05 , 2.21                           , 0.05
51, Sb, 0.340                      , 0.056   ,                                         ,         , 0.339                , 0.056   , 0.339                          , 0.056   , m     , 1.08                 , 0.07 , 1.17                           , 0.07
52, Te, 4.75                       , 0.19    ,                                         ,         , 4.74                 , 0.19    , 4.74                           , 0.19    , m     , 2.23                 , 0.02 , 2.32                           , 0.02
53, I , 1.60                       , 0.64    ,                                         ,         , 1.60                 , 0.64    , 1.60                           , 0.64    , m     , 1.76                 , 0.15 , 1.84                           , 0.15
54, Xe, 3.49E-04                   , 3.5E-05 , 5.61                                    , 1.79    , 5.60                 , 1.79    , 5.60                           , 1.79    , t     , 2.30                 , 0.12 , 2.39                           , 0.12
55, Cs, 0.368                      , 0.024   ,                                         ,         , 0.367                , 0.024   , 0.367                          , 0.024   , m     , 1.12                 , 0.03 , 1.20                           , 0.03
56, Ba, 4.62                       , 0.27    , 5.24                                    , 0.78    , 4.61                 , 0.27    , 4.61                           , 0.27    , m     , 2.22                 , 0.02 , 2.30                           , 0.02
57, La, 0.470                      , 0.019   , 0.354                                   , 0.158   , 0.469                , 0.019   , 0.469                          , 0.019   , m     , 1.22                 , 0.02 , 1.31                           , 0.02
58, Ce, 1.190                      , 0.049   , 1.07                                    , 0.48    , 1.187                , 0.049   , 1.187                          , 0.049   , m     , 1.63                 , 0.02 , 1.71                           , 0.02
59, Pr, 0.179                      , 0.008   , 0.158                                   , 0.046   , 0.179                , 0.008   , 0.179                          , 0.008   , m     , 0.80                 , 0.02 , 0.89                           , 0.02
60, Nd, 0.880                      , 0.046   , 0.740                                   , 0.330   , 0.879                , 0.046   , 0.877                          , 0.046   , m     , 1.50                 , 0.02 , 1.58                           , 0.02
61, Pm, 0.000                      ,         ,                                         ,         ,                      ,         ,                                ,         ,       ,                      ,      ,                                ,    
62, Sm, 0.273                      , 0.014   , 0.251                                   , 0.112   , 0.273                , 0.014   , 0.274                          , 0.014   , m     , 0.99                 , 0.02 , 1.08                           , 0.02
63, Eu, 0.104                      , 0.005   , 0.104                                   , 0.015   , 0.104                , 0.005   , 0.104                          , 0.005   , m     , 0.57                 , 0.02 , 0.66                           , 0.02
64, Gd, 0.353                      , 0.017   , 0.338                                   , 0.151   , 0.352                , 0.017   , 0.352                          , 0.017   , m     , 1.10                 , 0.02 , 1.19                           , 0.02
65, Tb, 0.0638                     , 0.0028  , 0.0574                                  , 0.0256  , 0.0637               , 0.0028  , 0.0637                         , 0.0028  , m     , 0.36                 , 0.02 , 0.44                           , 0.02
66, Dy, 0.421                      , 0.018   , 0.354                                   , 0.158   , 0.420                , 0.018   , 0.420                          , 0.018   , m     , 1.17                 , 0.02 , 1.26                           , 0.02
67, Ho, 0.0908                     , 0.0037  , 0.0849                                  , 0.0378  , 0.0906               , 0.0037  , 0.0906                         , 0.0037  , m     , 0.51                 , 0.02 , 0.60                           , 0.02
68, Er, 0.263                      , 0.011   , 0.239                                   , 0.107   , 0.263                , 0.011   , 0.263                          , 0.011   , m     , 0.97                 , 0.02 , 1.06                           , 0.02
69, Tm, 0.0410                     , 0.0019  , 0.0362                                  , 0.0161  , 0.0410               , 0.0019  , 0.0410                         , 0.0019  , m     , 0.16                 , 0.02 , 0.25                           , 0.02
70, Yb, 0.259                      , 0.010   , 0.199                                   , 0.089   , 0.259                , 0.010   , 0.259                          , 0.010   , m     , 0.96                 , 0.02 , 1.05                           , 0.02
71, Lu, 0.0384                     , 0.0022  , 0.0354                                  , 0.0158  , 0.0383               , 0.0022  , 0.0384                         , 0.0022  , m     , 0.13                 , 0.02 , 0.22                           , 0.02
72, Hf, 0.158                      , 0.009   , 0.204                                   , 0.065   , 0.157                , 0.009   , 0.157                          , 0.009   , m     , 0.75                 , 0.02 , 0.84                           , 0.02
73, Ta, 0.0218                     , 0.0010  ,                                         ,         , 0.0217               , 0.0010  , 0.0217                         , 0.0010  , m     , -0.11                , 0.02 , -0.02                          , 0.02
74, W , 0.144                      , 0.017   , 0.173                                   , 0.101   , 0.144                , 0.017   , 0.144                          , 0.017   , m     , 0.71                 , 0.05 , 0.80                           , 0.05
75, Re, 0.0564                     , 0.0023  ,                                         ,         , 0.0563               , 0.0023  , 0.0591                         , 0.0024  , m     , 0.30                 , 0.02 , 0.41                           , 0.02
76, Os, 0.680                      , 0.019   , 0.644                                   , 0.245   , 0.679                , 0.019   , 0.676                          , 0.019   , m     , 1.38                 , 0.01 , 1.47                           , 0.01
77, Ir, 0.625                      , 0.037   , 0.740                                   , 0.433   , 0.624                , 0.037   , 0.624                          , 0.037   , m     , 1.35                 , 0.03 , 1.44                           , 0.03
78, Pt, 1.221                      , 0.095   ,                                         ,         , 1.218                , 0.095   , 1.218                          , 0.095   , m     , 1.64                 , 0.03 , 1.73                           , 0.03
79, Au, 0.201                      , 0.018   , 0.229                                   , 0.134   , 0.201                , 0.018   , 0.201                          , 0.018   , m     , 0.85                 , 0.04 , 0.94                           , 0.04
80, Hg, 0.385                      , 0.139   ,                                         ,         , 0.384                , 0.139   , 0.384                          , 0.139   , m     , 1.14                 , 0.13 , 1.22                           , 0.13
81, Tl, 0.182                      , 0.018   , 0.251                                   , 0.147   , 0.181                , 0.018   , 0.181                          , 0.018   , m     , 0.81                 , 0.04 , 0.90                           , 0.04
82, Pb, 3.32                       , 0.24    , 2.51                                    , 1.47    , 3.32                 , 0.24    , 3.29                           , 0.24    , m     , 2.07                 , 0.03 , 2.16                           , 0.03
83, Bi, 0.142                      , 0.009   ,                                         ,         , 0.142                , 0.009   , 0.142                          , 0.009   , m     , 0.70                 , 0.03 , 0.79                           , 0.03
90, Th, 0.0345                     , 0.0037  ,                                         ,         , 0.0344               , 0.0037  , 0.0431                         , 0.0047  , m     , 0.09                 , 0.04 , 0.27                           , 0.04
92, U , 0.00896                    , 0.00085 ,                                         ,         , 0.00894              , 0.00085 , 0.02382                        , 0.00227 , m     , -0.50                , 0.04 , 0.02                           , 0.04

# *CI-chondritic values are strictly normalized to Si = 106 atoms. Photospheric values via N(E)=10A(E)-1.551. 
# **Solar system values are from the combined solar and meteoritic datasets in columns (1) and (2) and were re-normalized to Si = 10^6 because the average of solar and meteoritic values is used for Si. 
# Note column: m = meteoritic, s = from sun, o = by other means 
# †corrected for radioactive decay. 
# ‡present day photospheric values corrected for element settling from the convection zone to obtain protosolar values.
