Ion,lambda,RGcor,e_RGcor,SGcor,e_SGcor,HBcor,e_HBcor,MScor,e_MScor
Ti I,4555.48,0.02,0.08,0.05,0.08,-0.03,0.1,0.05,0.02
Ti I,4656.47,0.01,0.08,0.01,0.06,-0.02,0.15,0.0,0.02
Ti I,4681.91,0.01,0.06,0.01,0.11,0.01,0.05,0.0,0.03
Ti I,4840.87,-0.02,0.11,0.02,0.06,-0.02,0.18,0.04,0.06
Ti I,4981.73,0.03,0.06,0.02,0.07,0.07,0.12,0.03,0.02
Ti I,4991.07,-0.03,0.07,-0.06,0.11,-0.02,0.07,-0.08,0.04
Ti I,4999.5,-0.02,0.1,-0.01,0.06,-0.03,0.08,-0.04,0.06
Ti I,5016.16,-0.04,0.1,0.01,0.02,0.03,0.04,-0.01,0.1
Ti I,5064.65,-0.05,0.08,-0.03,0.06,-0.07,0.02,-0.04,0.02
Ti I,5173.74,-0.01,0.08,-0.03,0.14,-0.03,0.04,,
Ti I,5192.97,-0.03,0.09,-0.01,0.09,-0.04,0.06,-0.03,0.02
Ti I,5210.38,0.01,0.09,0.0,0.06,-0.03,0.07,-0.14,0.09
Ti II,3372.79,,,0.05,0.18,,,,
Ti II,3387.83,0.0,0.15,-0.03,0.11,,,,
Ti II,3394.57,-0.02,0.2,-0.08,0.11,,,,
Ti II,3456.38,0.24,0.07,0.21,0.11,,,,
Ti II,3477.18,,,-0.17,0.05,,,,
Ti II,3489.74,-0.23,0.13,-0.1,0.13,,,,
Ti II,3491.05,-0.11,0.14,-0.05,0.09,,,,
Ti II,3759.29,-0.01,0.07,-0.04,0.05,,,,
Ti II,3761.32,-0.04,0.08,0.0,0.08,,,0.02,0.12
Ti II,3913.46,-0.13,0.11,-0.11,0.09,,,0.06,0.04
Ti II,4028.34,0.06,0.11,0.06,0.07,0.08,0.06,-0.04,0.11
Ti II,4337.91,0.05,0.08,,,,,,
Ti II,4394.06,0.01,0.05,0.05,0.08,0.01,0.04,-0.04,0.08
Ti II,4395.03,-0.09,0.09,-0.08,0.1,-0.18,0.12,-0.06,0.11
Ti II,4395.84,0.09,0.07,0.12,0.05,0.06,0.03,0.13,0.12
Ti II,4398.29,0.23,0.07,,,,,,
Ti II,4399.77,-0.04,0.08,-0.02,0.1,0.05,0.05,-0.07,0.15
Ti II,4409.52,0.09,0.05,,,0.02,0.13,,
Ti II,4417.71,-0.03,0.07,-0.03,0.08,0.02,0.03,-0.01,0.08
Ti II,4418.33,0.03,0.06,0.04,0.07,0.02,0.06,-0.06,0.04
Ti II,4443.8,-0.02,0.09,-0.13,0.09,-0.06,0.06,-0.01,0.06
Ti II,4444.55,0.03,0.05,0.08,0.08,0.05,0.05,0.08,0.05
Ti II,4450.48,-0.04,0.07,-0.03,0.07,-0.01,0.04,-0.01,0.09
Ti II,4464.45,-0.01,0.04,0.04,0.05,0.01,0.02,-0.03,0.04
Ti II,4470.85,0.13,0.06,0.16,0.05,0.14,0.04,0.12,0.06
Ti II,4493.52,0.1,0.08,0.16,0.1,0.11,0.12,0.2,0.05
Ti II,4501.27,-0.06,0.08,-0.15,0.08,-0.05,0.06,-0.07,0.07
Ti II,4533.96,-0.05,0.11,-0.1,0.11,-0.08,0.07,-0.06,0.09
Ti II,4571.97,0.03,0.12,-0.09,0.11,-0.02,0.07,-0.09,0.1
Ti II,4583.41,-0.01,0.12,0.1,0.1,-0.1,0.12,0.04,0.06
Ti II,4636.32,0.13,0.08,,,,,,
Ti II,4657.2,0.01,0.07,0.04,0.06,0.0,0.0,0.07,0.06
Ti II,4708.66,-0.02,0.08,0.08,0.05,0.03,0.08,0.05,0.07
Ti II,4798.53,-0.04,0.08,0.04,0.1,-0.13,0.11,0.04,0.09
Ti II,5129.16,-0.01,0.11,-0.02,0.1,0.02,0.1,-0.04,0.05
Ti II,5185.9,0.08,0.09,0.05,0.08,0.11,0.11,,
Ti II,5188.69,-0.08,0.12,-0.1,0.1,-0.03,0.1,-0.16,0.13
Ti II,5226.54,-0.01,0.06,0.0,0.07,0.05,0.06,-0.04,0.03
Ti II,5336.79,0.02,0.06,0.07,0.06,0.08,0.05,0.01,0.06
Ti II,5381.02,-0.02,0.08,0.03,0.06,-0.04,0.05,0.01,0.04
Ti II,5418.77,-0.02,0.08,-0.01,0.1,0.07,0.03,0.0,0.05
V II,3951.96,0.06,0.09,0.04,0.12,0.04,0.1,0.03,0.17
V II,4005.71,-0.06,0.09,-0.04,0.12,-0.04,0.1,-0.03,0.17
Cr I,3578.68,0.11,0.14,-0.06,0.18,-0.02,0.13,,
Cr I,4274.8,0.01,0.11,-0.09,0.09,-0.01,0.14,,
Cr I,4289.72,0.1,0.17,0.0,0.08,0.18,0.13,0.07,0.05
Cr I,4545.95,-0.01,0.07,0.0,0.06,-0.02,0.13,0.03,0.08
Cr I,4646.15,0.01,0.04,-0.03,0.03,0.03,0.05,-0.02,0.03
Cr I,4651.28,-0.03,0.12,0.0,0.06,-0.04,0.04,-0.02,0.07
Cr I,4789.34,-0.06,0.08,-0.06,0.12,,,-0.02,0.05
Cr I,5206.04,0.0,0.08,-0.07,0.08,-0.04,0.14,0.0,0.06
Cr I,5296.69,-0.03,0.07,0.04,0.08,-0.06,0.15,0.0,0.03
Cr I,5298.28,-0.06,0.06,-0.01,0.05,-0.05,0.06,-0.06,0.09
Cr I,5300.74,0.1,0.05,0.01,0.11,,,0.09,0.05
Cr I,5345.8,-0.01,0.07,0.02,0.04,-0.02,0.09,-0.04,0.06
Cr I,5348.31,0.05,0.07,0.06,0.06,0.02,0.11,0.0,0.04
Cr I,5409.77,0.0,0.06,0.01,0.06,0.01,0.04,-0.06,0.11
Cr II,3408.74,0.09,0.11,0.08,0.2,,,,
Cr II,4558.59,-0.03,0.07,-0.03,0.05,-0.05,0.06,-0.02,0.07
Cr II,4588.14,0.04,0.05,0.01,0.05,0.0,0.04,0.03,0.09
Cr II,4591.99,-0.03,0.07,0.03,0.07,0.06,0.09,-0.02,0.08
Mn I,4030.75,0.15,0.19,0.11,0.25,0.33,0.22,-0.12,0.19
Mn I,4033.06,0.38,0.13,0.23,0.17,0.4,0.14,0.07,0.08
Mn I,4034.48,0.38,0.09,0.2,0.14,0.33,0.14,-0.02,0.27
Mn I,4041.35,0.04,0.06,0.01,0.08,0.02,0.06,-0.01,0.11
Mn I,4754.04,0.0,0.06,0.02,0.09,-0.01,0.05,0.07,0.09
Mn I,4762.37,-0.06,0.07,-0.08,0.08,-0.06,0.07,-0.01,0.14
Mn I,4823.52,-0.01,0.06,0.02,0.08,0.02,0.03,-0.03,0.07
Mn I,6021.82,-0.03,0.08,-0.03,0.05,,,-0.05,0.06
Mn II,3441.99,0.01,0.1,0.0,0.14,-0.09,0.07,0.03,0.05
Mn II,3460.32,0.05,0.12,0.01,0.09,0.05,0.04,-0.01,0.05
Mn II,3482.9,0.06,0.11,0.01,0.1,0.01,0.11,0.01,0.08
Mn II,3488.68,-0.05,0.12,-0.02,0.08,0.05,0.17,0.0,0.11
Mn II,3497.53,-0.11,0.09,-0.03,0.08,-0.06,0.09,-0.05,0.15
Co I,3409.18,0.11,0.05,,,,,,
Co I,3412.34,-0.09,0.16,0.05,0.15,0.05,0.15,0.05,0.15
Co I,3412.63,-0.24,0.09,-0.18,0.14,-0.18,0.14,-0.18,0.14
Co I,3449.44,0.1,0.06,0.02,0.03,0.02,0.03,0.02,0.03
Co I,3502.28,0.38,0.13,0.15,0.09,0.15,0.09,0.15,0.09
Co I,3518.34,0.19,0.07,0.12,0.1,0.12,0.1,0.12,0.1
Co I,3521.57,-0.06,0.08,-0.04,0.04,-0.04,0.04,-0.04,0.04
Co I,3529.03,0.07,0.11,-0.05,0.07,-0.05,0.07,-0.05,0.07
Co I,3842.05,-0.1,0.08,-0.1,0.06,-0.1,0.06,-0.1,0.06
Co I,3845.47,-0.02,0.07,-0.02,0.05,-0.02,0.05,-0.02,0.05
Co I,3894.08,0.07,0.07,0.1,0.02,0.1,0.02,0.1,0.02
Co I,4121.32,-0.11,0.07,-0.02,0.04,-0.02,0.04,-0.02,0.04
Ni I,3437.28,-0.05,0.14,0.01,0.12,,,,
Ni I,3452.89,0.02,0.15,-0.07,0.11,,,,
Ni I,3472.54,0.13,0.13,-0.05,0.13,,,,
Ni I,3492.96,0.2,0.11,0.04,0.12,,,,
Ni I,3500.85,-0.02,0.15,-0.08,0.12,-0.02,0.2,-0.07,0.23
Ni I,3519.77,0.01,0.14,0.06,0.08,,,,
Ni I,3524.54,0.11,0.08,0.06,0.14,,,,
Ni I,3597.7,0.14,0.15,0.03,0.09,0.09,0.07,0.05,0.28
Ni I,3783.53,0.03,0.13,0.08,0.07,,,0.25,0.14
Ni I,3807.14,0.15,0.14,0.08,0.09,0.19,0.13,0.2,0.16
Ni I,4605.0,0.02,0.08,0.04,0.09,0.07,0.04,0.05,0.02
Ni I,4686.22,0.07,0.04,-0.01,0.06,,,-0.01,0.12
Ni I,4904.41,-0.05,0.09,-0.04,0.09,0.0,0.05,0.0,0.04
Ni I,5081.11,-0.04,0.08,-0.01,0.1,0.01,0.09,0.06,0.07
Ni I,5084.08,0.04,0.08,0.06,0.1,0.02,0.06,0.13,0.04
Ni I,5115.4,-0.02,0.11,-0.02,0.06,0.04,0.08,,
Ni I,5155.76,0.02,0.06,-0.03,0.06,,,-0.02,0.12
Ni I,5476.91,-0.06,0.09,-0.14,0.09,-0.12,0.05,-0.23,0.12
Ni I,6643.64,-0.05,0.09,-0.05,0.05,-0.02,0.04,-0.09,0.08
Ni I,6767.77,-0.05,0.06,-0.02,0.04,0.01,0.02,-0.11,0.03
Zn I,4680.14,-0.07,0.09,-0.05,0.1,-0.05,0.12,,
Zn I,4722.16,0.04,0.12,0.01,0.16,-0.02,0.15,0.0,0.1
Zn I,4810.54,0.08,0.12,0.04,0.16,0.06,0.15,0.0,0.1
Sr II,4077.71,0.0,0.12,0.0,0.12,-0.01,0.16,0.03,0.14
Sr II,4215.52,0.0,0.12,0.0,0.12,0.01,0.16,-0.03,0.14
Y II,3600.73,0.01,0.11,-0.06,0.19,-0.05,0.15,-0.06,0.19
Y II,3774.33,-0.01,0.12,-0.05,0.08,0.0,0.13,-0.05,0.08
Y II,4398.01,0.08,0.08,0.16,0.05,0.1,0.07,0.16,0.05
Y II,4883.68,-0.02,0.06,0.01,0.07,-0.04,0.06,0.01,0.07
Y II,5087.42,-0.06,0.07,-0.01,0.06,-0.09,0.08,-0.01,0.06
Y II,5200.41,-0.01,0.09,0.06,0.06,0.02,0.09,0.06,0.06
Y II,5205.72,-0.05,0.04,-0.09,0.06,,,-0.09,0.06
Zr II,4149.2,-0.04,0.12,-0.04,0.12,-0.03,0.12,-0.04,0.1
Zr II,4161.2,0.03,0.12,0.0,0.12,-0.01,0.12,0.03,0.1
Zr II,4208.98,0.0,0.12,0.05,0.12,0.05,0.12,0.01,0.1
Ba II,4554.03,0.05,0.11,0.01,0.09,-0.04,0.17,0.01,0.09
Ba II,5853.68,0.11,0.05,0.08,0.09,0.16,0.13,0.08,0.09
Ba II,6141.71,0.0,0.06,-0.02,0.06,-0.07,0.11,-0.02,0.06
Ba II,6496.9,-0.13,0.04,-0.1,0.05,-0.22,0.12,-0.1,0.05
La II,3988.51,0.04,0.05,0.04,0.06,0.02,0.03,0.04,0.06
La II,3995.74,0.05,0.04,0.05,0.05,0.0,0.05,0.05,0.05
La II,4086.71,-0.05,0.06,-0.08,0.04,-0.06,0.06,-0.08,0.04
La II,4123.22,-0.01,0.05,0.01,0.06,0.06,0.06,0.01,0.06
Ce II,3999.24,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Ce II,4073.47,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03
Ce II,4083.22,-0.01,0.06,-0.01,0.06,-0.01,0.06,-0.01,0.06
Ce II,4418.78,-0.05,0.08,-0.05,0.08,-0.05,0.08,-0.05,0.08
Ce II,4562.36,-0.03,0.04,-0.03,0.04,-0.03,0.04,-0.03,0.04
Pr II,4062.8,-0.13,0.2,-0.13,0.2,-0.13,0.2,-0.13,0.2
Pr II,4143.13,0.04,0.2,0.04,0.2,0.04,0.2,0.04,0.2
Pr II,4179.4,-0.1,0.2,-0.1,0.2,-0.1,0.2,-0.1,0.2
Pr II,4222.95,0.13,0.2,0.13,0.2,0.13,0.2,0.13,0.2
Pr II,4408.81,0.05,0.2,0.05,0.2,0.05,0.2,0.05,0.2
Nd II,4109.45,-0.1,0.08,-0.1,0.08,-0.1,0.08,-0.1,0.08
Nd II,4446.38,0.1,0.06,0.1,0.06,0.1,0.06,0.1,0.06
Nd II,4462.98,-0.06,0.04,-0.06,0.04,-0.06,0.04,-0.06,0.04
Nd II,4706.54,0.01,0.04,0.01,0.04,0.01,0.04,0.01,0.04
Nd II,4825.48,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04
Sm II,4424.34,0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.1
Sm II,4467.34,-0.05,0.1,-0.05,0.1,-0.05,0.1,-0.05,0.1
Eu II,3819.67,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05
Eu II,3907.11,0.02,0.06,0.02,0.06,0.02,0.06,0.02,0.06
Eu II,4129.72,-0.02,0.07,-0.02,0.07,-0.02,0.07,-0.02,0.07
Eu II,4205.04,-0.02,0.04,-0.02,0.04,-0.02,0.04,-0.02,0.04
Gd II,4049.85,0.02,0.08,0.02,0.08,0.02,0.08,0.02,0.08
Gd II,4130.37,-0.1,0.08,-0.1,0.08,-0.1,0.08,-0.1,0.08
Gd II,4251.73,0.09,0.08,0.09,0.08,0.09,0.08,0.09,0.08
Dy II,3757.37,0.05,0.2,0.05,0.2,0.05,0.2,0.05,0.2
Dy II,3944.68,0.07,0.2,0.07,0.2,0.07,0.2,0.07,0.2
Dy II,4103.31,-0.15,0.2,-0.15,0.2,-0.15,0.2,-0.15,0.2
Dy II,4449.7,0.04,0.2,0.04,0.2,0.04,0.2,0.04,0.2
Er II,3729.52,-0.01,0.09,-0.01,0.09,-0.01,0.09,-0.01,0.09
Er II,3830.48,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03
Er II,3896.23,-0.02,0.06,-0.02,0.06,-0.02,0.06,-0.02,0.06
