wavelength,species,expot,loggf
4555.483,22.0,0.848,-0.4
4617.269,22.0,1.748,0.44
4623.097,22.0,1.738,0.16
4645.188,22.0,1.732,-0.51
4650.01,22.0,1.738,-0.64
4675.117,22.0,1.066,-1.29
4805.414,22.0,2.343,0.07
4820.409,22.0,1.501,-0.38
4840.874,22.0,0.899,-0.43
4856.01,22.0,2.254,0.52
4870.125,22.0,2.248,0.44
4885.079,22.0,1.886,0.41
4913.613,22.0,1.872,0.22
4921.764,22.0,2.173,0.04
4975.343,22.0,2.504,0.15
4991.066,22.0,0.835,0.45
4997.097,22.0,0.0,-2.07
4999.503,22.0,0.825,0.32
5007.209,22.0,0.818,0.17
5009.645,22.0,0.021,-2.2
5016.161,22.0,0.848,-0.48
5020.026,22.0,0.835,-0.33
5022.868,22.0,0.825,-0.33
5024.844,22.0,0.818,-0.53
5036.464,22.0,1.442,0.14
5038.398,22.0,1.429,0.02
5039.957,22.0,0.021,-1.08
5043.584,22.0,0.835,-1.59
5064.653,22.0,0.048,-0.94
5065.985,22.0,1.442,-0.97
5087.058,22.0,1.429,-0.88
5113.44,22.0,1.442,-0.7
5120.415,22.0,2.576,0.48
5145.46,22.0,1.459,-0.54
5173.743,22.0,0.0,-1.06
5192.969,22.0,0.021,-0.95
5210.384,22.0,0.048,-0.82
5219.702,22.0,0.021,-2.22
5252.1,22.0,0.048,-2.36
5490.148,22.0,1.459,-0.84
5644.134,22.0,2.266,0.12
5866.451,22.0,1.066,-0.79
4012.384,22.1,0.573,-1.78
4025.129,22.1,0.607,-2.11
4028.338,22.1,1.89,-0.92
4053.821,22.1,1.891,-1.07
4056.187,22.1,0.607,-3.28
4161.529,22.1,1.083,-2.09
4184.312,22.1,1.079,-2.49
4316.794,22.1,2.046,-1.62
4330.238,22.1,2.046,-1.64
4330.698,22.1,1.179,-2.09
4394.059,22.1,1.22,-1.77
4395.839,22.1,1.242,-1.93
4399.765,22.1,1.236,-1.2
4411.073,22.1,3.092,-0.65
4411.93,22.1,1.223,-2.62
4418.331,22.1,1.236,-1.99
4421.938,22.1,2.06,-1.64
4432.096,22.1,1.236,-3.08
4443.801,22.1,1.079,-0.71
4444.554,22.1,1.115,-2.2
4450.482,22.1,1.083,-1.52
4468.493,22.1,1.13,-0.63
4493.522,22.1,1.079,-2.78
4501.27,22.1,1.115,-0.77
4518.332,22.1,1.079,-2.56
4529.48,22.1,1.571,-1.75
4545.133,22.1,1.13,-2.45
4571.971,22.1,1.571,-0.31
4583.409,22.1,1.164,-2.84
4609.265,22.1,1.179,-3.32
4657.201,22.1,1.242,-2.29
4708.663,22.1,1.236,-2.35
4763.883,22.1,1.22,-2.4
4764.525,22.1,1.236,-2.69
4798.531,22.1,1.079,-2.66
4849.168,22.1,1.13,-2.96
4855.904,22.1,3.092,-1.4
4865.61,22.1,1.115,-2.7
4874.009,22.1,3.092,-0.86
4911.194,22.1,3.121,-0.64
5005.167,22.1,1.565,-2.73
5013.686,22.1,1.581,-2.14
5129.156,22.1,1.89,-1.34
5185.902,22.1,1.891,-1.41
5211.53,22.1,2.588,-1.41
5336.786,22.1,1.581,-1.6
5381.022,22.1,1.565,-1.97
5396.247,22.1,1.583,-3.18
5418.768,22.1,1.581,-2.13
4580.048,24.0,0.941,-1.66
4591.391,24.0,0.968,-1.74
4600.749,24.0,1.003,-1.25
4616.124,24.0,0.982,-1.19
4626.173,24.0,0.968,-1.33
4646.162,24.0,1.029,-0.74
4651.291,24.0,0.982,-1.46
4652.157,24.0,1.003,-1.04
4789.34,24.0,2.542,-0.33
5206.023,24.0,0.941,0.02
5230.219,24.0,2.708,-1.73
5247.565,24.0,0.96,-1.59
5287.235,24.0,3.435,-0.87
5296.691,24.0,0.982,-1.36
5298.272,24.0,0.982,-1.14
5345.796,24.0,1.003,-0.95
5348.314,24.0,1.003,-1.21
5409.783,24.0,1.029,-0.67
4558.644,24.1,4.07,-0.43
4588.198,24.1,4.068,-0.65
4592.053,24.1,4.07,-1.3
4634.073,24.1,4.069,-1.05
4824.131,24.1,3.868,-0.92
4864.329,24.1,3.855,-1.34
4001.661,26.0,2.174,-1.9
4032.627,26.0,1.484,-2.38
4067.978,26.0,3.209,-0.53
4070.771,26.0,3.239,-0.87
4073.762,26.0,3.263,-0.97
4080.209,26.0,3.281,-1.18
4084.492,26.0,3.329,-0.54
4098.176,26.0,3.239,-0.97
4114.938,26.0,3.368,-1.45
4118.545,26.0,3.571,0.27
4120.206,26.0,2.988,-1.23
4121.802,26.0,2.829,-1.28
4132.058,26.0,1.607,-0.68
4133.856,26.0,3.366,-1.13
4139.927,26.0,0.989,-3.51
4147.669,26.0,1.484,-2.07
4150.249,26.0,3.428,-1.19
4158.792,26.0,3.428,-0.7
4174.913,26.0,0.914,-2.94
4187.039,26.0,2.45,-0.56
4199.095,26.0,3.045,0.17
4216.184,26.0,0.0,-3.36
4233.603,26.0,2.482,-0.6
4250.787,26.0,1.556,-0.71
4282.403,26.0,2.174,-0.78
4326.753,26.0,2.947,-1.81
4389.245,26.0,0.052,-4.55
4415.123,26.0,1.607,-0.62
4427.31,26.0,0.052,-2.92
4442.339,26.0,2.196,-1.23
4447.717,26.0,2.221,-1.36
4461.653,26.0,0.087,-3.19
4484.22,26.0,3.6,-0.64
4489.739,26.0,0.121,-3.9
4494.563,26.0,2.196,-1.14
4531.148,26.0,1.484,-2.1
4547.847,26.0,3.544,-0.82
4592.651,26.0,1.556,-2.46
4602.0,26.0,1.607,-3.13
4602.941,26.0,1.484,-2.21
4607.647,26.0,3.263,-1.33
4619.288,26.0,3.6,-1.06
4625.045,26.0,3.239,-1.27
4630.12,26.0,2.277,-2.58
4632.912,26.0,1.607,-2.9
4637.503,26.0,3.281,-1.29
4678.846,26.0,3.6,-0.68
4707.275,26.0,3.241,-0.96
4727.395,26.0,3.684,-1.06
4733.591,26.0,1.484,-2.99
4736.773,26.0,3.209,-0.67
4772.804,26.0,1.556,-2.9
4871.318,26.0,2.865,-0.34
4889.002,26.0,2.196,-2.55
4890.755,26.0,2.876,-0.38
4903.31,26.0,2.882,-0.89
4910.017,26.0,3.394,-1.28
4939.687,26.0,0.858,-3.25
4946.388,26.0,3.368,-1.11
4966.089,26.0,3.329,-0.79
4973.102,26.0,3.96,-0.69
5001.864,26.0,3.882,-0.01
5005.712,26.0,3.884,-0.12
5012.068,26.0,0.858,-2.6
5014.943,26.0,3.94,-0.18
5022.236,26.0,3.984,-0.33
5041.756,26.0,1.484,-2.2
5051.635,26.0,0.914,-2.76
5110.413,26.0,0.0,-3.76
5127.36,26.0,0.914,-3.25
5133.689,26.0,4.175,0.36
5142.928,26.0,0.957,-3.07
5150.84,26.0,0.989,-3.04
5166.282,26.0,0.0,-4.12
5171.596,26.0,1.484,-1.72
5194.942,26.0,1.556,-2.02
5215.181,26.0,3.263,-0.86
5216.274,26.0,1.607,-2.08
5217.389,26.0,3.209,-1.07
5225.525,26.0,0.11,-4.75
5242.491,26.0,3.632,-0.83
5250.646,26.0,2.196,-2.18
5254.956,26.0,0.11,-4.76
5263.306,26.0,3.263,-0.87
5269.537,26.0,0.858,-1.33
5283.621,26.0,3.239,-0.45
5302.303,26.0,3.281,-0.73
5307.361,26.0,1.607,-2.91
5324.179,26.0,3.211,-0.11
5332.9,26.0,1.556,-2.78
5339.929,26.0,3.263,-0.63
5341.024,26.0,1.607,-1.95
5371.489,26.0,0.957,-1.64
5393.168,26.0,3.241,-0.72
5397.128,26.0,0.914,-1.98
5405.775,26.0,0.989,-1.85
5429.696,26.0,0.957,-1.88
5434.524,26.0,1.01,-2.13
5497.516,26.0,1.01,-2.83
5501.465,26.0,0.957,-3.05
5506.779,26.0,0.989,-2.79
5569.618,26.0,3.414,-0.52
5572.842,26.0,3.394,-0.28
5586.756,26.0,3.366,-0.11
5615.644,26.0,3.332,0.04
5624.542,26.0,3.414,-0.76
5658.816,26.0,3.394,-0.76
5662.516,26.0,4.175,-0.41
5762.992,26.0,4.209,-0.36
5778.4533,26.0,2.588,-3.43
5855.0758,26.0,4.608,-1.478
6012.2098,26.0,2.223,-4.038
6027.0508,26.0,4.076,-1.089
6120.2464,26.0,0.915,-5.97
6136.9938,26.0,2.198,-2.95
6151.6173,26.0,2.176,-3.295
6165.3598,26.0,4.143,-1.473
6173.3343,26.0,2.223,-2.88
6213.4294,26.0,2.223,-2.481
6219.28,26.0,2.196,-2.45
6246.319,26.0,3.6,-0.77
6265.134,26.0,2.174,-2.54
6271.2779,26.0,3.332,-2.703
6322.685,26.0,2.588,-2.43
6335.33,26.0,2.196,-2.18
6336.824,26.0,3.684,-0.85
6408.018,26.0,3.684,-0.99
6411.649,26.0,3.651,-0.59
6430.846,26.0,2.174,-1.95
6518.3657,26.0,2.832,-2.438
6581.2092,26.0,1.485,-4.679
6593.8695,26.0,2.433,-2.42
6609.1097,26.0,2.559,-2.691
6633.7487,26.0,4.559,-0.799
6739.5204,26.0,1.557,-4.794
6793.2582,26.0,4.076,-2.326
6810.2622,26.0,4.607,-0.986
6828.5912,26.0,4.638,-0.82
6837.0056,26.0,4.593,-1.687
6843.6554,26.0,4.549,-0.73
4178.855,26.1,2.583,-2.51
4233.163,26.1,2.583,-2.02
4385.379,26.1,2.778,-2.64
4416.818,26.1,2.778,-2.57
4491.4,26.1,2.856,-2.71
4508.281,26.1,2.856,-2.42
4520.221,26.1,2.807,-2.65
4555.888,26.1,2.828,-2.4
4576.328,26.1,2.844,-2.95
4582.835,26.1,2.844,-3.18
4583.829,26.1,2.807,-1.94
4620.513,26.1,2.828,-3.21
4629.332,26.1,2.807,-2.26
4923.922,26.1,2.891,-1.26
5018.435,26.1,2.891,-1.1
5197.568,26.1,3.23,-2.22
5234.624,26.1,3.221,-2.18
5264.801,26.1,3.23,-3.13
5272.413,26.1,5.956,-2.01
5275.997,26.1,3.199,-2.01
5284.08,26.1,2.891,-3.11
5325.543,26.1,3.221,-3.16
5414.089,26.1,3.221,-3.58
5534.834,26.1,3.245,-2.75
5991.3721,26.1,3.153,-3.54
6084.103,26.1,3.2,-3.79
6113.3192,26.1,3.221,-4.14
6149.2459,26.1,3.889,-2.69
6247.559,26.1,3.892,-2.3
6432.677,26.1,2.891,-3.57
6456.381,26.1,3.903,-2.05
6516.077,26.1,2.891,-3.37
4331.642,28.0,1.675,-2.27
4401.541,28.0,3.191,0.06
4470.477,28.0,3.396,-0.3
4604.988,28.0,3.477,-0.24
4648.652,28.0,3.417,-0.09
4686.213,28.0,3.594,-0.59
4714.417,28.0,3.377,0.25
4756.515,28.0,3.477,-0.27
4831.176,28.0,3.603,-0.32
4866.271,28.0,3.536,-0.22
4873.442,28.0,3.696,-0.38
4980.173,28.0,3.603,0.07
4998.224,28.0,3.603,-0.7
5017.576,28.0,3.536,-0.03
5035.362,28.0,3.633,0.29
5080.533,28.0,3.652,0.32
5099.32,28.0,3.652,-0.45
5137.074,28.0,1.675,-1.94
5476.904,28.0,1.825,-0.78
5587.858,28.0,1.934,-2.39
5754.656,28.0,1.934,-2.22
5892.872,28.0,1.984,-2.22
6007.31,28.0,1.675,-3.4
6108.116,28.0,1.675,-2.6
6177.242,28.0,1.825,-3.46
6191.169,28.0,1.675,-2.47
6223.984,28.0,4.102,-0.91
6378.25,28.0,4.15,-0.82
6643.63,28.0,1.675,-2.22
6767.772,28.0,1.825,-2.14
7714.308,28.0,1.934,-2.0
7788.93,28.0,1.949,-2.18
5105.531,29.0,1.388,-1.516
4722.15,30.0,4.03,-0.37
4810.53,30.0,4.078,-0.15
4607.331,38.0,0.0,0.283
4077.714,38.1,0.0,0.148
4854.867,39.1,0.992,-0.38
4883.68,39.1,1.08,0.07
5087.42,39.1,1.083,-0.17
5200.413,39.1,0.992,-0.57
5853.668,56.1,0.604,-1.01
6141.713,56.1,0.703,-0.077
6496.897,56.1,0.604,-0.38
6645.06,63.1,1.379,0.12
